Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,salinity,Sample Name,SRA Study,temperature,oxygen
SRR10759552,WGA,438,25320918,PRJNA385736,SAMN13671199,Metagenome or environmental,16452881,CSIRO,2016-06-02,public,"fastq,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX7433905,uncalculated,uncalculated,Pacific Ocean,Illumina MiSeq,Ocean,35.0135 S 169.9913 W,102.100.100/34430,PAIRED,PCR,GENOMIC,marine metagenome,ILLUMINA,2019-12-24T00:00:00Z,35.4966,34430_nifH,SRP114822,18.215,232.7
SRR10759553,WGA,434,19566921,PRJNA385736,SAMN13671198,Metagenome or environmental,13022928,CSIRO,2016-06-02,public,"fastq,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX7433904,uncalculated,uncalculated,Pacific Ocean,Illumina MiSeq,Ocean,35.334 S 170.003 W,102.100.100/34429,PAIRED,PCR,GENOMIC,marine metagenome,ILLUMINA,2019-12-24T00:00:00Z,35.4808,34429_nifH,SRP114822,18.127,233
SRR10759554,WGA,392,26448594,PRJNA385736,SAMN13671144,Metagenome or environmental,16411784,CSIRO,2016-05-08,public,"fastq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX7433903,uncalculated,uncalculated,Southern Ocean,Illumina MiSeq,Ocean,62.4988 S 169.9979 W,102.100.100/34375,PAIRED,PCR,GENOMIC,marine metagenome,ILLUMINA,2019-12-24T00:00:00Z,34.0585,34375_nifH,SRP114822,0.694,327.1
SRR10759555,WGA,454,26178119,PRJNA385736,SAMN13671197,Metagenome or environmental,17193427,CSIRO,2016-06-02,public,"fastq,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX7433902,uncalculated,uncalculated,Pacific Ocean,Illumina MiSeq,Ocean,35.6806 S 170.0072 W,102.100.100/34428,PAIRED,PCR,GENOMIC,marine metagenome,ILLUMINA,2019-12-24T00:00:00Z,35.4458,34428_nifH,SRP114822,18.026,233.3
SRR10759556,WGA,483,38504577,PRJNA385736,SAMN13671196,Metagenome or environmental,20770128,CSIRO,2016-06-01,public,"fastq,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX7433901,uncalculated,uncalculated,Pacific Ocean,Illumina MiSeq,Ocean,36.007 S 169.9949 W,102.100.100/34427,PAIRED,PCR,GENOMIC,marine metagenome,ILLUMINA,2019-12-24T00:00:00Z,35.5003,34427_nifH,SRP114822,18.178,232.9
SRR10759557,WGA,480,66116485,PRJNA385736,SAMN13671195,Metagenome or environmental,41428079,CSIRO,2016-06-01,public,"fastq,sra","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX7433900,uncalculated,uncalculated,Pacific Ocean,Illumina MiSeq,Ocean,36.4507 S 170.2936 W,102.100.100/34426,PAIRED,PCR,GENOMIC,marine metagenome,ILLUMINA,2019-12-24T00:00:00Z,35.4005,34426_nifH,SRP114822,17.805,234
SRR10759558,WGA,474,22856660,PRJNA385736,SAMN13671194,Metagenome or environmental,14512291,CSIRO,2016-06-01,public,"fastq,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX7433899,uncalculated,uncalculated,Pacific Ocean,Illumina MiSeq,Ocean,36.8754 S 170.5984 W,102.100.100/34425,PAIRED,PCR,GENOMIC,marine metagenome,ILLUMINA,2019-12-24T00:00:00Z,35.2379,34425_nifH,SRP114822,16.775,238.7
SRR10759559,WGA,499,51721934,PRJNA385736,SAMN13671193,Metagenome or environmental,32255817,CSIRO,2016-05-31,public,"sra,fastq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX7433898,uncalculated,uncalculated,Pacific Ocean,Illumina MiSeq,Ocean,37.7601 S 171.1973 W,102.100.100/34424,PAIRED,PCR,GENOMIC,marine metagenome,ILLUMINA,2019-12-24T00:00:00Z,35.2156,34424_nifH,SRP114822,16.658,238.9
SRR10759560,WGA,492,48080509,PRJNA385736,SAMN13671192,Metagenome or environmental,29982501,CSIRO,2016-05-31,public,"fastq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX7433897,uncalculated,uncalculated,Pacific Ocean,Illumina MiSeq,Ocean,38.1902 S 171.5002 W,102.100.100/34423,PAIRED,PCR,GENOMIC,marine metagenome,ILLUMINA,2019-12-24T00:00:00Z,35.3225,34423_nifH,SRP114822,17.045,236.6
SRR10759562,WGA,494,48672459,PRJNA385736,SAMN13671190,Metagenome or environmental,30133953,CSIRO,2016-05-30,public,"fastq,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX7433895,uncalculated,uncalculated,Pacific Ocean,Illumina MiSeq,Ocean,39.0728 S 172.1152 W,102.100.100/34421,PAIRED,PCR,GENOMIC,marine metagenome,ILLUMINA,2019-12-24T00:00:00Z,35.2753,34421_nifH,SRP114822,16.581,238.3
SRR10759563,WGA,495,64400018,PRJNA385736,SAMN13671189,Metagenome or environmental,39197229,CSIRO,2016-05-30,public,"fastq,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX7433894,uncalculated,uncalculated,Pacific Ocean,Illumina MiSeq,Ocean,39.5154 S 172.4141 W,102.100.100/34420,PAIRED,PCR,GENOMIC,marine metagenome,ILLUMINA,2019-12-24T00:00:00Z,35.3019,34420_nifH,SRP114822,16.22,238.7
SRR10759564,WGA,472,57597327,PRJNA385736,SAMN13671188,Metagenome or environmental,30736030,CSIRO,2016-05-30,public,"fastq,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX7433893,uncalculated,uncalculated,Pacific Ocean,Illumina MiSeq,Ocean,39.9698 S 172.7015 W,102.100.100/34419,PAIRED,PCR,GENOMIC,marine metagenome,ILLUMINA,2019-12-24T00:00:00Z,35.1807,34419_nifH,SRP114822,15.63,242.9
SRR10759565,WGA,452,28340632,PRJNA385736,SAMN13671143,Metagenome or environmental,18215822,CSIRO,2016-05-08,public,"fastq,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX7433892,uncalculated,uncalculated,Southern Ocean,Illumina MiSeq,Ocean,63.0042 S 170.0371 W,102.100.100/34374,PAIRED,PCR,GENOMIC,marine metagenome,ILLUMINA,2019-12-24T00:00:00Z,34.0777,34374_nifH,SRP114822,0.401,327.4
SRR10759566,WGA,491,73948610,PRJNA385736,SAMN13671187,Metagenome or environmental,46087268,CSIRO,2016-05-29,public,"fastq,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX7433891,uncalculated,uncalculated,Pacific Ocean,Illumina MiSeq,Ocean,40.3973 S 173.022 W,102.100.100/34418,PAIRED,PCR,GENOMIC,marine metagenome,ILLUMINA,2019-12-24T00:00:00Z,35.1177,34418_nifH,SRP114822,15.456,243.7
SRR10759568,WGA,500,63168540,PRJNA385736,SAMN13671185,Metagenome or environmental,38030029,CSIRO,2016-05-29,public,"fastq,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX7433889,uncalculated,uncalculated,Pacific Ocean,Illumina MiSeq,Ocean,41.2727 S 173.6521 W,102.100.100/34416,PAIRED,PCR,GENOMIC,marine metagenome,ILLUMINA,2019-12-24T00:00:00Z,35.1186,34416_nifH,SRP114822,15.403,243.2
SRR10759570,WGA,487,62555488,PRJNA385736,SAMN13671183,Metagenome or environmental,39275344,CSIRO,2016-05-29,public,"fastq,sra","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX7433887,uncalculated,uncalculated,Pacific Ocean,Illumina MiSeq,Ocean,42.169 S 174.2547 W,102.100.100/34414,PAIRED,PCR,GENOMIC,marine metagenome,ILLUMINA,2019-12-24T00:00:00Z,35.0879,34414_nifH,SRP114822,15.277,243.5
SRR10759571,WGA,500,65240017,PRJNA385736,SAMN13671182,Metagenome or environmental,40244944,CSIRO,2016-05-28,public,"sra,fastq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX7433886,uncalculated,uncalculated,Pacific Ocean,Illumina MiSeq,Ocean,42.3962 S 174.409 W,102.100.100/34413,PAIRED,PCR,GENOMIC,marine metagenome,ILLUMINA,2019-12-24T00:00:00Z,35.1887,34413_nifH,SRP114822,15.627,239.8
SRR10759572,WGA,492,30604439,PRJNA385736,SAMN13671181,Metagenome or environmental,16822697,CSIRO,2016-05-23,public,"fastq,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX7433885,uncalculated,uncalculated,Pacific Ocean,Illumina MiSeq,Ocean,42.7517 S 174.6462 W,102.100.100/34412,PAIRED,PCR,GENOMIC,marine metagenome,ILLUMINA,2019-12-24T00:00:00Z,35.045,34412_nifH,SRP114822,14.283,248.2
SRR10759573,WGA,430,31188723,PRJNA385736,SAMN13671180,Metagenome or environmental,19492406,CSIRO,2016-05-23,public,"fastq,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX7433884,uncalculated,uncalculated,Pacific Ocean,Illumina MiSeq,Ocean,42.9327 S 174.7838 W,102.100.100/34411,PAIRED,PCR,GENOMIC,marine metagenome,ILLUMINA,2019-12-24T00:00:00Z,35.0567,34411_nifH,SRP114822,14.362,246.7
SRR10759576,WGA,435,11321686,PRJNA385736,SAMN13671142,Metagenome or environmental,7384280,CSIRO,2016-05-06,public,"fastq,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX7433881,uncalculated,uncalculated,Southern Ocean,Illumina MiSeq,Ocean,63.993 S 170.0604 W,102.100.100/34373,PAIRED,PCR,GENOMIC,marine metagenome,ILLUMINA,2019-12-24T00:00:00Z,34.0909,34373_nifH,SRP114822,0.106,327.2
SRR10759577,WGA,361,24895792,PRJNA385736,SAMN13671177,Metagenome or environmental,16279150,CSIRO,2016-05-22,public,"sra,fastq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX7433880,uncalculated,uncalculated,Pacific Ocean,Illumina MiSeq,Ocean,44.5186 S 173.5019 W,102.100.100/34408,PAIRED,PCR,GENOMIC,marine metagenome,ILLUMINA,2019-12-24T00:00:00Z,34.7109,34408_nifH,SRP114822,12.638,257.7
SRR10759578,WGA,485,46983488,PRJNA385736,SAMN13671176,Metagenome or environmental,26732711,CSIRO,2016-05-22,public,"sra,fastq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX7433879,uncalculated,uncalculated,Pacific Ocean,Illumina MiSeq,Ocean,44.8347 S 173.1415 W,102.100.100/34407,PAIRED,PCR,GENOMIC,marine metagenome,ILLUMINA,2019-12-24T00:00:00Z,34.6603,34407_nifH,SRP114822,12.509,258.5
SRR10759579,WGA,493,27478845,PRJNA385736,SAMN13671175,Metagenome or environmental,14771065,CSIRO,2016-05-22,public,"fastq,sra","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",SRX7433878,uncalculated,uncalculated,Pacific Ocean,Illumina MiSeq,Ocean,45.1763 S 172.7338 W,102.100.100/34406,PAIRED,PCR,GENOMIC,marine metagenome,ILLUMINA,2019-12-24T00:00:00Z,34.6544,34406_nifH,SRP114822,12.421,259.8
SRR10759580,WGA,410,20807062,PRJNA385736,SAMN13671174,Metagenome or environmental,13649685,CSIRO,2016-05-21,public,"sra,fastq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX7433877,uncalculated,uncalculated,Pacific Ocean,Illumina MiSeq,Ocean,46.3308 S 171.3738 W,102.100.100/34405,PAIRED,PCR,GENOMIC,marine metagenome,ILLUMINA,2019-12-24T00:00:00Z,34.6752,34405_nifH,SRP114822,11.793,262.1
SRR10759581,WGA,475,50040683,PRJNA385736,SAMN13671173,Metagenome or environmental,29019982,CSIRO,2016-05-20,public,"fastq,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX7433876,uncalculated,uncalculated,Pacific Ocean,Illumina MiSeq,Ocean,46.7122 S 170.9118 W,102.100.100/34404,PAIRED,PCR,GENOMIC,marine metagenome,ILLUMINA,2019-12-24T00:00:00Z,34.6794,34404_nifH,SRP114822,11.497,262.9
SRR10759582,WGA,501,63358893,PRJNA385736,SAMN13671172,Metagenome or environmental,37188364,CSIRO,2016-05-20,public,"fastq,sra","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",SRX7433875,uncalculated,uncalculated,Pacific Ocean,Illumina MiSeq,Ocean,47.1152 S 170.4692 W,102.100.100/34403,PAIRED,PCR,GENOMIC,marine metagenome,ILLUMINA,2019-12-24T00:00:00Z,34.6693,34403_nifH,SRP114822,11.464,263.9
SRR10759583,WGA,396,20468873,PRJNA385736,SAMN13671171,Metagenome or environmental,13242913,CSIRO,2016-05-19,public,"fastq,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX7433874,uncalculated,uncalculated,Pacific Ocean,Illumina MiSeq,Ocean,47.488 S 169.9835 W,102.100.100/34402,PAIRED,PCR,GENOMIC,marine metagenome,ILLUMINA,2019-12-24T00:00:00Z,34.62,34402_nifH,SRP114822,11.677,262.5
SRR10759585,WGA,411,33423995,PRJNA385736,SAMN13671169,Metagenome or environmental,21722097,CSIRO,2016-05-19,public,"fastq,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX7433872,uncalculated,uncalculated,Pacific Ocean,Illumina MiSeq,Ocean,48.5082 S 170.0036 W,102.100.100/34400,PAIRED,PCR,GENOMIC,marine metagenome,ILLUMINA,2019-12-24T00:00:00Z,34.5393,34400_nifH,SRP114822,10.632,268.6
SRR10759586,WGA,447,17837739,PRJNA385736,SAMN13671168,Metagenome or environmental,11263088,CSIRO,2016-05-19,public,"fastq,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX7433871,uncalculated,uncalculated,Pacific Ocean,Illumina MiSeq,Ocean,48.9991 S 170.0038 W,102.100.100/34399,PAIRED,PCR,GENOMIC,marine metagenome,ILLUMINA,2019-12-24T00:00:00Z,34.5009,34399_nifH,SRP114822,10.318,270.6
SRR10759588,WGA,497,42565832,PRJNA385736,SAMN13671167,Metagenome or environmental,24733425,CSIRO,2016-05-18,public,"fastq,sra","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX7433869,uncalculated,uncalculated,Pacific Ocean,Illumina MiSeq,Ocean,49.4921 S 170.016 W,102.100.100/34398,PAIRED,PCR,GENOMIC,marine metagenome,ILLUMINA,2019-12-24T00:00:00Z,34.2934,34398_nifH,SRP114822,9.087,278.7
SRR10759589,WGA,427,22138104,PRJNA385736,SAMN13671166,Metagenome or environmental,14293532,CSIRO,2016-05-18,public,"fastq,sra","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX7433868,uncalculated,uncalculated,Pacific Ocean,Illumina MiSeq,Ocean,50.0101 S 169.9894 W,102.100.100/34397,PAIRED,PCR,GENOMIC,marine metagenome,ILLUMINA,2019-12-24T00:00:00Z,34.4568,34397_nifH,SRP114822,10.398,269.8
SRR10759590,WGA,389,19633507,PRJNA385736,SAMN13671165,Metagenome or environmental,12644535,CSIRO,2016-05-18,public,"fastq,sra","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX7433867,uncalculated,uncalculated,Pacific Ocean,Illumina MiSeq,Ocean,50.503 S 170.0178 W,102.100.100/34396,PAIRED,PCR,GENOMIC,marine metagenome,ILLUMINA,2019-12-24T00:00:00Z,34.3321,34396_nifH,SRP114822,9.398,276.2
SRR10759591,WGA,445,41554834,PRJNA385736,SAMN13671164,Metagenome or environmental,23726226,CSIRO,2016-05-17,public,"fastq,sra","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX7433866,uncalculated,uncalculated,Pacific Ocean,Illumina MiSeq,Ocean,51.0004 S 170.016 W,102.100.100/34395,PAIRED,PCR,GENOMIC,marine metagenome,ILLUMINA,2019-12-24T00:00:00Z,34.2711,34395_nifH,SRP114822,7.921,284.8
SRR10759592,WGA,422,22361305,PRJNA385736,SAMN13671163,Metagenome or environmental,14281526,CSIRO,2016-05-17,public,"fastq,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX7433865,uncalculated,uncalculated,Pacific Ocean,Illumina MiSeq,Ocean,51.4929 S 170.0117 W,102.100.100/34394,PAIRED,PCR,GENOMIC,marine metagenome,ILLUMINA,2019-12-24T00:00:00Z,34.3417,34394_nifH,SRP114822,8.522,280.3
SRR10759593,WGA,489,34398143,PRJNA385736,SAMN13671162,Metagenome or environmental,20771423,CSIRO,2016-05-17,public,"sra,fastq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX7433864,uncalculated,uncalculated,Pacific Ocean,Illumina MiSeq,Ocean,52.0028 S 170.0692 W,102.100.100/34393,PAIRED,PCR,GENOMIC,marine metagenome,ILLUMINA,2019-12-24T00:00:00Z,34.274,34393_nifH,SRP114822,8.046,283.5
SRR10759594,WGA,457,49160677,PRJNA385736,SAMN13671161,Metagenome or environmental,31220065,CSIRO,2016-05-17,public,"sra,fastq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX7433863,uncalculated,uncalculated,Pacific Ocean,Illumina MiSeq,Ocean,52.5031 S 169.9822 W,102.100.100/34392,PAIRED,PCR,GENOMIC,marine metagenome,ILLUMINA,2019-12-24T00:00:00Z,34.2174,34392_nifH,SRP114822,7.469,287.7
SRR10759595,WGA,432,32773487,PRJNA385736,SAMN13671160,Metagenome or environmental,20282746,CSIRO,2016-05-16,public,"fastq,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX7433862,uncalculated,uncalculated,Pacific Ocean,Illumina MiSeq,Ocean,53.0035 S 170.0136 W,102.100.100/34391,PAIRED,PCR,GENOMIC,marine metagenome,ILLUMINA,2019-12-24T00:00:00Z,34.1814,34391_nifH,SRP114822,7.114,290.2
SRR10759596,WGA,463,27486192,PRJNA385736,SAMN13671159,Metagenome or environmental,17195171,CSIRO,2016-05-16,public,"sra,fastq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX7433861,uncalculated,uncalculated,Pacific Ocean,Illumina MiSeq,Ocean,53.502 S 169.9878 W,102.100.100/34390,PAIRED,PCR,GENOMIC,marine metagenome,ILLUMINA,2019-12-24T00:00:00Z,34.1847,34390_nifH,SRP114822,7.033,290.1
SRR10759597,WGA,475,41556954,PRJNA385736,SAMN13671158,Metagenome or environmental,26244023,CSIRO,2016-05-16,public,"sra,fastq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX7433860,uncalculated,uncalculated,Pacific Ocean,Illumina MiSeq,Ocean,53.9904 S 169.9482 W,102.100.100/34389,PAIRED,PCR,GENOMIC,marine metagenome,ILLUMINA,2019-12-24T00:00:00Z,34.1753,34389_nifH,SRP114822,6.846,292
SRR10759598,WGA,437,15441319,PRJNA385736,SAMN13671140,Metagenome or environmental,9897438,CSIRO,2016-05-05,public,"fastq,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX7433859,uncalculated,uncalculated,Southern Ocean,Illumina MiSeq,Ocean,64.9976 S 169.9921 W,102.100.100/34371,PAIRED,PCR,GENOMIC,marine metagenome,ILLUMINA,2019-12-24T00:00:00Z,34.0861,34371_nifH,SRP114822,-0.357,335.1
SRR10759599,WGA,449,20290499,PRJNA385736,SAMN13671157,Metagenome or environmental,13321531,CSIRO,2016-05-15,public,"fastq,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX7433858,uncalculated,uncalculated,Pacific Ocean,Illumina MiSeq,Ocean,54.4982 S 170.0027 W,102.100.100/34388,PAIRED,PCR,GENOMIC,marine metagenome,ILLUMINA,2019-12-24T00:00:00Z,34.1278,34388_nifH,SRP114822,6.061,295.8
SRR10759600,WGA,434,37608307,PRJNA385736,SAMN13671156,Metagenome or environmental,24108664,CSIRO,2016-05-15,public,"fastq,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX7433857,uncalculated,uncalculated,Pacific Ocean,Illumina MiSeq,Ocean,55.0001 S 169.9911 W,102.100.100/34387,PAIRED,PCR,GENOMIC,marine metagenome,ILLUMINA,2019-12-24T00:00:00Z,33.9426,34387_nifH,SRP114822,4.496,310.8
SRR10759601,WGA,497,69141657,PRJNA385736,SAMN13671155,Metagenome or environmental,41591009,CSIRO,2016-05-15,public,"sra,fastq","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX7433856,uncalculated,uncalculated,Pacific Ocean,Illumina MiSeq,Ocean,55.501 S 169.9884 W,102.100.100/34386,PAIRED,PCR,GENOMIC,marine metagenome,ILLUMINA,2019-12-24T00:00:00Z,33.92,34386_nifH,SRP114822,4.234,310.3
SRR10759602,WGA,460,39943175,PRJNA385736,SAMN13671154,Metagenome or environmental,24937598,CSIRO,2016-05-14,public,"fastq,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX7433855,uncalculated,uncalculated,Pacific Ocean,Illumina MiSeq,Ocean,55.9861 S 170.0183 W,102.100.100/34385,PAIRED,PCR,GENOMIC,marine metagenome,ILLUMINA,2019-12-24T00:00:00Z,33.9144,34385_nifH,SRP114822,4.042,311
SRR10759603,WGA,412,18300208,PRJNA385736,SAMN13671153,Metagenome or environmental,12966191,CSIRO,2016-05-14,public,"sra,fastq","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX7433854,uncalculated,uncalculated,Pacific Ocean,Illumina MiSeq,Ocean,56.4931 S 170.0081 W,102.100.100/34384,PAIRED,PCR,GENOMIC,marine metagenome,ILLUMINA,2019-12-24T00:00:00Z,33.9236,34384_nifH,SRP114822,3.956,310.7
SRR10759604,WGA,458,18797663,PRJNA385736,SAMN13671152,Metagenome or environmental,12507604,CSIRO,2016-05-14,public,"fastq,sra","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX7433853,uncalculated,uncalculated,Pacific Ocean,Illumina MiSeq,Ocean,57.0086 S 170.0007 W,102.100.100/34383,PAIRED,PCR,GENOMIC,marine metagenome,ILLUMINA,2019-12-24T00:00:00Z,33.9129,34383_nifH,SRP114822,3.919,311.5
