Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Chlorophyll,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Depth,diss_oxygen,env_broad_scale,env_local_scale,env_medium,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,salinity,Sample Name,SRA Study,temp,nitrate,phosphate,silicate
SRR12432977,AMPLICON,602,518525476,PRJNA656687,SAMN15795553,"MIMARKS.survey,MIGS/MIMS/MIMARKS.water",336789246,UNIVERSITY OF COPENHAGEN,5,2017-06-28,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",6.5 m,6.66,estuarine biome [ENVO:01000020],estuarine coastal lower water column [ENVO:01001314],estuarine water [ENVO:01000301],SRX8928774,USA,North America,USA:Narragansett Bay,Illumina MiSeq,41.58 N 71.38 W,S24,PAIRED,PCR,METAGENOMIC,estuary metagenome,ILLUMINA,2020-08-30T00:00:00Z,29.95,N3_B7 D,SRP277143,18.63,,,
SRR12432978,AMPLICON,602,208320896,PRJNA656687,SAMN15795552,"MIMARKS.survey,MIGS/MIMS/MIMARKS.water",138096297,UNIVERSITY OF COPENHAGEN,3.7,2017-06-28,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",6.5 m,5.67,estuarine biome [ENVO:01000020],estuarine coastal lower water column [ENVO:01001314],estuarine water [ENVO:01000301],SRX8928773,USA,North America,USA:Narragansett Bay,Illumina MiSeq,41.63 N 71.38 W,S22,PAIRED,PCR,METAGENOMIC,estuary metagenome,ILLUMINA,2020-08-30T00:00:00Z,29,N3_B6 D,SRP277143,20.04,,,
SRR12432979,AMPLICON,602,42696248,PRJNA656687,SAMN15795551,"MIMARKS.survey,MIGS/MIMS/MIMARKS.water",29184552,UNIVERSITY OF COPENHAGEN,0,2017-06-28,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",6.5 m,5.32,estuarine biome [ENVO:01000020],estuarine coastal lower water column [ENVO:01001314],estuarine water [ENVO:01000301],SRX8928772,USA,North America,USA:Narragansett Bay,Illumina MiSeq,41.67 N 71.42 W,S20,PAIRED,PCR,METAGENOMIC,estuary metagenome,ILLUMINA,2020-08-30T00:00:00Z,27.5,N3_B14 D,SRP277143,21.93,,,
SRR12432980,AMPLICON,602,334674074,PRJNA656687,SAMN15795550,"MIMARKS.survey,MIGS/MIMS/MIMARKS.water",225040802,UNIVERSITY OF COPENHAGEN,0,2017-06-28,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",6.5 m,6.12,estuarine biome [ENVO:01000020],estuarine coastal lower water column [ENVO:01001314],estuarine water [ENVO:01000301],SRX8928771,USA,North America,USA:Narragansett Bay,Illumina MiSeq,41.74 N 71.37 W,S18,PAIRED,PCR,METAGENOMIC,estuary metagenome,ILLUMINA,2020-08-30T00:00:00Z,28.41,N3_B4 D,SRP277143,19.39,,,
SRR12432981,AMPLICON,602,523775518,PRJNA656687,SAMN15795549,"MIMARKS.survey,MIGS/MIMS/MIMARKS.water",353211817,UNIVERSITY OF COPENHAGEN,2.5,2017-06-09,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",6.5 m,6.74,estuarine biome [ENVO:01000020],estuarine coastal lower water column [ENVO:01001314],estuarine water [ENVO:01000301],SRX8928770,USA,North America,USA:Narragansett Bay,Illumina MiSeq,41.58 N 71.38 W,S16,PAIRED,PCR,METAGENOMIC,estuary metagenome,ILLUMINA,2020-08-30T00:00:00Z,30.63,N2_B7 D,SRP277143,4.14,,,
SRR12432982,AMPLICON,602,104523454,PRJNA656687,SAMN15795548,"MIMARKS.survey,MIGS/MIMS/MIMARKS.water",70738385,UNIVERSITY OF COPENHAGEN,2.2,2017-06-09,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",6.5 m,5.84,estuarine biome [ENVO:01000020],estuarine coastal lower water column [ENVO:01001314],estuarine water [ENVO:01000301],SRX8928769,USA,North America,USA:Narragansett Bay,Illumina MiSeq,41.63 N 71.38 W,S14,PAIRED,PCR,METAGENOMIC,estuary metagenome,ILLUMINA,2020-08-30T00:00:00Z,29.61,N2_B6 D,SRP277143,14.6,,,
SRR12432983,AMPLICON,602,148762628,PRJNA656687,SAMN15795547,"MIMARKS.survey,MIGS/MIMS/MIMARKS.water",101006122,UNIVERSITY OF COPENHAGEN,8.7,2017-06-09,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",6.5 m,7.03,estuarine biome [ENVO:01000020],estuarine coastal lower water column [ENVO:01001314],estuarine water [ENVO:01000301],SRX8928768,USA,North America,USA:Narragansett Bay,Illumina MiSeq,41.67 N 71.42 W,S12,PAIRED,PCR,METAGENOMIC,estuary metagenome,ILLUMINA,2020-08-30T00:00:00Z,28.88,N2_B14 D,SRP277143,15.29,,,
SRR12432984,AMPLICON,602,45177090,PRJNA656687,SAMN15795546,"MIMARKS.survey,MIGS/MIMS/MIMARKS.water",30700612,UNIVERSITY OF COPENHAGEN,1.6,2017-06-09,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",6.5 m,6.2,estuarine biome [ENVO:01000020],estuarine coastal lower water column [ENVO:01001314],estuarine water [ENVO:01000301],SRX8928767,USA,North America,USA:Narragansett Bay,Illumina MiSeq,41.74 N 71.37 W,S10,PAIRED,PCR,METAGENOMIC,estuary metagenome,ILLUMINA,2020-08-30T00:00:00Z,29.88,N2_B4 D,SRP277143,14.39,,,
SRR12432985,AMPLICON,602,338035040,PRJNA656687,SAMN15795545,"MIMARKS.survey,MIGS/MIMS/MIMARKS.water",241478858,UNIVERSITY OF COPENHAGEN,2.5,2017-05-11,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",6.5 m,8.04,estuarine biome [ENVO:01000020],estuarine coastal lower water column [ENVO:01001314],estuarine water [ENVO:01000301],SRX8928766,USA,North America,USA:Narragansett Bay,Illumina MiSeq,41.58 N 71.38 W,S8,PAIRED,PCR,METAGENOMIC,estuary metagenome,ILLUMINA,2020-08-30T00:00:00Z,30.25,N1_B7 D,SRP277143,11.2,,,
SRR12432986,AMPLICON,602,319187624,PRJNA656687,SAMN15795518,"MIMARKS.survey,MIGS/MIMS/MIMARKS.water",216766272,UNIVERSITY OF COPENHAGEN,3.1,2017-05-11,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1 m,9.3,estuarine biome [ENVO:01000020],estuarine coastal upper water column [ENVO:01001312],estuarine water [ENVO:01000301],SRX8928765,USA,North America,USA:Narragansett Bay,Illumina MiSeq,41.58 N 71.38 W,S7,PAIRED,PCR,METAGENOMIC,estuary metagenome,ILLUMINA,2020-08-30T00:00:00Z,26.74,N1_B7 S,SRP277143,12.74,3.15,0.49,13.45
SRR12432987,AMPLICON,602,82680486,PRJNA656687,SAMN15795544,"MIMARKS.survey,MIGS/MIMS/MIMARKS.water",58476967,UNIVERSITY OF COPENHAGEN,3.5,2017-05-11,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",6.5 m,8.11,estuarine biome [ENVO:01000020],estuarine coastal lower water column [ENVO:01001314],estuarine water [ENVO:01000301],SRX8928764,USA,North America,USA:Narragansett Bay,Illumina MiSeq,41.63 N 71.38 W,S6,PAIRED,PCR,METAGENOMIC,estuary metagenome,ILLUMINA,2020-08-30T00:00:00Z,27.26,N1_B6 D,SRP277143,12.46,,,
SRR12432988,AMPLICON,602,132438796,PRJNA656687,SAMN15795543,"MIMARKS.survey,MIGS/MIMS/MIMARKS.water",94323401,UNIVERSITY OF COPENHAGEN,3.3,2017-05-11,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",6.5 m,7.7,estuarine biome [ENVO:01000020],estuarine coastal lower water column [ENVO:01001314],estuarine water [ENVO:01000301],SRX8928763,USA,North America,USA:Narragansett Bay,Illumina MiSeq,41.67 N 71.42 W,S4,PAIRED,PCR,METAGENOMIC,estuary metagenome,ILLUMINA,2020-08-30T00:00:00Z,28.09,N1_B14 D,SRP277143,12.4,,,
SRR12432989,AMPLICON,602,145734568,PRJNA656687,SAMN15795542,"MIMARKS.survey,MIGS/MIMS/MIMARKS.water",98667984,UNIVERSITY OF COPENHAGEN,3.7,2017-05-11,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",6.5 m,7.56,estuarine biome [ENVO:01000020],estuarine coastal lower water column [ENVO:01001314],estuarine water [ENVO:01000301],SRX8928762,USA,North America,USA:Narragansett Bay,Illumina MiSeq,41.74 N 71.37 W,S2,PAIRED,PCR,METAGENOMIC,estuary metagenome,ILLUMINA,2020-08-30T00:00:00Z,28.1,N1_B4 D,SRP277143,11.79,,,
SRR12432990,AMPLICON,602,161245098,PRJNA656687,SAMN15795541,"MIMARKS.survey,MIGS/MIMS/MIMARKS.water",109692549,UNIVERSITY OF COPENHAGEN,7.9,2017-08-29,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1 m,5.77,estuarine biome [ENVO:01000020],estuarine coastal upper water column [ENVO:01001312],estuarine water [ENVO:01000301],SRX8928761,USA,North America,USA:Narragansett Bay,Illumina MiSeq,41.58 N 71.38 W,S53,PAIRED,PCR,METAGENOMIC,estuary metagenome,ILLUMINA,2020-08-30T00:00:00Z,31.08,N7_B7 S,SRP277143,21.54,,,
SRR12432991,AMPLICON,602,140920976,PRJNA656687,SAMN15795540,"MIMARKS.survey,MIGS/MIMS/MIMARKS.water",95823865,UNIVERSITY OF COPENHAGEN,9.2,2017-08-29,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1 m,6.83,estuarine biome [ENVO:01000020],estuarine coastal upper water column [ENVO:01001312],estuarine water [ENVO:01000301],SRX8928760,USA,North America,USA:Narragansett Bay,Illumina MiSeq,41.63 N 71.38 W,S51,PAIRED,PCR,METAGENOMIC,estuary metagenome,ILLUMINA,2020-08-30T00:00:00Z,30.48,N7_B6 S,SRP277143,22.27,,,
SRR12432992,AMPLICON,602,163423736,PRJNA656687,SAMN15795539,"MIMARKS.survey,MIGS/MIMS/MIMARKS.water",113700196,UNIVERSITY OF COPENHAGEN,20.9,2017-08-29,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1 m,6.02,estuarine biome [ENVO:01000020],estuarine coastal upper water column [ENVO:01001312],estuarine water [ENVO:01000301],SRX8928759,USA,North America,USA:Narragansett Bay,Illumina MiSeq,41.67 N 71.42 W,S49,PAIRED,PCR,METAGENOMIC,estuary metagenome,ILLUMINA,2020-08-30T00:00:00Z,30.21,N7_B14 S,SRP277143,22.55,,,
SRR12432993,AMPLICON,602,58672726,PRJNA656687,SAMN15795538,"MIMARKS.survey,MIGS/MIMS/MIMARKS.water",38391818,UNIVERSITY OF COPENHAGEN,17.6,2017-08-29,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1 m,5.96,estuarine biome [ENVO:01000020],estuarine coastal upper water column [ENVO:01001312],estuarine water [ENVO:01000301],SRX8928758,USA,North America,USA:Narragansett Bay,Illumina MiSeq,41.74 N 71.37 W,S47,PAIRED,PCR,METAGENOMIC,estuary metagenome,ILLUMINA,2020-08-30T00:00:00Z,28.54,N7_B4 S,SRP277143,21.71,,,
SRR12432994,AMPLICON,602,146472620,PRJNA656687,SAMN15795537,"MIMARKS.survey,MIGS/MIMS/MIMARKS.water",96246404,UNIVERSITY OF COPENHAGEN,8.9,2017-08-09,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1 m,6.62,estuarine biome [ENVO:01000020],estuarine coastal upper water column [ENVO:01001312],estuarine water [ENVO:01000301],SRX8928757,USA,North America,USA:Narragansett Bay,Illumina MiSeq,41.58 N 71.38 W,S45,PAIRED,PCR,METAGENOMIC,estuary metagenome,ILLUMINA,2020-08-30T00:00:00Z,30.33,N6_B7 S,SRP277143,21.25,n/d,0.58,17.24
SRR12432995,AMPLICON,602,38152954,PRJNA656687,SAMN15795536,"MIMARKS.survey,MIGS/MIMS/MIMARKS.water",25198977,UNIVERSITY OF COPENHAGEN,14.8,2017-08-09,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1 m,5.81,estuarine biome [ENVO:01000020],estuarine coastal upper water column [ENVO:01001312],estuarine water [ENVO:01000301],SRX8928756,USA,North America,USA:Narragansett Bay,Illumina MiSeq,41.63 N 71.38 W,S43,PAIRED,PCR,METAGENOMIC,estuary metagenome,ILLUMINA,2020-08-30T00:00:00Z,29.71,N6_B6 S,SRP277143,21.8,n/d,0.72,21.2
