AUID_NEW,ARB2017.id,ARB2017.pctId,ARB2017.alen,ARB2017.evalue,Genomes879.id,Genomes879.pctId,Genomes879.alen,Genomes879.evalue,Genomes879.tax,MarineDiazo.subject,MarineDiazo.pid,MarineDiazo.alen,MarineDiazo.evalue,MarineDiazo.description,AUID,UCYNA_oligos,qcovs,pident,evalue,bitscore,Genoes879.pid_flag,MarineDiazo.ID,consensus_id,subcluster,cluster,CON,nifH_cluster,group1,group2,group3,group4,CyanoCON,crocoCMB,CyanoGroups,CyanoGroupsII,CyanoGroupsIII,CyanoGroupsIV
AUID.100438,AMM02583.1|uncultured_prokaryote,91.768,328,1.86e-128,Pelobacter carbinolicus,93.578,109,4.72e-72,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Pelobacteraceae;Pelobacter,NA,NA,NA,NA,NA,AUID.99172,NA,NA,NA,NA,NA,NA,NA,unknown1A,1A,1,unknown1A,1A,1A C3,"1A,  3,  &  1J/1K",1A C3,1A/C3 1J/1K,1A,unknown1A,unknown1A,unknown1A,unknown1A,unknown1A
AUID.1005,ACH99072.1|uncultured_microorganism,95.732,328,3.8899999999999996e-150,Coraliomargarita akajimensis,95.413,109,2.91e-71,Bacteria;Verrucomicrobia;Opitutae;Puniceicoccales;Puniceicoccaceae;Coraliomargarita,NA,NA,NA,NA,NA,AUID.999,NA,NA,NA,NA,NA,NA,NA,unknown3,3E,3,unknown3,3,1A C3,"1A,  3,  &  1J/1K",1A C3,1A/C3 1J/1K,3,unknown3,unknown3,unknown3,unknown3,unknown3
AUID.10051,ALN98307.1|uncultured_bacterium,99.322,295,7.459999999999999e-152,Pseudomonas stutzeri,94.898,98,1.19e-65,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas,Part_Farn_OTU_1012,98.983,295,1.6799999999999996e-152,Gamma 3,AUID.9511,NA,NA,NA,NA,NA,NA,Gamma 3;Part_Farn_OTU_1012,Gamma 3;Part_Farn_OTU_1012,1G,1,Gamma 3;Part_Farn_OTU_1012,1G,1G,1G,1B 1J/1K,1B & 1G,1G,Gamma 3;Part_Farn_OTU_1012,Gamma 3;Part_Farn_OTU_1012,Gamma 3;Part_Farn_OTU_1012,Gamma 3;Part_Farn_OTU_1012,Gamma 3;Part_Farn_OTU_1012
AUID.1006,BAV19204.1|uncultured_marine,93.272,327,3.0799999999999998e-136,Pseudomonas stutzeri,95.413,109,8.81e-75,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas,NA,NA,NA,NA,NA,AUID.963,NA,NA,NA,NA,NA,NA,NA,unknown1O,1O,1,unknown1O,1O/1P,1O/1P,1O/1P,1O/1P,1B & 1G,1O/1P,unknown1O,unknown1O,unknown1O,unknown1O,unknown1O
AUID.10060,ADV51966.1|uncultured_bacterium,99.694,327,2.9299999999999997e-171,Pseudomonas stutzeri,95.413,109,7.73e-75,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas,NA,NA,NA,NA,NA,AUID.9520,NA,NA,NA,NA,NA,NA,NA,unknown1G,1G,1,unknown1G,1G,1G,1G,1B 1J/1K,1B & 1G,1G,unknown1G,unknown1G,unknown1G,unknown1G,unknown1G
AUID.10068,ABW24695.1|uncultured_cyanobacterium,99.383,324,6.269999999999999e-168,Nostoc punctiforme,95.37,108,1.33e-73,Bacteria;Cyanobacteria;__c;Nostocales;Nostocaceae;Nostoc,NA,NA,NA,NA,NA,AUID.9528,NA,NA,NA,NA,NA,NA,NA,unknown1B,1B,1,unknown1B,1B,1B,1B,1B,1B & 1G,unknown1B,unknown1B,unknown1B,unknown1B,unknown1B,unknown1B
AUID.10075,SFW98605.1|Azotobacter_vinelandii,100,325,8.06e-172,Azotobacter vinelandii,100,108,5.549999999999999e-57,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Azotobacter,NA,NA,NA,NA,NA,AUID.9535,NA,NA,NA,NA,NA,1,NA,Azotobacter vinelandii,2C,2,Azotobacter vinelandii,2,2,2,2,1B & 1G,2,Azotobacter vinelandii,Azotobacter vinelandii,Azotobacter vinelandii,Azotobacter vinelandii,Azotobacter vinelandii
AUID.10076,ABW24695.1|uncultured_cyanobacterium,99.074,324,2.9199999999999995e-166,Nostoc punctiforme,95.37,108,1.33e-73,Bacteria;Cyanobacteria;__c;Nostocales;Nostocaceae;Nostoc,NA,NA,NA,NA,NA,AUID.9536,NA,NA,NA,NA,NA,NA,NA,unknown1B,1B,1,unknown1B,1B,1B,1B,1B,1B & 1G,unknown1B,unknown1B,unknown1B,unknown1B,unknown1B,unknown1B
AUID.100798,ALN98307.1|uncultured_bacterium,99.322,295,7.459999999999999e-152,Pseudomonas stutzeri,94.898,98,1.19e-65,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas,Part_Farn_OTU_1012,98.983,295,1.6799999999999996e-152,Gamma 3,AUID.98236,NA,NA,NA,NA,NA,NA,Gamma 3;Part_Farn_OTU_1012,Gamma 3;Part_Farn_OTU_1012,1G,1,Gamma 3;Part_Farn_OTU_1012,1G,1G,1G,1B 1J/1K,1B & 1G,1G,Gamma 3;Part_Farn_OTU_1012,Gamma 3;Part_Farn_OTU_1012,Gamma 3;Part_Farn_OTU_1012,Gamma 3;Part_Farn_OTU_1012,Gamma 3;Part_Farn_OTU_1012
AUID.10093,ABF31144.1|uncultured_microorganism,99.691,324,1.3499999999999998e-169,Xanthobacter autotrophicus,97.222,108,2.74e-75,Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;Xanthobacter,alpha1,99.074,324,1.3999999999999999e-168,alpha1|MH144511|α-ETSP1,AUID.9552,NA,NA,NA,NA,NA,1,alpha1|MH144511|α-ETSP1;alpha1,alpha1|MH144511|α-ETSP1;alpha1,1K,1,alpha1|MH144511|α-ETSP1;alpha1,1J/1K,1J/1K,"1A,  3,  &  1J/1K",1B 1J/1K,1A/C3 1J/1K,1J/1K,alpha1|MH144511|α-ETSP1;alpha1,alpha1|MH144511|α-ETSP1;alpha1,alpha1|MH144511|α-ETSP1;alpha1,alpha1|MH144511|α-ETSP1;alpha1,alpha1|MH144511|α-ETSP1;alpha1
AUID.10095,ABF31101.1|uncultured_microorganism,99.694,327,2.9299999999999997e-171,Pseudomonas stutzeri,95.413,109,1.97e-65,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas,NA,NA,NA,NA,NA,AUID.9554,NA,NA,NA,NA,NA,NA,NA,unknown1G,1G,1,unknown1G,1G,1G,1G,1B 1J/1K,1B & 1G,1G,unknown1G,unknown1G,unknown1G,unknown1G,unknown1G
AUID.10096,ABW24695.1|uncultured_cyanobacterium,99.691,324,1.3499999999999998e-169,Nostoc punctiforme,95.37,108,2.93e-74,Bacteria;Cyanobacteria;__c;Nostocales;Nostocaceae;Nostoc,NA,NA,NA,NA,NA,AUID.9555,NA,NA,NA,NA,NA,NA,NA,unknown1B,1B,1,unknown1B,1B,1B,1B,1B,1B & 1G,unknown1B,unknown1B,unknown1B,unknown1B,unknown1B,unknown1B
AUID.101015,AEI72404.1|uncultured_bacterium,80.061,326,5.68e-64,Desulfovibrio magneticus,88.073,109,6.649999999999999e-67,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio,NA,NA,NA,NA,NA,AUID.98238,NA,NA,NA,NA,NA,NA,NA,unknown3,3N,3,unknown3,3,1A C3,"1A,  3,  &  1J/1K",1A C3,1A/C3 1J/1K,3,unknown3,unknown3,unknown3,unknown3,unknown3
AUID.10108,AHY23132.1|uncultured_marine,99.694,327,2.9299999999999997e-171,Allochromatium vinosum,95.413,109,3.3599999999999998e-74,Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Chromatiaceae;Allochromatium,Npac_Shio_otu00009,98.777,327,1.4199999999999997e-168,g-ETSP2,AUID.10112,NA,NA,NA,NA,NA,NA,g-ETSP2;Npac_Shio_otu00009,g-ETSP2;Npac_Shio_otu00009,1G,1,g-ETSP2;Npac_Shio_otu00009,1G,1G,1G,1B 1J/1K,1B & 1G,1G,g-ETSP2;Npac_Shio_otu00009,g-ETSP2;Npac_Shio_otu00009,g-ETSP2;Npac_Shio_otu00009,g-ETSP2;Npac_Shio_otu00009,g-ETSP2;Npac_Shio_otu00009
AUID.10112,AGE14368.1|uncultured_bacterium,99.692,325,3.75e-170,cyanobacterium UCYN-A,100,108,2.12e-76,Bacteria;Cyanobacteria;__c;Chroococcales;__f;__g,AF059627.1,99.383,324,3.0199999999999998e-170,UCYN-A | Unidentified marine eubacterium clone HT1150,AUID.10113,UCYN-A1,76,100,2.0199999999999998e-132,459,1,UCYN-A | Unidentified marine eubacterium clone HT1150;AF059627.1,UCYN-A1,1B,1,UCYN-A1,1B,1B,1B,1B,1B & 1G,UCYN-A1,UCYN-A1,UCYN-A1,UCYN-A1,UCYN-A1,A1-A3
AUID.10119,SCQ51450.1|uncultured_bacterium,100,325,8.06e-172,Trichodesmium erythraeum,100,108,2.37e-76,Bacteria;Cyanobacteria;Oscillatoriophycideae;Oscillatoriales;Microcoleaceae;Trichodesmium,AY896367.1,100,324,1.3899999999999998e-173,Tricho | Uncultured marine bacterium clone TAM229404,AUID.10104,NA,NA,NA,NA,NA,1,Tricho | Uncultured marine bacterium clone TAM229404;AY896367.1,Tricho | Uncultured marine bacterium clone TAM229404;AY896367.1,1B,1,Tricho | Uncultured marine bacterium clone TAM229404;AY896367.1,1B,1B,1B,1B,1B & 1G,Tricho | Uncultured marine bacterium clone TAM229404;AY896367.1,Tricho | Uncultured marine bacterium clone TAM229404;AY896367.1,Tricho | Uncultured marine bacterium clone TAM229404;AY896367.1,Trichodesmium sp.,Trichodesmium sp.,Tricho | Uncultured marine bacterium clone TAM229404;AY896367.1
AUID.10120,AEI72278.1|uncultured_bacterium,99.694,327,2.9299999999999997e-171,Pseudomonas stutzeri,94.495,109,5.350000000000001e-65,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas,SCCS_Turk_denovo2,99.39,328,1.82e-172,SCCS-Turk-denovo2,AUID.10116,NA,NA,NA,NA,NA,NA,SCCS-Turk-denovo2;SCCS_Turk_denovo2,SCCS-Turk-denovo2;SCCS_Turk_denovo2,1G,1,SCCS-Turk-denovo2;SCCS_Turk_denovo2,1G,1G,1G,1B 1J/1K,1B & 1G,1G,SCCS-Turk-denovo2;SCCS_Turk_denovo2,SCCS-Turk-denovo2;SCCS_Turk_denovo2,SCCS-Turk-denovo2;SCCS_Turk_denovo2,SCCS-Turk-denovo2;SCCS_Turk_denovo2,SCCS-Turk-denovo2;SCCS_Turk_denovo2
AUID.10128,BAP91501.1|uncultured_marine,99.694,327,2.9299999999999997e-171,Pseudomonas stutzeri,94.495,109,2.3e-74,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas,Npac_Shio_otu00009,98.471,327,6.6e-167,g-ETSP2,AUID.10120,NA,NA,NA,NA,NA,NA,g-ETSP2;Npac_Shio_otu00009,g-ETSP2;Npac_Shio_otu00009,1G,1,g-ETSP2;Npac_Shio_otu00009,1G,1G,1G,1B 1J/1K,1B & 1G,1G,g-ETSP2;Npac_Shio_otu00009,g-ETSP2;Npac_Shio_otu00009,g-ETSP2;Npac_Shio_otu00009,g-ETSP2;Npac_Shio_otu00009,g-ETSP2;Npac_Shio_otu00009
AUID.10132,AHG25267.1|uncultured_marine,97.546,326,1.7699999999999999e-158,NA,NA,NA,NA,NA,DQ118216.2,97.231,325,1.4299999999999999e-158,UCYN-B | Uncultured marine bacterium clone HT3312A10_SP6,AUID.10124,NA,NA,NA,NA,NA,NA,UCYN-B | Uncultured marine bacterium clone HT3312A10_SP6;DQ118216.2,unknown,unknown,unknown,unknown,1B,1B,1B,1B,1B & 1G,unknown,unknown,unknown,unknown,unknown,unknown
AUID.10133,ADV51862.1|uncultured_bacterium,99.691,324,1.3499999999999998e-169,Nostoc punctiforme,97.222,108,3.21e-75,Bacteria;Cyanobacteria;__c;Nostocales;Nostocaceae;Nostoc,AY706888.1,99.074,324,1.3999999999999999e-168,Het-1 | Uncultured bacterium clone HT_9025h5,AUID.10125,NA,NA,NA,NA,NA,1,Het-1 | Uncultured bacterium clone HT_9025h5 ;AY706888.1,Het-1 | Uncultured bacterium clone HT_9025h5 ;AY706888.1,1B,1,Het-1 | Uncultured bacterium clone HT_9025h5 ;AY706888.1,1B,1B,1B,1B,1B & 1G,Het-1 | Uncultured bacterium clone HT_9025h5 ;AY706888.1,Het-1 | Uncultured bacterium clone HT_9025h5 ;AY706888.1,Het-1 | Uncultured bacterium clone HT_9025h5 ;AY706888.1,Het-1 | Uncultured bacterium clone HT_9025h5 ;AY706888.1,Het-1 | Uncultured bacterium clone HT_9025h5 ;AY706888.1,Het-1 | Uncultured bacterium clone HT_9025h5 ;AY706888.1
AUID.10134,ADV51862.1|uncultured_bacterium,98.765,324,1.3599999999999998e-164,Nostoc punctiforme,97.222,108,3.21e-75,Bacteria;Cyanobacteria;__c;Nostocales;Nostocaceae;Nostoc,AY706888.1,98.148,324,1.4099999999999998e-163,Het-1 | Uncultured bacterium clone HT_9025h5,AUID.10126,NA,NA,NA,NA,NA,1,Het-1 | Uncultured bacterium clone HT_9025h5 ;AY706888.1,Het-1 | Uncultured bacterium clone HT_9025h5 ;AY706888.1,1B,1,Het-1 | Uncultured bacterium clone HT_9025h5 ;AY706888.1,1B,1B,1B,1B,1B & 1G,Het-1 | Uncultured bacterium clone HT_9025h5 ;AY706888.1,Het-1 | Uncultured bacterium clone HT_9025h5 ;AY706888.1,Het-1 | Uncultured bacterium clone HT_9025h5 ;AY706888.1,Het-1 | Uncultured bacterium clone HT_9025h5 ;AY706888.1,Het-1 | Uncultured bacterium clone HT_9025h5 ;AY706888.1,Het-1 | Uncultured bacterium clone HT_9025h5 ;AY706888.1
AUID.10135,ADT90082.1|uncultured_marine,99.385,325,1.7399999999999998e-168,Crocosphaera watsonii,97.222,108,1.94e-63,Bacteria;Cyanobacteria;__c;Chroococcales;__f;Crocosphaera,DQ118216.2,98.457,324,3.0399999999999994e-165,UCYN-B | Uncultured marine bacterium clone HT3312A10_SP6,AUID.10127,NA,NA,NA,NA,NA,1,UCYN-B | Uncultured marine bacterium clone HT3312A10_SP6;DQ118216.2,UCYN-B | Uncultured marine bacterium clone HT3312A10_SP6;DQ118216.2,1B,1,UCYN-B | Uncultured marine bacterium clone HT3312A10_SP6;DQ118216.2,1B,1B,1B,1B,1B & 1G,UCYN-B | Uncultured marine bacterium clone HT3312A10_SP6;DQ118216.2,UCYN-B | Uncultured marine bacterium clone HT3312A10_SP6;DQ118216.2,UCYN-B | Uncultured marine bacterium clone HT3312A10_SP6;DQ118216.2,UCYN-B | Uncultured marine bacterium clone HT3312A10_SP6;DQ118216.2,UCYN-B | Uncultured marine bacterium clone HT3312A10_SP6;DQ118216.2,UCYN-B | Uncultured marine bacterium clone HT3312A10_SP6;DQ118216.2
AUID.10143,AFO66647.1|uncultured_bacterium,99.688,321,6.269999999999999e-168,Cyanothece sp.,96.296,108,5.04e-64,Bacteria;Cyanobacteria;__c;Chroococcales;__f;Cyanothece,Croco_otu3,99.692,325,1.7999999999999998e-172,Cwaterburyi,AUID.10105,NA,NA,NA,NA,NA,NA,Cwaterburyi;Croco_otu3,Cwaterburyi;Croco_otu3,1J,1,Cwaterburyi;Croco_otu3,1B,1B,1B,1B,1B & 1G,Cwaterburyi;Croco_otu3,CrocoCMB,Cwaterburyi;Croco_otu3,Cwaterburyi;Croco_otu3,Cwaterburyi;Croco_otu3,Cwaterburyi;Croco_otu3
AUID.10144,AFO66647.1|uncultured_bacterium,99.065,321,1.3599999999999998e-164,Cyanothece sp.,95.37,108,2.36e-63,Bacteria;Cyanobacteria;__c;Chroococcales;__f;Cyanothece,Croco_otu3,99.077,325,3.9099999999999994e-169,Cwaterburyi,AUID.10106,NA,NA,NA,NA,NA,NA,Cwaterburyi;Croco_otu3,Cwaterburyi;Croco_otu3,1J,1,Cwaterburyi;Croco_otu3,1B,1B,1B,1B,1B & 1G,Cwaterburyi;Croco_otu3,CrocoCMB,Cwaterburyi;Croco_otu3,Cwaterburyi;Croco_otu3,Cwaterburyi;Croco_otu3,Cwaterburyi;Croco_otu3
AUID.10146,AHG25267.1|uncultured_marine,99.692,325,3.75e-170,Crocosphaera watsonii,100,108,1.24e-64,Bacteria;Cyanobacteria;__c;Chroococcales;__f;Crocosphaera,DQ118216.2,99.383,324,3.0199999999999998e-170,UCYN-B | Uncultured marine bacterium clone HT3312A10_SP6,AUID.10107,NA,NA,NA,NA,NA,1,UCYN-B | Uncultured marine bacterium clone HT3312A10_SP6;DQ118216.2,UCYN-B | Uncultured marine bacterium clone HT3312A10_SP6;DQ118216.2,1J,1,UCYN-B | Uncultured marine bacterium clone HT3312A10_SP6;DQ118216.2,1B,1B,1B,1B,1B & 1G,UCYN-B | Uncultured marine bacterium clone HT3312A10_SP6;DQ118216.2,UCYN-B | Uncultured marine bacterium clone HT3312A10_SP6;DQ118216.2,UCYN-B | Uncultured marine bacterium clone HT3312A10_SP6;DQ118216.2,UCYN-B | Uncultured marine bacterium clone HT3312A10_SP6;DQ118216.2,UCYN-B | Uncultured marine bacterium clone HT3312A10_SP6;DQ118216.2,UCYN-B | Uncultured marine bacterium clone HT3312A10_SP6;DQ118216.2
AUID.10147,ADV52033.1|uncultured_bacterium,99.065,321,1.37e-164,Teredinibacter turnerae,95.413,109,2.02e-74,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadalesgeneraincertaesedis;Teredinibacter,SCCS_Turk_denovo3,98.742,318,1.43e-163,SCCS-Turk-denovo3,AUID.10137,NA,NA,NA,NA,NA,NA,SCCS-Turk-denovo3;SCCS_Turk_denovo3,SCCS-Turk-denovo3;SCCS_Turk_denovo3,1G,1,SCCS-Turk-denovo3;SCCS_Turk_denovo3,1G,1G,1G,1B 1J/1K,1B & 1G,1G,SCCS-Turk-denovo3;SCCS_Turk_denovo3,SCCS-Turk-denovo3;SCCS_Turk_denovo3,SCCS-Turk-denovo3;SCCS_Turk_denovo3,SCCS-Turk-denovo3;SCCS_Turk_denovo3,SCCS-Turk-denovo3;SCCS_Turk_denovo3
AUID.10148,AAW23152.1|uncultured_bacterium,100,324,2.9e-171,Nostoc punctiforme,93.519,108,1.4699999999999998e-72,Bacteria;Cyanobacteria;__c;Nostocales;Nostocaceae;Nostoc,NA,NA,NA,NA,NA,AUID.10138,NA,NA,NA,NA,NA,NA,NA,unknown1B,1B,1,unknown1B,1B,1B,1B,1B,1B & 1G,unknown1B,unknown1B,unknown1B,unknown1B,unknown1B,unknown1B
AUID.1015,ADD48973.1|uncultured_bacterium,89.634,328,8.799999999999999e-117,Desulfovibrio aespoeensis,95.413,109,2.32e-71,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio,NA,NA,NA,NA,NA,AUID.1008,NA,NA,NA,NA,NA,NA,NA,unknown3,3E,3,unknown3,3,1A C3,"1A,  3,  &  1J/1K",1A C3,1A/C3 1J/1K,3,unknown3,unknown3,unknown3,unknown3,unknown3
AUID.10150,AHG25267.1|uncultured_marine,99.692,325,3.75e-170,Crocosphaera watsonii,99.074,108,6.68e-64,Bacteria;Cyanobacteria;__c;Chroococcales;__f;Crocosphaera,DQ118216.2,99.383,324,3.0199999999999998e-170,UCYN-B | Uncultured marine bacterium clone HT3312A10_SP6,AUID.10108,NA,NA,NA,NA,NA,1,UCYN-B | Uncultured marine bacterium clone HT3312A10_SP6;DQ118216.2,UCYN-B | Uncultured marine bacterium clone HT3312A10_SP6;DQ118216.2,1B,1,UCYN-B | Uncultured marine bacterium clone HT3312A10_SP6;DQ118216.2,1B,1B,1B,1B,1B & 1G,UCYN-B | Uncultured marine bacterium clone HT3312A10_SP6;DQ118216.2,UCYN-B | Uncultured marine bacterium clone HT3312A10_SP6;DQ118216.2,UCYN-B | Uncultured marine bacterium clone HT3312A10_SP6;DQ118216.2,UCYN-B | Uncultured marine bacterium clone HT3312A10_SP6;DQ118216.2,UCYN-B | Uncultured marine bacterium clone HT3312A10_SP6;DQ118216.2,UCYN-B | Uncultured marine bacterium clone HT3312A10_SP6;DQ118216.2
AUID.10151,ADV51966.1|uncultured_bacterium,93.578,327,6.61e-138,Pseudomonas stutzeri,96.33,109,3.1300000000000003e-75,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas,NA,NA,NA,NA,NA,AUID.10140,NA,NA,NA,NA,NA,NA,NA,unknown1G,1G,1,unknown1G,1G,1G,1G,1B 1J/1K,1B & 1G,1G,unknown1G,unknown1G,unknown1G,unknown1G,unknown1G
