arb_name	genus_species	NCBI nuc	NCBI prot	NCBI GI	nifHCluster	kingdom	phylum	class	order	family	genus
AlkMeta2	Alkaliphilus metalliredigens	NC_009633	YP_001321310.1	150391261	3C	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Alkaliphilus
AlkOreml	Alkaliphilus oremlandii	CP000853	ABW17872.1	158139560	4F	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Alkaliphilus
AlkOrem2	Alkaliphilus oremlandii	NC_009922	YP_001511868.1	158319361	4F	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Alkaliphilus
AllVinos	Allochromatium vinosum	ACQQ01000002	EER67145.1	241463622	1G	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	Allochromatium
AllVino2	Allochromatium vinosum	NZ_ACQQ01000002	ZP_04772907.1	241775624	1G	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	Allochromatium
AllVino3	Allochromatium vinosum	CP001896	ADC62805.1	288896969	1G	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	Allochromatium
AllVino4	Allochromatium vinosum	NC_013851	YP_003443837.1	288941597	1G	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	Allochromatium
AnaVari2	Anabaena variabilis	CP000117	ABA23651.1	75703975	3E	Bacteria	Cyanobacteria	__c	Nostocales	Nostocaceae	Anabaena
AnaVari3	Anabaena variabilis	NC_007413	YP_324546.1	75910250	3E	Bacteria	Cyanobacteria	__c	Nostocales	Nostocaceae	Anabaena
AnaVari6	Anabaena variabilis	CP000117	ABA23521.1	75703845	1B	Bacteria	Cyanobacteria	__c	Nostocales	Nostocaceae	Anabaena
AnaVari7	Anabaena variabilis	CP000117	ABA23658.1	75703982	1B	Bacteria	Cyanobacteria	__c	Nostocales	Nostocaceae	Anabaena
AnaVari8	Anabaena variabilis	CP000117	ABA23846.1	75704170	1B	Bacteria	Cyanobacteria	__c	Nostocales	Nostocaceae	Anabaena
AnaVari9	Anabaena variabilis	CP000117	ABA24076.1	75704400	1B	Bacteria	Cyanobacteria	__c	Nostocales	Nostocaceae	Anabaena
AnaVar10	Anabaena variabilis	NC_007413	YP_324416.1	75910120	1B	Bacteria	Cyanobacteria	__c	Nostocales	Nostocaceae	Anabaena
AnaVar11	Anabaena variabilis	NC_007413	YP_324553.1	75910257	1B	Bacteria	Cyanobacteria	__c	Nostocales	Nostocaceae	Anabaena
AnaVar12	Anabaena variabilis	NC_007413	YP_324741.1	75910445	1B	Bacteria	Cyanobacteria	__c	Nostocales	Nostocaceae	Anabaena
AnaVar13	Anabaena variabilis	NC_007413	YP_324971.1	75910675	1B	Bacteria	Cyanobacteria	__c	Nostocales	Nostocaceae	Anabaena
AnmSpeci	Anaeromyxobacter sp.	CP000769	ABS27227.1	152029459	1A	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Cystobacterineae	Anaeromyxobacter
AnmSpec2	Anaeromyxobacter sp.	NC_009675	YP_001380211.1	153005886	1A	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Cystobacterineae	Anaeromyxobacter
AnmSpec3	Anaeromyxobacter sp.	CP001131	ACG74424.1	196173451	1A	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Cystobacterineae	Anaeromyxobacter
AnmSpec4	Anaeromyxobacter sp.	NC_011145	YP_002135553.1	197123602	1A	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Cystobacterineae	Anaeromyxobacter
ArcNitr4	Arcobacter nitrofigilis	CP001999	ADG91719.1	296095769	1F	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Arcobacter
ArcNitr5	Arcobacter nitrofigilis	NC_014166	YP_003654225.1	296271594	1F	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Arcobacter
AzrSpec3	Azoarcus sp.	AM406670	CAL93155.1	119669242	1P	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Azoarcus
AzrSpec4	Azoarcus sp.	NC_008702	YP_932042.1	119896829	1P	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Azoarcus
AzhCaul5	Azorhizobium caulinodans	AP009384	BAF87039.1	158329554	1K	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Azorhizobium
AzhCaul6	Azorhizobium caulinodans	AP009384	BAF89441.1	158331956	1K	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Azorhizobium
AzhCaul7	Azorhizobium caulinodans	NC_009937	YP_001523957.1	158422665	1K	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Azorhizobium
AzhCaul8	Azorhizobium caulinodans	NC_009937	YP_001526359.1	158425067	1K	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Azorhizobium
AzoSpe28	Azospirillum sp.	AP010946	BAI71409.1	288909920	1J	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Azospirillum
AzoSpe29	Azospirillum sp.	NC_013854	YP_003447953.1	288957612	1J	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Azospirillum
AztVine8	Azotobacter vinelandii	CP001157	ACO76403.1	226717232	1G	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Azotobacter
AztVine9	Azotobacter vinelandii	CP001157	ACO76527.1	226717356	1G	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Azotobacter
AztVin10	Azotobacter vinelandii	CP001157	ACO81000.1	226721829	2C	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Azotobacter
AztVin11	Azotobacter vinelandii	NC_012560	YP_002797378.1	226942305	1G	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Azotobacter
AztVin12	Azotobacter vinelandii	NC_012560	YP_002797502.1	226942429	1G	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Azotobacter
AztVin13	Azotobacter vinelandii	NC_012560	YP_002801975.1	226946902	2C	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Azotobacter
BctrmS50	bacterium S5	ADGU01000035	EFC65041.1	288326361	1O	NA					
BctrmS52	bacterium S5	NZ_ADGU01000035	ZP_06404521.1	288798982	1O	NA					
BeiIndi2	Beijerinckia indica	CP001016	ACB94126.1	182633352	1K	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Beijerinckia
BeiIndi3	Beijerinckia indica	NC_010581	YP_001831615.1	182677469	1K	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Beijerinckia
BraJap16	Bradyrhizobium japonicum	BA000040	BAC47034.1	27350022	1K	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium
BraJap17	Bradyrhizobium japonicum	NC_004463	NP_768409.1	27376880	1K	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium
BraSpe40	Bradyrhizobium sp.	CU234118	CAL79071.1	146195046	1K	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium
BraSpe41	Bradyrhizobium sp.	CU234118	CAL79117.1	146195092	1K	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium
BraSpe42	Bradyrhizobium sp.	NC_009445	YP_001207288.1	146342240	1K	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium
BraSpe43	Bradyrhizobium sp.	NC_009445	YP_001207334.1	146342286	1K	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium
BraSpe44	Bradyrhizobium sp.	CP000494	ABQ37822.1	146409316	1K	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium
BraSpe45	Bradyrhizobium sp.	CP000494	ABQ37866.1	146409360	1K	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium
BraSpe46	Bradyrhizobium sp.	NC_009485	YP_001241728.1	148257143	1K	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium
BraSpe47	Bradyrhizobium sp.	NC_009485	YP_001241772.1	148257187	1K	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium
BurCaryo	Burkholderia caryophylli	EF158806	ABO64216.1	134148326	1K	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia
BurFerra	Burkholderia ferrariae	EF158799	ABO64209.1	134148312	1K	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia
BurPhym3	Burkholderia phymatum	CP001046	ACC76639.1	184198677	1K	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia
BurPhym4	Burkholderia phymatum	CP001046	ACC76684.1	184198722	1K	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia
BurPhym5	Burkholderia phymatum	NC_010627	YP_001863689.1	186474718	1K	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia
BurPhym6	Burkholderia phymatum	NC_010627	YP_001863734.1	186474763	1K	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia
BurSilva	Burkholderia silvatlantica	EF158807	ABO64217.1	134148328	1K	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia
BurSilv2	Burkholderia silvatlantica	EF158808	ABO64218.1	134148330	1K	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia
BurSp150	Burkholderia sp.	CP002016	ADG20727.1	295441560	1K	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia
BurSp151	Burkholderia sp.	NC_014120	YP_003610238.1	295701237	1K	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia
BurSp152	Burkholderia sp.	ADNR01000001	EFG73464.1	295893685	1K	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia
BurSp153	Burkholderia sp.	NZ_ADNR01000001	ZP_06839018.1	296156179	1K	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia
BurTrop3	Burkholderia tropica	EF158800	ABO64210.1	134148314	1K	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia
BurUnama	Burkholderia unamae	EF158803	ABO64213.1	134148320	1K	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia
BurUnam2	Burkholderia unamae	EF158802	ABO64212.1	134148318	1K	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia
BurUnam3	Burkholderia unamae	EF158804	ABO64214.1	134148322	1K	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia
BurViet5	Burkholderia vietnamiensis	CP000616	ABO58940.1	134134615	1K	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia
BurViet6	Burkholderia vietnamiensis	NC_009254	YP_001115195.1	134291426	1K	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia
BurViet7	Burkholderia vietnamiensis	EF158809	ABO64219.1	134148332	1K	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia
BurViet8	Burkholderia vietnamiensis	EF158811	ABO64221.1	134148336	1K	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia
BurXenov	Burkholderia xenovorans	CP000271	ABE34499.1	91691301	1K	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia
BurXeno2	Burkholderia xenovorans	NC_007952	YP_553849.1	91778641	1K	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia
BurXeno3	Burkholderia xenovorans	EF158805	ABO64215.1	134148324	1K	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia
ButFibri	Butyrivibrio fibrisolvens	FP929036	CBK74006.1	291518785	4C	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Butyrivibrio
CldHydro	Caldicellulosiruptor hydrothermalis	CP002219	ADQ07853.1	311778367	X	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	ThermoanaerobacteralesFamilyIIIIncertaeSedis	Caldicellulosiruptor
CldHydr2	Caldicellulosiruptor hydrothermalis	NC_014652	YP_003993222.1	312128348	X	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	ThermoanaerobacteralesFamilyIIIIncertaeSedis	Caldicellulosiruptor
CldKrist	Caldicellulosiruptor kristjanssonii	CP002326	ADQ41285.1	312181115	X	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	ThermoanaerobacteralesFamilyIIIIncertaeSedis	Caldicellulosiruptor
CldKris2	Caldicellulosiruptor kristjanssonii	NC_014721	YP_004026898.1	312793975	X	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	ThermoanaerobacteralesFamilyIIIIncertaeSedis	Caldicellulosiruptor
CldKrono	Caldicellulosiruptor kronotskyensis	CP002330	ADQ46964.1	312203637	X	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	ThermoanaerobacteralesFamilyIIIIncertaeSedis	Caldicellulosiruptor
CldKron2	Caldicellulosiruptor kronotskyensis	NC_014720	YP_004024783.1	312623170	X	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	ThermoanaerobacteralesFamilyIIIIncertaeSedis	Caldicellulosiruptor
CldLacto	Caldicellulosiruptor lactoaceticus	AEKD01000036	EFR11901.1	311795527	X	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	ThermoanaerobacteralesFamilyIIIIncertaeSedis	Caldicellulosiruptor
CldSacch	Caldicellulosiruptor saccharolyticus	CP000679	ABP68043.1	145411039	X	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	ThermoanaerobacteralesFamilyIIIIncertaeSedis	Caldicellulosiruptor
CldSacc2	Caldicellulosiruptor saccharolyticus	NC_009437	YP_001181234.1	146297463	X	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	ThermoanaerobacteralesFamilyIIIIncertaeSedis	Caldicellulosiruptor
CanAccum	Candidatus Accumulibacter	CP001715	ACV37675.1	257048487	1P	Bacteria	Proteobacteria	Betaproteobacteria	CandidatusAccumulibacter	__f	__g
CanAccu2	Candidatus Accumulibacter	NC_013194	YP_003169604.1	257095963	1P	Bacteria	Proteobacteria	Betaproteobacteria	CandidatusAccumulibacter	__f	__g
CanAzoba	Candidatus Azobacteroides	AP010656	BAG83808.1	212549140	3L	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	CandidatusAzobacteroides	__g
CanAzob2	Candidatus Azobacteroides	NC_011565	YP_002309219.1	212550902	3L	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	CandidatusAzobacteroides	__g
CanDesul	Candidatus Desulforudis	CP000860	ACA58711.1	169637205	2B	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae	CandidatusDesulforudis
CanDesu2	Candidatus Desulforudis	NC_010424	YP_001716343.1	169830361	2B	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae	CandidatusDesulforudis
CanMetha	Candidatus Methanoregula	CP000780	ABS56522.1	154000099	4B	Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Generaincertaesedis	CandidatusMethanoregula
CanMeth2	Candidatus Methanoregula	NC_009712	YP_001405165.1	154151547	4B	Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Generaincertaesedis	CandidatusMethanoregula
CanMeth3	Candidatus Methanoregula	CP000780	ABS56597.1	154000174	4D	Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Generaincertaesedis	CandidatusMethanoregula
CanMeth4	Candidatus Methanoregula	NC_009712	YP_001405240.1	154151622	4D	Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Generaincertaesedis	CandidatusMethanoregula
CanMeth5	Candidatus Methanoregula	CP000780	ABS55660.1	153999237	3J	Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Generaincertaesedis	CandidatusMethanoregula
CanMeth6	Candidatus Methanoregula	NC_009712	YP_001404303.1	154150685	3J	Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Generaincertaesedis	CandidatusMethanoregula
ChrParvu	Chlorobaculum parvum	CP001099	ACF12015.1	193086739	3P	Bacteria	Chlorobi	Chlorobia	Chlorobiales	Chlorobiaceae	Chlorobaculum
ChrParv2	Chlorobaculum parvum	NC_011027	YP_001999215.1	193213262	3P	Bacteria	Chlorobi	Chlorobia	Chlorobiales	Chlorobiaceae	Chlorobaculum
ChlChlor	Chlorobium chlorochromatii	CP000108	ABB28505.1	78171409	3P	Bacteria	Chlorobi	Chlorobia	Chlorobiales	Chlorobiaceae	Chlorobium
ChlChlo2	Chlorobium chlorochromatii	NC_007514	YP_379548.1	78189210	3P	Bacteria	Chlorobi	Chlorobia	Chlorobiales	Chlorobiaceae	Chlorobium
ChlFerro	Chlorobium ferrooxidans	AASE01000001	EAT59900.1	110341440	3P	Bacteria	Chlorobi	Chlorobia	Chlorobiales	Chlorobiaceae	Chlorobium
ChlFerr2	Chlorobium ferrooxidans	NZ_AASE01000001	ZP_01385043.1	110596753	3P	Bacteria	Chlorobi	Chlorobia	Chlorobiales	Chlorobiaceae	Chlorobium
ChlLimi2	Chlorobium limicola	CP001097	ACD89768.1	189340365	3P	Bacteria	Chlorobi	Chlorobia	Chlorobiales	Chlorobiaceae	Chlorobium
ChlLimi3	Chlorobium limicola	NC_010803	YP_001942747.1	189346218	3P	Bacteria	Chlorobi	Chlorobia	Chlorobiales	Chlorobiaceae	Chlorobium
ChlPhaeo	Chlorobium phaeobacteroides	CP000492	ABL64797.1	119353926	3P	Bacteria	Chlorobi	Chlorobia	Chlorobiales	Chlorobiaceae	Chlorobium
ChlPhae2	Chlorobium phaeobacteroides	NC_008639	YP_911221.1	119356577	3P	Bacteria	Chlorobi	Chlorobia	Chlorobiales	Chlorobiaceae	Chlorobium
ChlPhae3	Chlorobium phaeobacteroides	CP001101	ACE04669.1	189496121	3P	Bacteria	Chlorobi	Chlorobia	Chlorobiales	Chlorobiaceae	Chlorobium
ChlPhae4	Chlorobium phaeobacteroides	NC_010831	YP_001960150.1	189500680	3P	Bacteria	Chlorobi	Chlorobia	Chlorobiales	Chlorobiaceae	Chlorobium
ChlTepid	Chlorobium tepidum	AE006470	AAM72759.1	21647529	3P	Bacteria	Chlorobi	Chlorobia	Chlorobiales	Chlorobiaceae	Chlorobaculum
ChlTepi2	Chlorobium tepidum	NC_002932	NP_662417.1	21674352	3P	Bacteria	Chlorobi	Chlorobia	Chlorobiales	Chlorobiaceae	Chlorobaculum
ChhThala	Chloroherpeton thalassium	CP001100	ACF13499.1	193088224	3P	Bacteria	Chlorobi	Chlorobia	Chlorobiales	Chlorobiaceae	Chloroherpeton
ChhThal2	Chloroherpeton thalassium	NC_011026	YP_001995946.1	193214747	3P	Bacteria	Chlorobi	Chlorobia	Chlorobiales	Chlorobiaceae	Chloroherpeton
ChhThal3	Chloroherpeton thalassium	CP001100	ACF14285.1	193089010	2A	Bacteria	Chlorobi	Chlorobia	Chlorobiales	Chlorobiaceae	Chloroherpeton
ChhThal4	Chloroherpeton thalassium	NC_011026	YP_001996732.1	193215533	2A	Bacteria	Chlorobi	Chlorobia	Chlorobiales	Chlorobiaceae	Chloroherpeton
ClsBacte	Clostridiales bacterium	DS990260	EEQ59017.1	239519151	4F	Bacteria	Firmicutes	Clostridia	Clostridiales	__f	__g
ClsBact2	Clostridiales bacterium	NZ_DS990260	ZP_04672036.1	239629005	4F	Bacteria	Firmicutes	Clostridia	Clostridiales	__f	__g
ClsGenom	Clostridiales genomosp.	CP001850	ADC90429.1	289184004	4F	Bacteria	Firmicutes	Clostridia	Clostridiales	__f	__g
ClsGeno2	Clostridiales genomosp.	NC_013895	YP_003474551.1	289449457	4F	Bacteria	Firmicutes	Clostridia	Clostridiales	__f	__g
CloAceto	Clostridium acetobutylicum	AE001437	AAK78234.1	15023089	3C	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium
CloAcet2	Clostridium acetobutylicum	NC_003030	NP_346894.1	15893545	3C	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium
CloBartl	Clostridium bartlettii	ABEZ02000019	EDQ96257.1	164602792	4F	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium
CloBart2	Clostridium bartlettii	NZ_ABEZ02000019	ZP_02212407.1	164688379	4F	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium
CloBeij2	Clostridium beijerinckii	CP000721	ABR32810.1	149901977	3C	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium
CloBeij3	Clostridium beijerinckii	CP000721	ABR34169.1	149903336	3C	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium
CloBeij4	Clostridium beijerinckii	NC_009617	YP_001307766.1	150015512	3C	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium
CloBeij5	Clostridium beijerinckii	NC_009617	YP_001309125.1	150016871	3C	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium
CloBolte	Clostridium bolteae	ABCC02000022	EDP17532.1	158439783	4F	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium
CloBolt2	Clostridium bolteae	NZ_ABCC02000022	ZP_02084581.1	160937219	4F	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium
CloBolt3	Clostridium bolteae	ABCC02000036	EDP15245.1	158437481	4F	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium
CloBolt4	Clostridium bolteae	NZ_ABCC02000036	ZP_02087038.1	160939690	4F	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium
CloBotul	Clostridium botulinum	AM412317	CAL82242.1	148288174	4F	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium
CloBotu2	Clostridium botulinum	NC_009495	YP_001253231.1	148378690	4F	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium
CloBotu3	Clostridium botulinum	CP000726	ABS34797.1	152929297	4F	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium
