"SAMPLEID","join","Sample_Name2","seqID","station","cruise","Latitude","Longitude","Size_fraction","Sample.type","type","surface_dna","region","direction","wasSequenced","lat_lon","Depth","Collection_Month","SRA.Study","Run","Assay.Type","AvgSpotLen","Bases","BioProject","BioSample","BioSampleModel","Bytes","Center.Name","Consent","DATASTORE.filetype","DATASTORE.provider","DATASTORE.region","Experiment","geo_loc_name_country","geo_loc_name_country_continent","geo_loc_name","Instrument","Isolation_source","Library.Name","LibraryLayout","LibrarySelection","LibrarySource","Organism","Platform","ReleaseDate","samp_mat_process","Sample.Name","Collection_Date","Time"
"Hanna25-63703A","2",2016,63703,2,2016,23.297,158,"3","Profile","dna","yes","npsg","north",63703,"23.297 N 158 W",15,"2016-04","SRP190508","SRR8844096","AMPLICON",601,20949478,"PRJNA530276","SAMN11317376","Metagenome or environmental",11755240,"UNIVERSITY OF CALIFORNIA, SANTA CRUZ","public","fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX5631948","uncalculated","uncalculated","Pacific Ocean","Illumina MiSeq","Filtered seawater\, large size fraction (>3 microns)","63703_library","PAIRED","PCR","METAGENOMIC","marine metagenome","ILLUMINA","2019-04-03T00:00:00Z","high-throughput nifH gene sequencing","DNA-15m-23.36 N 157.57 W-Apr-2016-large fraction-63703","4/20/16",NA
"Hanna23-63699A","2",2016,63699,2,2016,23.297,158,"3","Profile","dna",NA,"npsg","north",63699,"23.297 N 158 W",45,"2016-04","SRP190508","SRR8844098","AMPLICON",601,27308379,"PRJNA530276","SAMN11317375","Metagenome or environmental",15161851,"UNIVERSITY OF CALIFORNIA, SANTA CRUZ","public","fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX5631946","uncalculated","uncalculated","Pacific Ocean","Illumina MiSeq","Filtered seawater\, large size fraction (>3 microns)","63699_library","PAIRED","PCR","METAGENOMIC","marine metagenome","ILLUMINA","2019-04-03T00:00:00Z","high-throughput nifH gene sequencing","DNA-45m-23.36 N 157.57 W-Apr-2016-large fraction-63699","4/20/16",NA
"Hanna24-63700A","2",2016,63700,2,2016,23.297,158,"0.2","Profile","dna",NA,"npsg","north",63700,"23.297 N 158 W",45,"2016-04","SRP190508","SRR8844099","AMPLICON",600,24663189,"PRJNA530276","SAMN11317349","Metagenome or environmental",13788864,"UNIVERSITY OF CALIFORNIA, SANTA CRUZ","public","fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX5631945","uncalculated","uncalculated","Pacific Ocean","Illumina MiSeq","Filtered seawater\, small size fraction (>2 microns\, <3 microns)","63700_library","PAIRED","PCR","METAGENOMIC","marine metagenome","ILLUMINA","2019-04-03T00:00:00Z","high-throughput nifH gene sequencing","DNA-45m-23.36 N 157.57 W-Apr-2016-small fraction-63700","4/20/16",NA
"Hanna21-63697A","2",2016,63697,2,2016,23.297,158,"3","Profile","dna",NA,"npsg","north",63697,"23.297 N 158 W",60,"2016-04","SRP190508","SRR8844100","AMPLICON",601,19819137,"PRJNA530276","SAMN11317374","Metagenome or environmental",11226825,"UNIVERSITY OF CALIFORNIA, SANTA CRUZ","public","fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX5631944","uncalculated","uncalculated","Pacific Ocean","Illumina MiSeq","Filtered seawater\, large size fraction (>3 microns)","63697_library","PAIRED","PCR","METAGENOMIC","marine metagenome","ILLUMINA","2019-04-03T00:00:00Z","high-throughput nifH gene sequencing","DNA-60m-23.36 N 157.57 W-Apr-2016-large fraction-63697","4/20/16",NA
"Hanna22-63698A","2",2016,63698,2,2016,23.297,158,"0.2","Profile","dna",NA,"npsg","north",63698,"23.297 N 158 W",60,"2016-04","SRP190508","SRR8844101","AMPLICON",600,18495210,"PRJNA530276","SAMN11317348","Metagenome or environmental",10286016,"UNIVERSITY OF CALIFORNIA, SANTA CRUZ","public","fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX5631943","uncalculated","uncalculated","Pacific Ocean","Illumina MiSeq","Filtered seawater\, small size fraction (>2 microns\, <3 microns)","63698_library","PAIRED","PCR","METAGENOMIC","marine metagenome","ILLUMINA","2019-04-03T00:00:00Z","high-throughput nifH gene sequencing","DNA-60m-23.36 N 157.57 W-Apr-2016-small fraction-63698","4/20/16",NA
"Hanna19-63695A","2",2016,63695,2,2016,23.297,158,"3","Profile","dna",NA,"npsg","north",63695,"23.297 N 158 W",75,"2016-04","SRP190508","SRR8844106","AMPLICON",601,20952956,"PRJNA530276","SAMN11317373","Metagenome or environmental",11853188,"UNIVERSITY OF CALIFORNIA, SANTA CRUZ","public","fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX5631938","uncalculated","uncalculated","Pacific Ocean","Illumina MiSeq","Filtered seawater\, large size fraction (>3 microns)","63695_library","PAIRED","PCR","METAGENOMIC","marine metagenome","ILLUMINA","2019-04-03T00:00:00Z","high-throughput nifH gene sequencing","DNA-75m-23.36 N 157.57 W-Apr-2016-large fraction-63695","4/20/16",NA
"Hanna20-63696A","2",2016,63696,2,2016,23.297,158,"0.2","Profile","dna",NA,"npsg","north",63696,"23.297 N 158 W",75,"2016-04","SRP190508","SRR8844107","AMPLICON",600,47394398,"PRJNA530276","SAMN11317347","Metagenome or environmental",26036877,"UNIVERSITY OF CALIFORNIA, SANTA CRUZ","public","fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX5631937","uncalculated","uncalculated","Pacific Ocean","Illumina MiSeq","Filtered seawater\, small size fraction (>2 microns\, <3 microns)","63696_library","PAIRED","PCR","METAGENOMIC","marine metagenome","ILLUMINA","2019-04-03T00:00:00Z","high-throughput nifH gene sequencing","DNA-75m-23.36 N 157.57 W-Apr-2016-small fraction-63696","4/20/16",NA
"Hanna17-63693A","2",2016,63693,2,2016,23.297,158,"3","Profile","dna",NA,"npsg","north",63693,"23.297 N 158 W",110,"2016-04","SRP190508","SRR8844157","AMPLICON",600,22517157,"PRJNA530276","SAMN11317372","Metagenome or environmental",13141040,"UNIVERSITY OF CALIFORNIA, SANTA CRUZ","public","fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX5631887","uncalculated","uncalculated","Pacific Ocean","Illumina MiSeq","Filtered seawater\, large size fraction (>3 microns)","63693_library","PAIRED","PCR","METAGENOMIC","marine metagenome","ILLUMINA","2019-04-03T00:00:00Z","high-throughput nifH gene sequencing","DNA-110m-23.36 N 157.57 W-Apr-2016-large fraction-63693","4/20/16",NA
"Hanna18-63694A","2",2016,63694,2,2016,23.297,158,"0.2","Profile","dna",NA,"npsg","north",63694,"23.297 N 158 W",110,"2016-04","SRP190508","SRR8844158","AMPLICON",600,24846844,"PRJNA530276","SAMN11317346","Metagenome or environmental",14747739,"UNIVERSITY OF CALIFORNIA, SANTA CRUZ","public","fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX5631886","uncalculated","uncalculated","Pacific Ocean","Illumina MiSeq","Filtered seawater\, small size fraction (>2 microns\, <3 microns)","63694_library","PAIRED","PCR","METAGENOMIC","marine metagenome","ILLUMINA","2019-04-03T00:00:00Z","high-throughput nifH gene sequencing","DNA-110m-23.36 N 157.57 W-Apr-2016-small fraction-63694","4/20/16",NA
"Hanna15-63689A","2",2016,63689,2,2016,23.297,158,"3","Profile","dna",NA,"npsg","north",63689,"23.297 N 158 W",150,"2016-04","SRP190508","SRR8844110","AMPLICON",600,21827741,"PRJNA530276","SAMN11317371","Metagenome or environmental",12782285,"UNIVERSITY OF CALIFORNIA, SANTA CRUZ","public","fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX5631934","uncalculated","uncalculated","Pacific Ocean","Illumina MiSeq","Filtered seawater\, large size fraction (>3 microns)","63689_library","PAIRED","PCR","METAGENOMIC","marine metagenome","ILLUMINA","2019-04-03T00:00:00Z","high-throughput nifH gene sequencing","DNA-150m-23.36 N 157.57 W-Apr-2016-large fraction-63689","4/20/16",NA
"Hanna16-63690A","2",2016,63690,2,2016,23.297,158,"0.2","Profile","dna",NA,"npsg","north",63690,"23.297 N 158 W",150,"2016-04","SRP190508","SRR8844160","AMPLICON",600,26407926,"PRJNA530276","SAMN11317345","Metagenome or environmental",15474356,"UNIVERSITY OF CALIFORNIA, SANTA CRUZ","public","fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX5631884","uncalculated","uncalculated","Pacific Ocean","Illumina MiSeq","Filtered seawater\, small size fraction (>2 microns\, <3 microns)","63690_library","PAIRED","PCR","METAGENOMIC","marine metagenome","ILLUMINA","2019-04-03T00:00:00Z","high-throughput nifH gene sequencing","DNA-150m-23.36 N 157.57 W-Apr-2016-small fraction-63690","4/20/16",NA
"Hanna13-63687A","2",2016,63687,2,2016,23.297,158,"3","Profile","dna",NA,"npsg","north",63687,"23.297 N 158 W",200,"2016-04","SRP190508","SRR8844112","AMPLICON",600,16253253,"PRJNA530276","SAMN11317370","Metagenome or environmental",9724959,"UNIVERSITY OF CALIFORNIA, SANTA CRUZ","public","fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX5631932","uncalculated","uncalculated","Pacific Ocean","Illumina MiSeq","Filtered seawater\, large size fraction (>3 microns)","63687_library","PAIRED","PCR","METAGENOMIC","marine metagenome","ILLUMINA","2019-04-03T00:00:00Z","high-throughput nifH gene sequencing","DNA-200m-23.36 N 157.57 W-Apr-2016-large fraction-63687","4/20/16",NA
"Hanna14-63688A","2",2016,63688,2,2016,23.297,158,"0.2","Profile","dna",NA,"npsg","north",63688,"23.297 N 158 W",200,"2016-04","SRP190508","SRR8844113","AMPLICON",600,21355143,"PRJNA530276","SAMN11317344","Metagenome or environmental",12409138,"UNIVERSITY OF CALIFORNIA, SANTA CRUZ","public","fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX5631931","uncalculated","uncalculated","Pacific Ocean","Illumina MiSeq","Filtered seawater\, small size fraction (>2 microns\, <3 microns)","63688_library","PAIRED","PCR","METAGENOMIC","marine metagenome","ILLUMINA","2019-04-03T00:00:00Z","high-throughput nifH gene sequencing","DNA-200m-23.36 N 157.57 W-Apr-2016-small fraction-63688","4/20/16",NA
"Gradoville17-68516","HF2",2017,68516,2,2017,27.214295,157.9990433,"whole",NA,"dna","yes","npsg","north",68516,"27.214295 N 157.9990433 W",15,"2017-05","SRP190508","SRR8844153","AMPLICON",501,14066664,"PRJNA530276","SAMN11317411","Metagenome or environmental",6417812,"UNIVERSITY OF CALIFORNIA, SANTA CRUZ","public","fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX5631891","uncalculated","uncalculated","Pacific Ocean","Illumina MiSeq","Filtered seawater (>0.2 microns)","68516_library","PAIRED","PCR","METAGENOMIC","marine metagenome","ILLUMINA","2019-04-03T00:00:00Z","high-throughput nifH gene sequencing","DNA-15m-27.21 N 158 W-May-2017-68516","5/29/17","18:49:00"
"Gradoville18-68517","HF2",2017,68517,2,2017,27.214295,157.9990433,"whole",NA,"dna","yes","npsg","north",68517,"27.214295 N 157.9990433 W",15,"2017-05","SRP190508","SRR8844154","AMPLICON",501,15095443,"PRJNA530276","SAMN11317412","Metagenome or environmental",6840546,"UNIVERSITY OF CALIFORNIA, SANTA CRUZ","public","fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX5631890","uncalculated","uncalculated","Pacific Ocean","Illumina MiSeq","Filtered seawater (>0.2 microns)","68517_library","PAIRED","PCR","METAGENOMIC","marine metagenome","ILLUMINA","2019-04-03T00:00:00Z","high-throughput nifH gene sequencing","DNA-15m-27.21 N 158 W-May-2017-68517","5/29/17","18:49:00"
"Gradoville5-68496","2",2017,68496,2,2017,25.7682965,158.014165,"whole",NA,"dna","yes","npsg","north",68496,"25.7682965 N 158.014165 W",15,"2017-05","SRP190508","SRR8844190","AMPLICON",501,22453352,"PRJNA530276","SAMN11317399","Metagenome or environmental",10248260,"UNIVERSITY OF CALIFORNIA, SANTA CRUZ","public","fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX5631854","uncalculated","uncalculated","Pacific Ocean","Illumina MiSeq","Filtered seawater (>0.2 microns)","68496_library","PAIRED","PCR","METAGENOMIC","marine metagenome","ILLUMINA","2019-04-03T00:00:00Z","high-throughput nifH gene sequencing","DNA-15m-25.77 N 158.01 W-May-2017-68496","5/29/17","4:27:00"
"Gradoville6-68497","2",2017,68497,2,2017,25.7682965,158.014165,"whole",NA,"dna","yes","npsg","north",68497,"25.7682965 N 158.014165 W",15,"2017-05","SRP190508","SRR8844191","AMPLICON",501,18267295,"PRJNA530276","SAMN11317400","Metagenome or environmental",8273879,"UNIVERSITY OF CALIFORNIA, SANTA CRUZ","public","fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX5631853","uncalculated","uncalculated","Pacific Ocean","Illumina MiSeq","Filtered seawater (>0.2 microns)","68497_library","PAIRED","PCR","METAGENOMIC","marine metagenome","ILLUMINA","2019-04-03T00:00:00Z","high-throughput nifH gene sequencing","DNA-15m-25.77 N 158.01 W-May-2017-68497","5/29/17","4:27:00"
"Gradoville79-68494","2",2017,68494,2,2017,25.7682965,158.014165,"whole",NA,"rna",NA,"npsg","north",68494,"25.7682965 N 158.014165 W",15,"2017-05","SRP190508","SRR8844196","AMPLICON",501,16264815,"PRJNA530276","SAMN11317469","Metagenome or environmental",7404625,"UNIVERSITY OF CALIFORNIA, SANTA CRUZ","public","fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX5631848","uncalculated","uncalculated","Pacific Ocean","Illumina MiSeq","Filtered seawater (>0.2 microns)","68494_library","PAIRED","PCR","METATRANSCRIPTOMIC","marine metagenome","ILLUMINA","2019-04-03T00:00:00Z","high-throughput nifH RNA-seq","RNA-15m-25.77 N 158.01 W-May-2017-68494","5/29/17","4:27:00"
"Gradoville80-68495","2",2017,68495,2,2017,25.7682965,158.014165,"whole",NA,"rna",NA,"npsg","north",68495,"25.7682965 N 158.014165 W",15,"2017-05","SRP190508","SRR8844197","AMPLICON",501,13427679,"PRJNA530276","SAMN11317470","Metagenome or environmental",6100299,"UNIVERSITY OF CALIFORNIA, SANTA CRUZ","public","fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX5631847","uncalculated","uncalculated","Pacific Ocean","Illumina MiSeq","Filtered seawater (>0.2 microns)","68495_library","PAIRED","PCR","METATRANSCRIPTOMIC","marine metagenome","ILLUMINA","2019-04-03T00:00:00Z","high-throughput nifH RNA-seq","RNA-15m-25.77 N 158.01 W-May-2017-68495","5/29/17","4:27:00"
"Gradoville7-68502","2",2017,68502,2,2017,25.7682965,158.014165,"whole",NA,"dna",NA,"npsg","north",68502,"25.7682965 N 158.014165 W",25,"2017-05","SRP190508","SRR8844129","AMPLICON",501,17894730,"PRJNA530276","SAMN11317401","Metagenome or environmental",8169126,"UNIVERSITY OF CALIFORNIA, SANTA CRUZ","public","fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX5631915","uncalculated","uncalculated","Pacific Ocean","Illumina MiSeq","Filtered seawater (>0.2 microns)","68502_library","PAIRED","PCR","METAGENOMIC","marine metagenome","ILLUMINA","2019-04-03T00:00:00Z","high-throughput nifH gene sequencing","DNA-25m-25.77 N 158.01 W-May-2017-68502","5/29/17","4:27:00"
"Gradoville8-68503","2",2017,68503,2,2017,25.7682965,158.014165,"whole",NA,"dna",NA,"npsg","north",68503,"25.7682965 N 158.014165 W",25,"2017-05","SRP190508","SRR8844128","AMPLICON",501,12736396,"PRJNA530276","SAMN11317402","Metagenome or environmental",5815370,"UNIVERSITY OF CALIFORNIA, SANTA CRUZ","public","fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX5631916","uncalculated","uncalculated","Pacific Ocean","Illumina MiSeq","Filtered seawater (>0.2 microns)","68503_library","PAIRED","PCR","METAGENOMIC","marine metagenome","ILLUMINA","2019-04-03T00:00:00Z","high-throughput nifH gene sequencing","DNA-25m-25.77 N 158.01 W-May-2017-68503","5/29/17","4:27:00"
"Gradoville11-68506","2",2017,68506,2,2017,25.7682965,158.014165,"whole",NA,"dna",NA,"npsg","north",68506,"25.7682965 N 158.014165 W",45,"2017-05","SRP190508","SRR8844133","AMPLICON",501,17976349,"PRJNA530276","SAMN11317405","Metagenome or environmental",9250321,"UNIVERSITY OF CALIFORNIA, SANTA CRUZ","public","fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX5631911","uncalculated","uncalculated","Pacific Ocean","Illumina MiSeq","Filtered seawater (>0.2 microns)","68506_library","PAIRED","PCR","METAGENOMIC","marine metagenome","ILLUMINA","2019-04-03T00:00:00Z","high-throughput nifH gene sequencing","DNA-45m-25.77 N 158.01 W-May-2017-68506","5/29/17","4:27:00"
"Gradoville12-68507","2",2017,68507,2,2017,25.7682965,158.014165,"whole",NA,"dna",NA,"npsg","north",68507,"25.7682965 N 158.014165 W",45,"2017-05","SRP190508","SRR8844132","AMPLICON",501,14046128,"PRJNA530276","SAMN11317406","Metagenome or environmental",7071206,"UNIVERSITY OF CALIFORNIA, SANTA CRUZ","public","fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX5631912","uncalculated","uncalculated","Pacific Ocean","Illumina MiSeq","Filtered seawater (>0.2 microns)","68507_library","PAIRED","PCR","METAGENOMIC","marine metagenome","ILLUMINA","2019-04-03T00:00:00Z","high-throughput nifH gene sequencing","DNA-45m-25.77 N 158.01 W-May-2017-68507","5/29/17","4:27:00"
"Gradoville10-68505","2",2017,68505,2,2017,25.7682965,158.014165,"whole",NA,"dna",NA,"npsg","north",68505,"25.7682965 N 158.014165 W",60,"2017-05","SRP190508","SRR8844126","AMPLICON",501,24124152,"PRJNA530276","SAMN11317404","Metagenome or environmental",10632080,"UNIVERSITY OF CALIFORNIA, SANTA CRUZ","public","fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX5631918","uncalculated","uncalculated","Pacific Ocean","Illumina MiSeq","Filtered seawater (>0.2 microns)","68505_library","PAIRED","PCR","METAGENOMIC","marine metagenome","ILLUMINA","2019-04-03T00:00:00Z","high-throughput nifH gene sequencing","DNA-60m-25.77 N 158.01 W-May-2017-68505","5/29/17","4:27:00"
"Gradoville9-68504","2",2017,68504,2,2017,25.7682965,158.014165,"whole",NA,"dna",NA,"npsg","north",68504,"25.7682965 N 158.014165 W",60,"2017-05","SRP190508","SRR8844127","AMPLICON",501,16482748,"PRJNA530276","SAMN11317403","Metagenome or environmental",7481436,"UNIVERSITY OF CALIFORNIA, SANTA CRUZ","public","fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX5631917","uncalculated","uncalculated","Pacific Ocean","Illumina MiSeq","Filtered seawater (>0.2 microns)","68504_library","PAIRED","PCR","METAGENOMIC","marine metagenome","ILLUMINA","2019-04-03T00:00:00Z","high-throughput nifH gene sequencing","DNA-60m-25.77 N 158.01 W-May-2017-68504","5/29/17","4:27:00"
"Gradoville13-68508","2",2017,68508,2,2017,25.7682965,158.014165,"whole",NA,"dna",NA,"npsg","north",68508,"25.7682965 N 158.014165 W",100,"2017-05","SRP190508","SRR8844131","AMPLICON",501,21467659,"PRJNA530276","SAMN11317407","Metagenome or environmental",10880601,"UNIVERSITY OF CALIFORNIA, SANTA CRUZ","public","fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX5631913","uncalculated","uncalculated","Pacific Ocean","Illumina MiSeq","Filtered seawater (>0.2 microns)","68508_library","PAIRED","PCR","METAGENOMIC","marine metagenome","ILLUMINA","2019-04-03T00:00:00Z","high-throughput nifH gene sequencing","DNA-DCMm-25.77 N 158.01 W-May-2017-68508","5/29/17","4:27:00"
"Gradoville14-68509","2",2017,68509,2,2017,25.7682965,158.014165,"whole",NA,"dna",NA,"npsg","north",68509,"25.7682965 N 158.014165 W",100,"2017-05","SRP190508","SRR8844130","AMPLICON",501,19936193,"PRJNA530276","SAMN11317408","Metagenome or environmental",9736691,"UNIVERSITY OF CALIFORNIA, SANTA CRUZ","public","fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX5631914","uncalculated","uncalculated","Pacific Ocean","Illumina MiSeq","Filtered seawater (>0.2 microns)","68509_library","PAIRED","PCR","METAGENOMIC","marine metagenome","ILLUMINA","2019-04-03T00:00:00Z","high-throughput nifH gene sequencing","DNA-DCMm-25.77 N 158.01 W-May-2017-68509","5/29/17","4:27:00"
