"SAMPLEID"	"StudyID"	"Run"	"SRA_Study"	"BioProject"	"BioSample"	"Sample_Name"	"Sample_Name_2"	"Region"	"Collection_Date"	"Time"	"Depth"	"Station"	"geo_loc_name"	"Lat_Lon"	"Latitude"	"Longitude"	"LibraryName"	"LibrarySelection"	"LibrarySource"	"Size_fraction"	"Sample_Type"	"Lat"	"Lon"	"DateTimeUTC"	"FIXME.Depth"
"DRR090503"	"Shiozaki_2018LNO"	NA	"DRP004241"	"PRJDB5679"	"SAMD00078361"	"SAMD00078361"	"MR15-03_St056_45m"	NA	"2015-9-20"	NA	"45"	NA	"Arctic Ocean"	"72.17 N 155.59 W"	NA	NA	NA	"PCR"	"METAGENOMIC"	NA	NA	72.17	-155.59	"2015-09-20T20:00:00"	FALSE
"DRR090504"	"Shiozaki_2018LNO"	NA	"DRP004241"	"PRJDB5679"	"SAMD00078362"	"SAMD00078362"	"MR15-03_St062_0m"	NA	"2015-9-22"	NA	"0"	NA	"Arctic Ocean"	"71.50 N 153.50 W"	NA	NA	NA	"PCR"	"METAGENOMIC"	NA	NA	71.5	-153.5	"2015-09-22T20:00:00"	FALSE
"DRR090505"	"Shiozaki_2018LNO"	NA	"DRP004241"	"PRJDB5679"	"SAMD00078363"	"SAMD00078363"	"MR15-03_St062_20m"	NA	"2015-9-22"	NA	"20"	NA	"Arctic Ocean"	"71.50 N 153.50 W"	NA	NA	NA	"PCR"	"METAGENOMIC"	NA	NA	71.5	-153.5	"2015-09-22T20:00:00"	FALSE
"DRR090506"	"Shiozaki_2018LNO"	NA	"DRP004241"	"PRJDB5679"	"SAMD00078364"	"SAMD00078364"	"MR15-03_St062_40m"	NA	"2015-9-22"	NA	"40"	NA	"Arctic Ocean"	"71.50 N 153.50 W"	NA	NA	NA	"PCR"	"METAGENOMIC"	NA	NA	71.5	-153.5	"2015-09-22T20:00:00"	FALSE
"DRR090507"	"Shiozaki_2018LNO"	NA	"DRP004241"	"PRJDB5679"	"SAMD00078365"	"SAMD00078365"	"MR15-03_St062_63m"	NA	"2015-9-22"	NA	"63"	NA	"Arctic Ocean"	"71.50 N 153.50 W"	NA	NA	NA	"PCR"	"METAGENOMIC"	NA	NA	71.5	-153.5	"2015-09-22T20:00:00"	FALSE
"DRR090508"	"Shiozaki_2018LNO"	NA	"DRP004241"	"PRJDB5679"	"SAMD00078366"	"SAMD00078366"	"MR15-03_St094_0m"	NA	"2015-9-27"	NA	"0"	NA	"Arctic Ocean"	"73.28 N 160.8 W"	NA	NA	NA	"PCR"	"METAGENOMIC"	NA	NA	73.28	-160.8	"2015-09-27T20:00:00"	FALSE
"DRR090509"	"Shiozaki_2018LNO"	NA	"DRP004241"	"PRJDB5679"	"SAMD00078367"	"SAMD00078367"	"MR15-03_St108_0m"	NA	"2015-10-3"	NA	"0"	NA	"Arctic Ocean"	"67 N 168.45 W"	NA	NA	NA	"PCR"	"METAGENOMIC"	NA	NA	67	-168.45	"2015-10-03T20:00:00"	FALSE
"DRR090510"	"Shiozaki_2018LNO"	NA	"DRP004241"	"PRJDB5679"	"SAMD00078368"	"SAMD00078368"	"MR15-03_St108_15m"	NA	"2015-10-3"	NA	"15"	NA	"Arctic Ocean"	"67 N 168.45 W"	NA	NA	NA	"PCR"	"METAGENOMIC"	NA	NA	67	-168.45	"2015-10-03T20:00:00"	FALSE
"DRR090511"	"Shiozaki_2018LNO"	NA	"DRP004241"	"PRJDB5679"	"SAMD00078369"	"SAMD00078369"	"MR15-03_St108_26m"	NA	"2015-10-3"	NA	"26"	NA	"Arctic Ocean"	"67 N 168.45 W"	NA	NA	NA	"PCR"	"METAGENOMIC"	NA	NA	67	-168.45	"2015-10-03T20:00:00"	FALSE
"DRR090512"	"Shiozaki_2018LNO"	NA	"DRP004241"	"PRJDB5679"	"SAMD00078370"	"SAMD00078370"	"MR15-03_St108_35m"	NA	"2015-10-3"	NA	"35"	NA	"Arctic Ocean"	"67 N 168.45 W"	NA	NA	NA	"PCR"	"METAGENOMIC"	NA	NA	67	-168.45	"2015-10-03T20:00:00"	FALSE
"DRR205311"	"Shiozaki_2020"	NA	"DRP006696"	"PRJDB9222"	"SAMD00200999"	"SAMD00200999"	"JARE60_StaT_DNA"	NA	"2019-1-13"	NA	"0"	NA	"Southern Ocean"	"69.48 S 39.59 E"	NA	NA	"nifH gene at StaT"	"PCR"	"METAGENOMIC"	NA	"simple"	-69.48	39.59	"2019-01-13T09:00:00"	FALSE
"DRR205312"	"Shiozaki_2020"	NA	"DRP006696"	"PRJDB9222"	"SAMD00201000"	"SAMD00201000"	"JARE60_StaN_DNA"	NA	"2019-2-2"	NA	"0"	NA	"Southern Ocean"	"69.22 S 39.65 E"	NA	NA	"nifH gene at StaN"	"PCR"	"METAGENOMIC"	NA	"simple"	-69.22	39.65	"2019-02-02T09:00:00"	FALSE
"DRR205313"	"Shiozaki_2020"	NA	"DRP006696"	"PRJDB9222"	"SAMD00201001"	"SAMD00201001"	"JARE60_StaA_DNA"	NA	"2019-1-27"	NA	"0"	NA	"Southern Ocean"	"69.01 S 39.23 E"	NA	NA	"nifH gene at StaA"	"PCR"	"METAGENOMIC"	NA	"simple"	-69.01	39.23	"2019-01-27T09:00:00"	FALSE
"DRR205314"	"Shiozaki_2020"	NA	"DRP006696"	"PRJDB9222"	"SAMD00201002"	"SAMD00201002"	"JARE60_StaB_DNA"	NA	"2019-2-3"	NA	"0"	NA	"Southern Ocean"	"68.72 S 38.65 E"	NA	NA	"nifH gene at StaB"	"PCR"	"METAGENOMIC"	NA	"simple"	-68.72	38.65	"2019-02-03T09:00:00"	FALSE
"DRR205315_transcriptomic"	"Shiozaki_2020"	NA	"DRP006696"	"PRJDB9222"	"SAMD00201003"	"SAMD00201003"	"JARE60_StaB_cDNA"	NA	"2019-2-3"	NA	"0"	NA	"Southern Ocean"	"68.72 S 38.65 E"	NA	NA	"nifH gene expression at StaB"	"RT-PCR"	"TRANSCRIPTOMIC"	NA	"simple"	-68.72	38.65	"2019-02-03T09:00:00"	FALSE
"DRR205316"	"Shiozaki_2020"	NA	"DRP006696"	"PRJDB9222"	"SAMD00201004"	"SAMD00201004"	"JARE60_StaC_DNA"	NA	"2019-2-6"	NA	"0"	NA	"Southern Ocean"	"68.34 S 38.17 E"	NA	NA	"nifH gene at StaC"	"PCR"	"METAGENOMIC"	NA	"simple"	-68.34	38.17	"2019-02-06T09:00:00"	FALSE
"DRR205317"	"Shiozaki_2020"	NA	"DRP006696"	"PRJDB9222"	"SAMD00201005"	"SAMD00201005"	"JARE60_StaD_DNA"	NA	"2019-2-23"	NA	"0"	NA	"Southern Ocean"	"67.94 S 36.39 E"	NA	NA	"nifH gene at StaD"	"PCR"	"METAGENOMIC"	NA	"simple"	-67.94	36.39	"2019-02-23T09:00:00"	FALSE
"DRR205318"	"Shiozaki_2020"	NA	"DRP006696"	"PRJDB9222"	"SAMD00201006"	"SAMD00201006"	"JARE60_StaE_DNA"	NA	"2019-2-23"	NA	"0"	NA	"Southern Ocean"	"67.48 S 37.08 E"	NA	NA	"nifH gene at StaE"	"PCR"	"METAGENOMIC"	NA	"simple"	-67.48	37.08	"2019-02-23T09:00:00"	FALSE
"DRR205319_transcriptomic"	"Shiozaki_2020"	NA	"DRP006696"	"PRJDB9222"	"SAMD00201007"	"SAMD00201007"	"JARE60_StaE_cDNA"	NA	"2019-2-23"	NA	"0"	NA	"Southern Ocean"	"67.48 S 37.08 E"	NA	NA	"nifH gene expression at StaE"	"RT-PCR"	"TRANSCRIPTOMIC"	NA	"simple"	-67.48	37.08	"2019-02-23T09:00:00"	FALSE
"DRR205320"	"Shiozaki_2020"	NA	"DRP006696"	"PRJDB9222"	"SAMD00201008"	"SAMD00201008"	"JARE60_StaBP_DNA"	NA	"2019-2-24"	NA	"0"	NA	"Southern Ocean"	"66.85 S 37.71 E"	NA	NA	"nifH gene at StaBP"	"PCR"	"METAGENOMIC"	NA	"simple"	-66.85	37.71	"2019-02-24T09:00:00"	FALSE
"DRR205321"	"Shiozaki_2020"	NA	"DRP006696"	"PRJDB9222"	"SAMD00201009"	"SAMD00201009"	"JARE60_StaEL_DNA"	NA	"2019-2-25"	NA	"0"	NA	"Southern Ocean"	"66.47 S 49.52 E"	NA	NA	"nifH gene at StaEL"	"PCR"	"METAGENOMIC"	NA	"simple"	-66.47	49.52	"2019-02-25T09:00:00"	FALSE
"DRR205322_transcriptomic"	"Shiozaki_2020"	NA	"DRP006696"	"PRJDB9222"	"SAMD00201010"	"SAMD00201010"	"JARE60_StaEL_cDNA"	NA	"2019-2-25"	NA	"0"	NA	"Southern Ocean"	"66.47 S 49.52 E"	NA	NA	"nifH gene expression at StaEL"	"RT-PCR"	"TRANSCRIPTOMIC"	NA	"simple"	-66.47	49.52	"2019-02-25T09:00:00"	FALSE
"DRR205323"	"Shiozaki_2020"	NA	"DRP006696"	"PRJDB9222"	"SAMD00201011"	"SAMD00201011"	"JARE60_StaCD1_DNA"	NA	"2019-3-3"	NA	"0"	NA	"Southern Ocean"	"67.12 S 68.11 E"	NA	NA	"nifH gene at StaCD1"	"PCR"	"METAGENOMIC"	NA	"simple"	-67.12	68.11	"2019-03-03T07:00:00"	FALSE
"DRR205324"	"Shiozaki_2020"	NA	"DRP006696"	"PRJDB9222"	"SAMD00201012"	"SAMD00201012"	"JARE60_StaCD0_DNA"	NA	"2019-3-3"	NA	"0"	NA	"Southern Ocean"	"67.66 S 68.96 E"	NA	NA	"nifH gene at StaCD0"	"PCR"	"METAGENOMIC"	NA	"simple"	-67.66	68.96	"2019-03-03T07:00:00"	FALSE
"DRR256248"	"Sato_2021"	NA	"DRP007115"	"PRJDB10819"	"SAMD00259623"	"SAMD00259623"	"HK1805_StJ1_0m"	NA	"2018-6-5"	NA	"0"	NA	"Japan:Hokkaido\, Sea of Japan"	"41.5 N 139.82 E"	NA	NA	NA	"PCR"	"METAGENOMIC"	NA	"simple"	41.5	139.82	"2018-06-05T03:00:00"	FALSE
"DRR256249"	"Sato_2021"	NA	"DRP007115"	"PRJDB10819"	"SAMD00259624"	"SAMD00259624"	"HK1805_StJ2_0m"	NA	"2018-6-5"	NA	"0"	NA	"Japan:Hokkaido\, Sea of Japan"	"42.51 N 139.7 E"	NA	NA	NA	"PCR"	"METAGENOMIC"	NA	"simple"	42.51	139.7	"2018-06-05T03:00:00"	FALSE
"DRR256250"	"Sato_2021"	NA	"DRP007115"	"PRJDB10819"	"SAMD00259625"	"SAMD00259625"	"HK1805_StJ3_0m"	NA	"2018-5-31"	NA	"0"	NA	"Japan:Hokkaido\, Sea of Japan"	"43.5 N 140.33 E"	NA	NA	NA	"PCR"	"METAGENOMIC"	NA	"simple"	43.5	140.33	"2018-05-31T03:00:00"	FALSE
"DRR256251"	"Sato_2021"	NA	"DRP007115"	"PRJDB10819"	"SAMD00259626"	"SAMD00259626"	"HK1805_StJ4_0m"	NA	"2018-6-1"	NA	"0"	NA	"Japan:Hokkaido\, Sea of Japan"	"44.5 N 141.5 E"	NA	NA	NA	"PCR"	"METAGENOMIC"	NA	"simple"	44.5	141.5	"2018-06-01T03:00:00"	FALSE
"DRR256252"	"Sato_2021"	NA	"DRP007115"	"PRJDB10819"	"SAMD00259627"	"SAMD00259627"	"HK1805_StJ5_0m"	NA	"2018-6-1"	NA	"0"	NA	"Japan:Hokkaido\, Sea of Japan"	"45.5 N 141.42 E"	NA	NA	NA	"PCR"	"METAGENOMIC"	NA	"simple"	45.5	141.42	"2018-06-01T03:00:00"	FALSE
"DRR256253"	"Sato_2021"	NA	"DRP007115"	"PRJDB10819"	"SAMD00259628"	"SAMD00259628"	"HK1805_StJ6_0m"	NA	"2018-6-1"	NA	"0"	NA	"Japan:Hokkaido\, Sea of Japan"	"45.54 N 142.08 E"	NA	NA	NA	"PCR"	"METAGENOMIC"	NA	"simple"	45.54	142.08	"2018-06-01T01:00:00"	FALSE
"DRR256254"	"Sato_2021"	NA	"DRP007115"	"PRJDB10819"	"SAMD00259629"	"SAMD00259629"	"HK1805_StO1_0m"	NA	"2018-6-4"	NA	"0"	NA	"Japan:Hokkaido\, Sea of Okhotsk"	"45.5 N 142.5 E"	NA	NA	NA	"PCR"	"METAGENOMIC"	NA	"simple"	45.5	142.5	"2018-06-04T01:00:00"	FALSE
"DRR256255"	"Sato_2021"	NA	"DRP007115"	"PRJDB10819"	"SAMD00259630"	"SAMD00259630"	"HK1805_StO2_0m"	NA	"2018-6-4"	NA	"0"	NA	"Japan:Hokkaido\, Sea of Okhotsk"	"45.32 N 142.68 E"	NA	NA	NA	"PCR"	"METAGENOMIC"	NA	"simple"	45.32	142.68	"2018-06-04T01:00:00"	FALSE
"DRR256256"	"Sato_2021"	NA	"DRP007115"	"PRJDB10819"	"SAMD00259631"	"SAMD00259631"	"HK1805_StO3_0m"	NA	"2018-6-4"	NA	"0"	NA	"Japan:Hokkaido\, Sea of Okhotsk"	"45.17 N 143.17 E"	NA	NA	NA	"PCR"	"METAGENOMIC"	NA	"simple"	45.17	143.17	"2018-06-04T01:00:00"	FALSE
"DRR256257"	"Sato_2021"	NA	"DRP007115"	"PRJDB10819"	"SAMD00259632"	"SAMD00259632"	"HK1805_StO4_0m"	NA	"2018-6-4"	NA	"0"	NA	"Japan:Hokkaido\, Sea of Okhotsk"	"44.88 N 142.89 E"	NA	NA	NA	"PCR"	"METAGENOMIC"	NA	"simple"	44.88	142.89	"2018-06-04T03:00:00"	FALSE
"DRR256258"	"Sato_2021"	NA	"DRP007115"	"PRJDB10819"	"SAMD00259633"	"SAMD00259633"	"HK1805_StO5_0m"	NA	"2018-6-1"	NA	"0"	NA	"Japan:Hokkaido\, Sea of Okhotsk"	"44.5 N 143.33 E"	NA	NA	NA	"PCR"	"METAGENOMIC"	NA	"simple"	44.5	143.33	"2018-06-01T03:00:00"	FALSE
"DRR256259"	"Sato_2021"	NA	"DRP007115"	"PRJDB10819"	"SAMD00259634"	"SAMD00259634"	"HK1805_StO6_0m"	NA	"2018-6-2"	NA	"0"	NA	"Japan:Hokkaido\, Sea of Okhotsk"	"44.23 N 144.13 E"	NA	NA	NA	"PCR"	"METAGENOMIC"	NA	"simple"	44.23	144.13	"2018-06-02T03:00:00"	FALSE
"DRR256260"	"Sato_2021"	NA	"DRP007115"	"PRJDB10819"	"SAMD00259635"	"SAMD00259635"	"HK1805_StO7_0m"	NA	"2018-6-2"	NA	"0"	NA	"Japan:Hokkaido\, Sea of Okhotsk"	"44.5 N 144.33 E"	NA	NA	NA	"PCR"	"METAGENOMIC"	NA	"simple"	44.5	144.33	"2018-06-02T03:00:00"	FALSE
"DRR256261"	"Sato_2021"	NA	"DRP007115"	"PRJDB10819"	"SAMD00259636"	"SAMD00259636"	"HK1805_StO8_0m"	NA	"2018-6-3"	NA	"0"	NA	"Japan:Hokkaido\, Sea of Okhotsk"	"45 N 144.75 E"	NA	NA	NA	"PCR"	"METAGENOMIC"	NA	"simple"	45	144.75	"2018-06-03T01:00:00"	FALSE
"DRR256262"	"Sato_2021"	NA	"DRP007115"	"PRJDB10819"	"SAMD00259637"	"SAMD00259637"	"HK1805_StO10_0m"	NA	"2018-6-2"	NA	"0"	NA	"Japan:Hokkaido\, Sea of Okhotsk"	"44.63 N 145.37 E"	NA	NA	NA	"PCR"	"METAGENOMIC"	NA	"simple"	44.63	145.37	"2018-06-02T02:00:00"	FALSE
"DRR256263"	"Sato_2021"	NA	"DRP007115"	"PRJDB10819"	"SAMD00259638"	"SAMD00259638"	"HK1805_StP1_0m"	NA	"2018-6-6"	NA	"0"	NA	"Japan:Hokkaido\, Pacific Ocean"	"42.17 N 141.25 E"	NA	NA	NA	"PCR"	"METAGENOMIC"	NA	"simple"	42.17	141.25	"2018-06-06T03:00:00"	FALSE
"DRR256264"	"Sato_2021"	NA	"DRP007115"	"PRJDB10819"	"SAMD00259639"	"SAMD00259639"	"HK1805_StP2_0m"	NA	"2018-6-6"	NA	"0"	NA	"Japan:Hokkaido\, Pacific Ocean"	"41.89 N 142.73 E"	NA	NA	NA	"PCR"	"METAGENOMIC"	NA	"simple"	41.89	142.73	"2018-06-06T03:00:00"	FALSE
"DRR256265"	"Sato_2021"	NA	"DRP007115"	"PRJDB10819"	"SAMD00259640"	"SAMD00259640"	"HK1805_StP3_0m"	NA	"2018-6-7"	NA	"0"	NA	"Japan:Hokkaido\, Pacific Ocean"	"43 N 145.83 E"	NA	NA	NA	"PCR"	"METAGENOMIC"	NA	"simple"	43	145.83	"2018-06-07T03:00:00"	FALSE
"DRR256266"	"Sato_2021"	NA	"DRP007115"	"PRJDB10819"	"SAMD00259641"	"SAMD00259641"	"HK1805_StJ2_9m"	NA	"2018-6-5"	NA	"9"	NA	"Japan:Hokkaido\, Sea of Japan"	"42.51 N 139.7 E"	NA	NA	NA	"PCR"	"METAGENOMIC"	NA	"simple"	42.51	139.7	"2018-06-05T03:00:00"	FALSE
"DRR256267"	"Sato_2021"	NA	"DRP007115"	"PRJDB10819"	"SAMD00259642"	"SAMD00259642"	"HK1805_StJ2_20m"	NA	"2018-6-5"	NA	"20"	NA	"Japan:Hokkaido\, Sea of Japan"	"42.51 N 139.7 E"	NA	NA	NA	"PCR"	"METAGENOMIC"	NA	"simple"	42.51	139.7	"2018-06-05T03:00:00"	FALSE
"DRR256268"	"Sato_2021"	NA	"DRP007115"	"PRJDB10819"	"SAMD00259643"	"SAMD00259643"	"HK1805_StJ2_43m"	NA	"2018-6-5"	NA	"43"	NA	"Japan:Hokkaido\, Sea of Japan"	"42.51 N 139.7 E"	NA	NA	NA	"PCR"	"METAGENOMIC"	NA	"simple"	42.51	139.7	"2018-06-05T03:00:00"	FALSE
"DRR256269"	"Sato_2021"	NA	"DRP007115"	"PRJDB10819"	"SAMD00259644"	"SAMD00259644"	"HK1805_StJ2_65m"	NA	"2018-6-5"	NA	"65"	NA	"Japan:Hokkaido\, Sea of Japan"	"42.51 N 139.7 E"	NA	NA	NA	"PCR"	"METAGENOMIC"	NA	"simple"	42.51	139.7	"2018-06-05T03:00:00"	FALSE
"DRR256270"	"Sato_2021"	NA	"DRP007115"	"PRJDB10819"	"SAMD00259645"	"SAMD00259645"	"HK1805_StO2_15m"	NA	"2018-6-4"	NA	"15"	NA	"Japan:Hokkaido\, Sea of Okhotsk"	"45.32 N 142.68 E"	NA	NA	NA	"PCR"	"METAGENOMIC"	NA	"simple"	45.32	142.68	"2018-06-04T01:00:00"	FALSE
"DRR256271"	"Sato_2021"	NA	"DRP007115"	"PRJDB10819"	"SAMD00259646"	"SAMD00259646"	"HK1805_StO2_37m"	NA	"2018-6-4"	NA	"37"	NA	"Japan:Hokkaido\, Sea of Okhotsk"	"45.32 N 142.68 E"	NA	NA	NA	"PCR"	"METAGENOMIC"	NA	"simple"	45.32	142.68	"2018-06-04T01:00:00"	FALSE
"DRR256272"	"Sato_2021"	NA	"DRP007115"	"PRJDB10819"	"SAMD00259647"	"SAMD00259647"	"HK1805_StO2_58m"	NA	"2018-6-4"	NA	"58"	NA	"Japan:Hokkaido\, Sea of Okhotsk"	"45.32 N 142.68 E"	NA	NA	NA	"PCR"	"METAGENOMIC"	NA	"simple"	45.32	142.68	"2018-06-04T01:00:00"	FALSE
"DRR256273"	"Sato_2021"	NA	"DRP007115"	"PRJDB10819"	"SAMD00259648"	"SAMD00259648"	"HK1805_StO7_17m"	NA	"2018-6-2"	NA	"17"	NA	"Japan:Hokkaido\, Sea of Okhotsk"	"44.5 N 144.33 E"	NA	NA	NA	"PCR"	"METAGENOMIC"	NA	"simple"	44.5	144.33	"2018-06-02T03:00:00"	FALSE
"DRR256274"	"Sato_2021"	NA	"DRP007115"	"PRJDB10819"	"SAMD00259649"	"SAMD00259649"	"HK1805_StO7_43m"	NA	"2018-6-2"	NA	"43"	NA	"Japan:Hokkaido\, Sea of Okhotsk"	"44.5 N 144.33 E"	NA	NA	NA	"PCR"	"METAGENOMIC"	NA	"simple"	44.5	144.33	"2018-06-02T03:00:00"	FALSE
"DRR256275"	"Sato_2021"	NA	"DRP007115"	"PRJDB10819"	"SAMD00259650"	"SAMD00259650"	"HK1805_StO7_72m"	NA	"2018-6-2"	NA	"72"	NA	"Japan:Hokkaido\, Sea of Okhotsk"	"44.5 N 144.33 E"	NA	NA	NA	"PCR"	"METAGENOMIC"	NA	"simple"	44.5	144.33	"2018-06-02T03:00:00"	FALSE
"Gradoville1.68484"	"Gradoville_2020"	NA	NA	NA	NA	NA	NA	"npsg"	"2017-5-27"	"20:44:00"	"15"	"1"	NA	"21.31966333 N 158.2319267 W"	"21.31966333"	"158.2319267"	NA	NA	NA	"whole"	NA	21.31966333	-158.2319267	"2017-05-27T22:00:00"	FALSE
"Gradoville10.68505"	"Gradoville_2020"	"SRR8844126"	NA	"PRJNA530276"	"SAMN11317404"	NA	NA	"npsg"	"2017-5-29"	"4:27:00"	"60"	"2"	"Pacific Ocean"	"25.7682965 N 158.014165 W"	"25.7682965"	"158.014165"	NA	"PCR"	"METAGENOMIC"	"whole"	NA	25.7682965	-158.014165	"2017-05-29T22:00:00"	FALSE
"Gradoville100.68895"	"Gradoville_2020"	"SRR8844088"	NA	"PRJNA530276"	"SAMN11317449"	NA	NA	"npsg"	"2017-6-10"	"3:31:00"	"120"	"17"	"Pacific Ocean"	"32.00007833 N 157.9999417 W"	"32.00007833"	"157.9999417"	NA	"PCR"	"METAGENOMIC"	"whole"	NA	32.00007833	-157.9999417	"2017-06-10T23:00:00"	FALSE
"Gradoville101.68896"	"Gradoville_2020"	"SRR8844089"	NA	"PRJNA530276"	"SAMN11317450"	NA	NA	"npsg"	"2017-6-10"	"3:31:00"	"120"	"17"	"Pacific Ocean"	"32.00007833 N 157.9999417 W"	"32.00007833"	"157.9999417"	NA	"PCR"	"METAGENOMIC"	"whole"	NA	32.00007833	-157.9999417	"2017-06-10T23:00:00"	FALSE
"Gradoville102.68897"	"Gradoville_2020"	"SRR8844086"	NA	"PRJNA530276"	"SAMN11317451"	NA	NA	"npsg"	"2017-6-10"	"3:31:00"	"60"	"17"	"Pacific Ocean"	"32.00007833 N 157.9999417 W"	"32.00007833"	"157.9999417"	NA	"PCR"	"METAGENOMIC"	"whole"	NA	32.00007833	-157.9999417	"2017-06-10T23:00:00"	FALSE
"Gradoville103.68898"	"Gradoville_2020"	"SRR8844087"	NA	"PRJNA530276"	"SAMN11317452"	NA	NA	"npsg"	"2017-6-10"	"3:31:00"	"60"	"17"	"Pacific Ocean"	"32.00007833 N 157.9999417 W"	"32.00007833"	"157.9999417"	NA	"PCR"	"METAGENOMIC"	"whole"	NA	32.00007833	-157.9999417	"2017-06-10T23:00:00"	FALSE
"Gradoville104.68899"	"Gradoville_2020"	NA	NA	NA	NA	NA	NA	"npsg"	"2017-6-10"	"3:31:00"	"45"	"17"	NA	"32.00007833 N 157.9999417 W"	"32.00007833"	"157.9999417"	NA	NA	NA	"whole"	NA	32.00007833	-157.9999417	"2017-06-10T23:00:00"	FALSE
"Gradoville105.68900"	"Gradoville_2020"	"SRR8844084"	NA	"PRJNA530276"	"SAMN11317453"	NA	NA	"npsg"	"2017-6-10"	"3:31:00"	"45"	"17"	"Pacific Ocean"	"32.00007833 N 157.9999417 W"	"32.00007833"	"157.9999417"	NA	"PCR"	"METAGENOMIC"	"whole"	NA	32.00007833	-157.9999417	"2017-06-10T23:00:00"	FALSE
