#Source	Cruise	Type	SizeFraction	Region	DirForPairs
RawFastqs/Gradients12_nifH_combined/fastq/Hanna10-64077A_S10_L001_R2_001.fastq.gz	2016	DNA	Frac_0.2	NPSG	Samp_64077
RawFastqs/Gradients12_nifH_combined/fastq/Hanna12-64089A_S12_L001_R1_001.fastq.gz	2016	DNA	Frac_0.2	NPSG	Samp_64089
RawFastqs/Gradients12_nifH_combined/fastq/Hanna12-64089A_S12_L001_R2_001.fastq.gz	2016	DNA	Frac_0.2	NPSG	Samp_64089
RawFastqs/Gradients12_nifH_combined/fastq/Hanna41-64096A_S41_L001_R2_001.fastq.gz	2016	DNA	Frac_0.2	NPSG	Samp_64096
RawFastqs/Gradients12_nifH_combined/fastq/Hanna41-64096A_S41_L001_R1_001.fastq.gz	2016	DNA	Frac_0.2	NPSG	Samp_64096
RawFastqs/Gradients12_nifH_combined/fastq/Hanna43-64098A_S43_L001_R2_001.fastq.gz	2016	DNA	Frac_0.2	NPSG	Samp_64098
RawFastqs/Gradients12_nifH_combined/fastq/Hanna43-64098A_S43_L001_R1_001.fastq.gz	2016	DNA	Frac_0.2	NPSG	Samp_64098
RawFastqs/Gradients12_nifH_combined/fastq/Hanna46-64100A_S46_L001_R2_001.fastq.gz	2016	DNA	Frac_0.2	NPSG	Samp_64100
RawFastqs/Gradients12_nifH_combined/fastq/Hanna46-64100A_S46_L001_R1_001.fastq.gz	2016	DNA	Frac_0.2	NPSG	Samp_64100
RawFastqs/Gradients12_nifH_combined/fastq/Hanna45-64102A_S45_L001_R2_001.fastq.gz	2016	DNA	Frac_0.2	NPSG	Samp_64102
RawFastqs/Gradients12_nifH_combined/fastq/Hanna45-64102A_S45_L001_R1_001.fastq.gz	2016	DNA	Frac_0.2	NPSG	Samp_64102
RawFastqs/Gradients12_nifH_combined/fastq/Hanna48-64106A_S48_L001_R2_001.fastq.gz	2016	DNA	Frac_0.2	NPSG	Samp_64106
RawFastqs/Gradients12_nifH_combined/fastq/Hanna48-64106A_S48_L001_R1_001.fastq.gz	2016	DNA	Frac_0.2	NPSG	Samp_64106
RawFastqs/Gradients12_nifH_combined/fastq/Hanna50-64108A_S50_L001_R2_001.fastq.gz	2016	DNA	Frac_0.2	NPSG	Samp_64108
RawFastqs/Gradients12_nifH_combined/fastq/Hanna50-64108A_S50_L001_R1_001.fastq.gz	2016	DNA	Frac_0.2	NPSG	Samp_64108
RawFastqs/Gradients12_nifH_combined/fastq/Hanna52-64110A_S52_L001_R1_001.fastq.gz	2016	DNA	Frac_0.2	NPSG	Samp_64110
RawFastqs/Gradients12_nifH_combined/fastq/Hanna52-64110A_S52_L001_R2_001.fastq.gz	2016	DNA	Frac_0.2	NPSG	Samp_64110
RawFastqs/Gradients12_nifH_combined/fastq/Hanna54-64114A_S54_L001_R1_001.fastq.gz	2016	DNA	Frac_0.2	NPSG	Samp_64114
RawFastqs/Gradients12_nifH_combined/fastq/Hanna54-64114A_S54_L001_R2_001.fastq.gz	2016	DNA	Frac_0.2	NPSG	Samp_64114
RawFastqs/Gradients12_nifH_combined/fastq/Hanna56-64118A_S56_L001_R1_001.fastq.gz	2016	DNA	Frac_0.2	NPSG	Samp_64118
RawFastqs/Gradients12_nifH_combined/fastq/Hanna56-64118A_S56_L001_R2_001.fastq.gz	2016	DNA	Frac_0.2	NPSG	Samp_64118
