Run	Assay Type	AvgSpotLen	Bases	BioProject	BioSample	BioSampleModel	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	geo_loc_name_country	geo_loc_name_country_continent	geo_loc_name	Instrument	Isolation_source	Collection_Month	Collection_Date	lat_lon	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	source_material_ID	SRA Study	Depth
SRR13612910	AMPLICON	600	33717012	PRJNA695866	SAMN17621096	Metagenome or environmental	18369947	UNIVERSITY OF CALIFORNIA SANTA CRUZ	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX10006205	uncalculated	uncalculated	Pacific Ocean	Illumina MiSeq	seawater	2017-05	5.6.17	30.36 N 116.36 W	67757	PAIRED	PCR	METAGENOMIC	seawater metagenome	ILLUMINA	2021-07-01T00:00:00Z	SP1714.Stn7.100m	67757	SRP304319	100
SRR13612911	AMPLICON	600	35980759	PRJNA695866	SAMN17621095	Metagenome or environmental	20832360	UNIVERSITY OF CALIFORNIA SANTA CRUZ	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX10006204	uncalculated	uncalculated	Pacific Ocean	Illumina MiSeq	seawater	2017-05	5.6.17	30.36 N 116.36 W	67749	PAIRED	PCR	METAGENOMIC	seawater metagenome	ILLUMINA	2021-07-01T00:00:00Z	SP1714.Stn7.50m	67749	SRP304319	50
SRR13612912	AMPLICON	600	24343175	PRJNA695866	SAMN17621094	Metagenome or environmental	15159811	UNIVERSITY OF CALIFORNIA SANTA CRUZ	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX10006203	uncalculated	uncalculated	Pacific Ocean	Illumina MiSeq	seawater	2017-05	5.6.17	30.36 N 116.36 W	67751	PAIRED	PCR	METAGENOMIC	seawater metagenome	ILLUMINA	2021-07-01T00:00:00Z	SP1714.Stn7.32m	67751	SRP304319	32
SRR13612913	AMPLICON	600	31695201	PRJNA695866	SAMN17621093	Metagenome or environmental	18151664	UNIVERSITY OF CALIFORNIA SANTA CRUZ	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX10006202	uncalculated	uncalculated	Pacific Ocean	Illumina MiSeq	seawater	2017-05	5.6.17	30.36 N 116.36 W	67753	PAIRED	PCR	METAGENOMIC	seawater metagenome	ILLUMINA	2021-07-01T00:00:00Z	SP1714.Stn7.25m	67753	SRP304319	25
SRR13612914	AMPLICON	600	33728677	PRJNA695866	SAMN17621092	Metagenome or environmental	20735282	UNIVERSITY OF CALIFORNIA SANTA CRUZ	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX10006201	uncalculated	uncalculated	Pacific Ocean	Illumina MiSeq	seawater	2017-05	5.6.17	30.36 N 116.36 W	67755	PAIRED	PCR	METAGENOMIC	seawater metagenome	ILLUMINA	2021-07-01T00:00:00Z	SP1714.Stn7.10m	67755	SRP304319	10
SRR13612915	AMPLICON	600	40983515	PRJNA695866	SAMN17621091	Metagenome or environmental	21970876	UNIVERSITY OF CALIFORNIA SANTA CRUZ	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX10006200	uncalculated	uncalculated	Pacific Ocean	Illumina MiSeq	seawater	2017-05	5.6.17	30.36 N 116.36 W	67747	PAIRED	PCR	METAGENOMIC	seawater metagenome	ILLUMINA	2021-07-01T00:00:00Z	SP1714.Stn7.2m	67747	SRP304319	2
SRR13612797	AMPLICON	600	24793937	PRJNA695866	SAMN17621087	Metagenome or environmental	15018481	UNIVERSITY OF CALIFORNIA SANTA CRUZ	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX10006319	uncalculated	uncalculated	Pacific Ocean	Illumina MiSeq	seawater	2017-05	5.9.17	32.51 N 118.21 W	68204	PAIRED	PCR	METAGENOMIC	seawater metagenome	ILLUMINA	2021-07-01T00:00:00Z	SP1714.Stn2.29m	68204	SRP304319	29
SRR13612808	AMPLICON	600	30956621	PRJNA695866	SAMN17621086	Metagenome or environmental	16321737	UNIVERSITY OF CALIFORNIA SANTA CRUZ	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX10006308	uncalculated	uncalculated	Pacific Ocean	Illumina MiSeq	seawater	2017-05	5.9.17	32.51 N 118.21 W	68206	PAIRED	PCR	METAGENOMIC	seawater metagenome	ILLUMINA	2021-07-01T00:00:00Z	SP1714.Stn2.25m	68206	SRP304319	25
SRR13612828	AMPLICON	600	30100516	PRJNA695866	SAMN17621090	Metagenome or environmental	16398963	UNIVERSITY OF CALIFORNIA SANTA CRUZ	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX10006288	uncalculated	uncalculated	Pacific Ocean	Illumina MiSeq	seawater	2017-05	5.9.17	32.51 N 118.21 W	68196	PAIRED	PCR	METAGENOMIC	seawater metagenome	ILLUMINA	2021-07-01T00:00:00Z	SP1714.Stn2.200m	68196	SRP304319	200
SRR13612839	AMPLICON	600	21644638	PRJNA695866	SAMN17621089	Metagenome or environmental	13039357	UNIVERSITY OF CALIFORNIA SANTA CRUZ	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX10006277	uncalculated	uncalculated	Pacific Ocean	Illumina MiSeq	seawater	2017-05	5.9.17	32.51 N 118.21 W	68200	PAIRED	PCR	METAGENOMIC	seawater metagenome	ILLUMINA	2021-07-01T00:00:00Z	SP1714.Stn2.100m	68200	SRP304319	100
SRR13612849	AMPLICON	600	33283703	PRJNA695866	SAMN17621085	Metagenome or environmental	17951165	UNIVERSITY OF CALIFORNIA SANTA CRUZ	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX10006266	uncalculated	uncalculated	Pacific Ocean	Illumina MiSeq	seawater	2017-05	5.9.17	32.51 N 118.21 W	68208	PAIRED	PCR	METAGENOMIC	seawater metagenome	ILLUMINA	2021-07-01T00:00:00Z	SP1714.Stn2.10m	68208	SRP304319	10
SRR13612860	AMPLICON	600	42398299	PRJNA695866	SAMN17621084	Metagenome or environmental	22255336	UNIVERSITY OF CALIFORNIA SANTA CRUZ	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX10006255	uncalculated	uncalculated	Pacific Ocean	Illumina MiSeq	seawater	2017-05	5.9.17	32.51 N 118.21 W	68210	PAIRED	PCR	METAGENOMIC	seawater metagenome	ILLUMINA	2021-07-01T00:00:00Z	SP1714.Stn2.2m	68210	SRP304319	2
SRR13612882	AMPLICON	600	40147106	PRJNA695866	SAMN17621088	Metagenome or environmental	21025812	UNIVERSITY OF CALIFORNIA SANTA CRUZ	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX10006234	uncalculated	uncalculated	Pacific Ocean	Illumina MiSeq	seawater	2017-05	5.9.17	32.51 N 118.21 W	68202	PAIRED	PCR	METAGENOMIC	seawater metagenome	ILLUMINA	2021-07-01T00:00:00Z	SP1714.Stn2.50m	68202	SRP304319	50
SRR13612871	AMPLICON	600	24793095	PRJNA695866	SAMN17621083	Metagenome or environmental	15816009	UNIVERSITY OF CALIFORNIA SANTA CRUZ	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX10006244	uncalculated	uncalculated	Pacific Ocean	Illumina MiSeq	seawater	2017-05	5.9.17	32.84 N 117.54 W	67845	PAIRED	PCR	METAGENOMIC	seawater metagenome	ILLUMINA	2021-07-01T00:00:00Z	SP1714.Stn1.1.200m	67845	SRP304319	200
SRR13612883	AMPLICON	600	17649547	PRJNA695866	SAMN17621079	Metagenome or environmental	11210409	UNIVERSITY OF CALIFORNIA SANTA CRUZ	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX10006233	uncalculated	uncalculated	Pacific Ocean	Illumina MiSeq	seawater	2017-05	5.9.17	32.84 N 117.54 W	67857	PAIRED	PCR	METAGENOMIC	seawater metagenome	ILLUMINA	2021-07-01T00:00:00Z	SP1714.Stn1.1.10m	67857	SRP304319	10
SRR13612884	AMPLICON	600	29401376	PRJNA695866	SAMN17621078	Metagenome or environmental	15871701	UNIVERSITY OF CALIFORNIA SANTA CRUZ	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX10006232	uncalculated	uncalculated	Pacific Ocean	Illumina MiSeq	seawater	2017-05	5.9.17	32.84 N 117.54 W	67859	PAIRED	PCR	METAGENOMIC	seawater metagenome	ILLUMINA	2021-07-01T00:00:00Z	SP1714.Stn1.1.2m	67859	SRP304319	2
SRR13612886	AMPLICON	600	22718557	PRJNA695866	SAMN17621082	Metagenome or environmental	14336411	UNIVERSITY OF CALIFORNIA SANTA CRUZ	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX10006229	uncalculated	uncalculated	Pacific Ocean	Illumina MiSeq	seawater	2017-05	5.9.17	32.84 N 117.54 W	67847	PAIRED	PCR	METAGENOMIC	seawater metagenome	ILLUMINA	2021-07-01T00:00:00Z	SP1714.Stn1.1.150m	67847	SRP304319	150
SRR13612897	AMPLICON	600	18871789	PRJNA695866	SAMN17621081	Metagenome or environmental	11417881	UNIVERSITY OF CALIFORNIA SANTA CRUZ	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX10006218	uncalculated	uncalculated	Pacific Ocean	Illumina MiSeq	seawater	2017-05	5.9.17	32.84 N 117.54 W	67849	PAIRED	PCR	METAGENOMIC	seawater metagenome	ILLUMINA	2021-07-01T00:00:00Z	SP1714.Stn1.1.100m	67849	SRP304319	100
SRR13612908	AMPLICON	600	35571193	PRJNA695866	SAMN17621080	Metagenome or environmental	21316166	UNIVERSITY OF CALIFORNIA SANTA CRUZ	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX10006207	uncalculated	uncalculated	Pacific Ocean	Illumina MiSeq	seawater	2017-05	5.9.17	32.84 N 117.54 W	67851	PAIRED	PCR	METAGENOMIC	seawater metagenome	ILLUMINA	2021-07-01T00:00:00Z	SP1714.Stn1.1.50m	67851	SRP304319	50
SRR13612833	AMPLICON	600	34576533	PRJNA695866	SAMN17621193	Metagenome or environmental	19373069	UNIVERSITY OF CALIFORNIA SANTA CRUZ	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX10006283	uncalculated	uncalculated	Pacific Ocean	Illumina MiSeq	seawater	2017-10	10.6.17	28.29 N 115.91 W	70733	PAIRED	PCR	METAGENOMIC	seawater metagenome	ILLUMINA	2021-07-01T00:00:00Z	SP1727.Stn14.200m	70733	SRP304319	200
SRR13612834	AMPLICON	600	25064800	PRJNA695866	SAMN17621192	Metagenome or environmental	14960508	UNIVERSITY OF CALIFORNIA SANTA CRUZ	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX10006282	uncalculated	uncalculated	Pacific Ocean	Illumina MiSeq	seawater	2017-10	10.6.17	28.29 N 115.91 W	70734	PAIRED	PCR	METAGENOMIC	seawater metagenome	ILLUMINA	2021-07-01T00:00:00Z	SP1727.Stn14.150m	70734	SRP304319	150
SRR13612835	AMPLICON	600	31008903	PRJNA695866	SAMN17621191	Metagenome or environmental	17463598	UNIVERSITY OF CALIFORNIA SANTA CRUZ	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX10006281	uncalculated	uncalculated	Pacific Ocean	Illumina MiSeq	seawater	2017-10	10.6.17	28.29 N 115.91 W	70741	PAIRED	PCR	METAGENOMIC	seawater metagenome	ILLUMINA	2021-07-01T00:00:00Z	SP1727.Stn14.95m	70741	SRP304319	95
SRR13612836	AMPLICON	600	40560996	PRJNA695866	SAMN17621190	Metagenome or environmental	21335911	UNIVERSITY OF CALIFORNIA SANTA CRUZ	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX10006280	uncalculated	uncalculated	Pacific Ocean	Illumina MiSeq	seawater	2017-10	10.6.17	28.29 N 115.91 W	70735	PAIRED	PCR	METAGENOMIC	seawater metagenome	ILLUMINA	2021-07-01T00:00:00Z	SP1727.Stn14.50m	70735	SRP304319	50
SRR13612837	AMPLICON	600	31744368	PRJNA695866	SAMN17621189	Metagenome or environmental	16662574	UNIVERSITY OF CALIFORNIA SANTA CRUZ	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX10006279	uncalculated	uncalculated	Pacific Ocean	Illumina MiSeq	seawater	2017-10	10.6.17	28.29 N 115.91 W	70736	PAIRED	PCR	METAGENOMIC	seawater metagenome	ILLUMINA	2021-07-01T00:00:00Z	SP1727.Stn14.25m	70736	SRP304319	25
SRR13612838	AMPLICON	600	40203473	PRJNA695866	SAMN17621188	Metagenome or environmental	20829785	UNIVERSITY OF CALIFORNIA SANTA CRUZ	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX10006278	uncalculated	uncalculated	Pacific Ocean	Illumina MiSeq	seawater	2017-10	10.6.17	28.29 N 115.91 W	70742	PAIRED	PCR	METAGENOMIC	seawater metagenome	ILLUMINA	2021-07-01T00:00:00Z	SP1727.Stn14.10m	70742	SRP304319	10
SRR13612840	AMPLICON	600	43512247	PRJNA695866	SAMN17621187	Metagenome or environmental	22515743	UNIVERSITY OF CALIFORNIA SANTA CRUZ	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX10006276	uncalculated	uncalculated	Pacific Ocean	Illumina MiSeq	seawater	2017-10	10.6.17	28.29 N 115.91 W	70743	PAIRED	PCR	METAGENOMIC	seawater metagenome	ILLUMINA	2021-07-01T00:00:00Z	SP1727.Stn14.3m	70743	SRP304319	3
SRR13612841	AMPLICON	600	42438881	PRJNA695866	SAMN17621186	Metagenome or environmental	24295594	UNIVERSITY OF CALIFORNIA SANTA CRUZ	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX10006275	uncalculated	uncalculated	Pacific Ocean	Illumina MiSeq	seawater	2017-10	10.6.17	28.63 N 115.26 W	70747	PAIRED	PCR	METAGENOMIC	seawater metagenome	ILLUMINA	2021-07-01T00:00:00Z	SP1727.Stn13.177m	70747	SRP304319	177
SRR13612842	AMPLICON	600	30897360	PRJNA695866	SAMN17621185	Metagenome or environmental	17558595	UNIVERSITY OF CALIFORNIA SANTA CRUZ	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX10006274	uncalculated	uncalculated	Pacific Ocean	Illumina MiSeq	seawater	2017-10	10.6.17	28.63 N 115.26 W	70748	PAIRED	PCR	METAGENOMIC	seawater metagenome	ILLUMINA	2021-07-01T00:00:00Z	SP1727.Stn13.150m	70748	SRP304319	150
SRR13612843	AMPLICON	600	25071803	PRJNA695866	SAMN17621184	Metagenome or environmental	13877238	UNIVERSITY OF CALIFORNIA SANTA CRUZ	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX10006273	uncalculated	uncalculated	Pacific Ocean	Illumina MiSeq	seawater	2017-10	10.6.17	28.63 N 115.26 W	70749	PAIRED	PCR	METAGENOMIC	seawater metagenome	ILLUMINA	2021-07-01T00:00:00Z	SP1727.Stn13.100m	70749	SRP304319	100
SRR13612844	AMPLICON	600	36283836	PRJNA695866	SAMN17621183	Metagenome or environmental	20119112	UNIVERSITY OF CALIFORNIA SANTA CRUZ	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX10006272	uncalculated	uncalculated	Pacific Ocean	Illumina MiSeq	seawater	2017-10	10.6.17	28.63 N 115.26 W	70755	PAIRED	PCR	METAGENOMIC	seawater metagenome	ILLUMINA	2021-07-01T00:00:00Z	SP1727.Stn13.68m	70755	SRP304319	68
SRR13612845	AMPLICON	600	20798362	PRJNA695866	SAMN17621182	Metagenome or environmental	10844822	UNIVERSITY OF CALIFORNIA SANTA CRUZ	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX10006271	uncalculated	uncalculated	Pacific Ocean	Illumina MiSeq	seawater	2017-10	10.6.17	28.63 N 115.26 W	70750	PAIRED	PCR	METAGENOMIC	seawater metagenome	ILLUMINA	2021-07-01T00:00:00Z	SP1727.Stn13.50m	70750	SRP304319	50
SRR13612846	AMPLICON	600	36815469	PRJNA695866	SAMN17621181	Metagenome or environmental	19104462	UNIVERSITY OF CALIFORNIA SANTA CRUZ	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX10006270	uncalculated	uncalculated	Pacific Ocean	Illumina MiSeq	seawater	2017-10	10.6.17	28.63 N 115.26 W	70756	PAIRED	PCR	METAGENOMIC	seawater metagenome	ILLUMINA	2021-07-01T00:00:00Z	SP1727.Stn13.25m	70756	SRP304319	25
SRR13612847	AMPLICON	600	37241568	PRJNA695866	SAMN17621180	Metagenome or environmental	20584563	UNIVERSITY OF CALIFORNIA SANTA CRUZ	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX10006269	uncalculated	uncalculated	Pacific Ocean	Illumina MiSeq	seawater	2017-10	10.6.17	28.63 N 115.26 W	70757	PAIRED	PCR	METAGENOMIC	seawater metagenome	ILLUMINA	2021-07-01T00:00:00Z	SP1727.Stn13.10m	70757	SRP304319	10
SRR13612848	AMPLICON	600	34606379	PRJNA695866	SAMN17621179	Metagenome or environmental	18863295	UNIVERSITY OF CALIFORNIA SANTA CRUZ	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX10006268	uncalculated	uncalculated	Pacific Ocean	Illumina MiSeq	seawater	2017-10	10.6.17	28.63 N 115.26 W	70758	PAIRED	PCR	METAGENOMIC	seawater metagenome	ILLUMINA	2021-07-01T00:00:00Z	SP1727.Stn13.3m	70758	SRP304319	3
SRR13612787	AMPLICON	600	14336248	PRJNA695866	SAMN17621177	Metagenome or environmental	9225449	UNIVERSITY OF CALIFORNIA SANTA CRUZ	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX10006329	uncalculated	uncalculated	Pacific Ocean	Illumina MiSeq	seawater	2017-10	10.7.17	28.8 N 114.93 W	70764	PAIRED	PCR	METAGENOMIC	seawater metagenome	ILLUMINA	2021-07-01T00:00:00Z	SP1727.Stn12.50m	70764	SRP304319	50
SRR13612788	AMPLICON	600	23728218	PRJNA695866	SAMN17621176	Metagenome or environmental	14548237	UNIVERSITY OF CALIFORNIA SANTA CRUZ	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX10006328	uncalculated	uncalculated	Pacific Ocean	Illumina MiSeq	seawater	2017-10	10.7.17	28.8 N 114.93 W	70769	PAIRED	PCR	METAGENOMIC	seawater metagenome	ILLUMINA	2021-07-01T00:00:00Z	SP1727.Stn12.38m	70769	SRP304319	38
SRR13612789	AMPLICON	600	25214263	PRJNA695866	SAMN17621175	Metagenome or environmental	14625166	UNIVERSITY OF CALIFORNIA SANTA CRUZ	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX10006327	uncalculated	uncalculated	Pacific Ocean	Illumina MiSeq	seawater	2017-10	10.7.17	28.8 N 114.93 W	70765	PAIRED	PCR	METAGENOMIC	seawater metagenome	ILLUMINA	2021-07-01T00:00:00Z	SP1727.Stn12.25m	70765	SRP304319	25
SRR13612790	AMPLICON	600	34259565	PRJNA695866	SAMN17621174	Metagenome or environmental	19131525	UNIVERSITY OF CALIFORNIA SANTA CRUZ	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX10006326	uncalculated	uncalculated	Pacific Ocean	Illumina MiSeq	seawater	2017-10	10.7.17	28.8 N 114.93 W	70770	PAIRED	PCR	METAGENOMIC	seawater metagenome	ILLUMINA	2021-07-01T00:00:00Z	SP1727.Stn12.10m	70770	SRP304319	10
SRR13612791	AMPLICON	600	33197768	PRJNA695866	SAMN17621173	Metagenome or environmental	18782130	UNIVERSITY OF CALIFORNIA SANTA CRUZ	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX10006325	uncalculated	uncalculated	Pacific Ocean	Illumina MiSeq	seawater	2017-10	10.7.17	28.8 N 114.93 W	70771	PAIRED	PCR	METAGENOMIC	seawater metagenome	ILLUMINA	2021-07-01T00:00:00Z	SP1727.Stn12.2m	70771	SRP304319	2
SRR13612880	AMPLICON	600	22092516	PRJNA695866	SAMN17621178	Metagenome or environmental	14129414	UNIVERSITY OF CALIFORNIA SANTA CRUZ	public	"fastq,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX10006235	uncalculated	uncalculated	Pacific Ocean	Illumina MiSeq	seawater	2017-10	10.7.17	28.8 N 114.93 W	70763	PAIRED	PCR	METAGENOMIC	seawater metagenome	ILLUMINA	2021-07-01T00:00:00Z	SP1727.Stn12.88m	70763	SRP304319	88
