AUID,ARB2017.id,ARB2017.pctId,ARB2017.alen,ARB2017.evalue,Genomes879.id,Genomes879.pctId,Genomes879.alen,Genomes879.evalue,Genomes879.tax,MarineDiazo.subject,MarineDiazo.pid,MarineDiazo.alen,MarineDiazo.evalue,MarineDiazo.description,cluster,subcluster,AUID_updt,AUID_OLD,Genoes879.pid_flag,MarineDiazo.ID,consensus_id
AUID.1005,ACH99072.1|uncultured_microorganism,95.732,328.0,3.89e-150,Coraliomargarita akajimensis,95.413,109.0,2.91e-71,Bacteria;Verrucomicrobia;Opitutae;Puniceicoccales;Puniceicoccaceae;Coraliomargarita,,,,,,3,3E,AUID.1005,AUID.999,,,unknown3
AUID.10051,ALN98307.1|uncultured_bacterium,99.322,295.0,7.46e-152,Pseudomonas stutzeri,94.898,98.0,1.19e-65,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas,Part_Farn_OTU_1012,98.983,295.0,1.68e-152,Gamma 3,1,1G,AUID.10051,AUID.9511,,Gamma 3;Part_Farn_OTU_1012,Gamma 3;Part_Farn_OTU_1012
AUID.1006,BAV19204.1|uncultured_marine,93.272,327.0,3.0799999999999998e-136,Pseudomonas stutzeri,95.413,109.0,8.81e-75,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas,,,,,,1,1O,AUID.1006,AUID.963,,,unknown1O
AUID.10060,ADV51966.1|uncultured_bacterium,99.694,327.0,2.93e-171,Pseudomonas stutzeri,95.413,109.0,7.73e-75,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas,,,,,,1,1G,AUID.10060,AUID.9520,,,unknown1G
AUID.10068,ABW24695.1|uncultured_cyanobacterium,99.383,324.0,6.27e-168,Nostoc punctiforme,95.37,108.0,1.33e-73,Bacteria;Cyanobacteria;__c;Nostocales;Nostocaceae;Nostoc,,,,,,1,1B,AUID.10068,AUID.9528,,,unknown1B
AUID.10075,SFW98605.1|Azotobacter_vinelandii,100.0,325.0,8.06e-172,Azotobacter vinelandii,100.0,108.0,5.55e-57,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Azotobacter,,,,,,2,2C,AUID.10075,AUID.9535,1.0,,Azotobacter vinelandii
AUID.10076,ABW24695.1|uncultured_cyanobacterium,99.074,324.0,2.92e-166,Nostoc punctiforme,95.37,108.0,1.33e-73,Bacteria;Cyanobacteria;__c;Nostocales;Nostocaceae;Nostoc,,,,,,1,1B,AUID.10076,AUID.9536,,,unknown1B
AUID.100798,ALN98307.1|uncultured_bacterium,99.322,295.0,7.46e-152,Pseudomonas stutzeri,94.898,98.0,1.19e-65,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas,Part_Farn_OTU_1012,98.983,295.0,1.68e-152,Gamma 3,1,1G,AUID.100798,AUID.98236,,Gamma 3;Part_Farn_OTU_1012,Gamma 3;Part_Farn_OTU_1012
AUID.10093,ABF31144.1|uncultured_microorganism,99.691,324.0,1.35e-169,Xanthobacter autotrophicus,97.222,108.0,2.74e-75,Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;Xanthobacter,alpha1,99.074,324.0,1.4e-168,alpha1|MH144511|α-ETSP1,1,1K,AUID.10093,AUID.9552,1.0,alpha1|MH144511|α-ETSP1;alpha1,alpha1|MH144511|α-ETSP1;alpha1
AUID.10095,ABF31101.1|uncultured_microorganism,99.694,327.0,2.93e-171,Pseudomonas stutzeri,95.413,109.0,1.97e-65,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas,,,,,,1,1G,AUID.10095,AUID.9554,,,unknown1G
AUID.10096,ABW24695.1|uncultured_cyanobacterium,99.691,324.0,1.35e-169,Nostoc punctiforme,95.37,108.0,2.93e-74,Bacteria;Cyanobacteria;__c;Nostocales;Nostocaceae;Nostoc,,,,,,1,1B,AUID.10096,AUID.9555,,,unknown1B
AUID.101015,AEI72404.1|uncultured_bacterium,80.061,326.0,5.68e-64,Desulfovibrio magneticus,88.073,109.0,6.649999999999999e-67,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio,,,,,,3,3N,AUID.101015,AUID.98238,,,unknown3
AUID.10108,AHY23132.1|uncultured_marine,99.694,327.0,2.93e-171,Allochromatium vinosum,95.413,109.0,3.36e-74,Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Chromatiaceae;Allochromatium,Npac_Shio_otu00009,98.777,327.0,1.42e-168,g-ETSP2,1,1G,AUID.10108,AUID.10112,,g-ETSP2;Npac_Shio_otu00009,g-ETSP2;Npac_Shio_otu00009
AUID.10112,AGE14368.1|uncultured_bacterium,99.692,325.0,3.75e-170,cyanobacterium UCYN-A,100.0,108.0,2.12e-76,Bacteria;Cyanobacteria;__c;Chroococcales;__f;__g,AF059627.1,99.383,324.0,3.02e-170,UCYN-A | Unidentified marine eubacterium clone HT1150,1,1B,AUID.10112,AUID.10113,1.0,UCYN-A | Unidentified marine eubacterium clone HT1150;AF059627.1,UCYN-A | Unidentified marine eubacterium clone HT1150;AF059627.1
AUID.10119,SCQ51450.1|uncultured_bacterium,100.0,325.0,8.06e-172,Trichodesmium erythraeum,100.0,108.0,2.37e-76,Bacteria;Cyanobacteria;Oscillatoriophycideae;Oscillatoriales;Microcoleaceae;Trichodesmium,AY896367.1,100.0,324.0,1.39e-173,Tricho | Uncultured marine bacterium clone TAM229404,1,1B,AUID.10119,AUID.10104,1.0,Tricho | Uncultured marine bacterium clone TAM229404;AY896367.1,Tricho | Uncultured marine bacterium clone TAM229404;AY896367.1
AUID.10120,AEI72278.1|uncultured_bacterium,99.694,327.0,2.93e-171,Pseudomonas stutzeri,94.495,109.0,5.350000000000001e-65,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas,SCCS_Turk_denovo2,99.39,328.0,1.82e-172,SCCS-Turk-denovo2,1,1G,AUID.10120,AUID.10116,,SCCS-Turk-denovo2;SCCS_Turk_denovo2,SCCS-Turk-denovo2;SCCS_Turk_denovo2
AUID.10128,BAP91501.1|uncultured_marine,99.694,327.0,2.93e-171,Pseudomonas stutzeri,94.495,109.0,2.3000000000000002e-74,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas,Npac_Shio_otu00009,98.471,327.0,6.600000000000001e-167,g-ETSP2,1,1G,AUID.10128,AUID.10120,,g-ETSP2;Npac_Shio_otu00009,g-ETSP2;Npac_Shio_otu00009
AUID.10132,AHG25267.1|uncultured_marine,97.546,326.0,1.7699999999999999e-158,,,,,,DQ118216.2,97.231,325.0,1.43e-158,UCYN-B | Uncultured marine bacterium clone HT3312A10_SP6,2,2C,AUID.10132,AUID.10124,,UCYN-B | Uncultured marine bacterium clone HT3312A10_SP6;DQ118216.2,UCYN-B | Uncultured marine bacterium clone HT3312A10_SP6;DQ118216.2
AUID.10133,ADV51862.1|uncultured_bacterium,99.691,324.0,1.35e-169,Nostoc punctiforme,97.222,108.0,3.21e-75,Bacteria;Cyanobacteria;__c;Nostocales;Nostocaceae;Nostoc,AY706888.1,99.074,324.0,1.4e-168,Het-1 | Uncultured bacterium clone HT_9025h5 ,1,1B,AUID.10133,AUID.10125,1.0,Het-1 | Uncultured bacterium clone HT_9025h5 ;AY706888.1,Het-1 | Uncultured bacterium clone HT_9025h5 ;AY706888.1
AUID.10134,ADV51862.1|uncultured_bacterium,98.765,324.0,1.36e-164,Nostoc punctiforme,97.222,108.0,3.21e-75,Bacteria;Cyanobacteria;__c;Nostocales;Nostocaceae;Nostoc,AY706888.1,98.148,324.0,1.41e-163,Het-1 | Uncultured bacterium clone HT_9025h5 ,1,1B,AUID.10134,AUID.10126,1.0,Het-1 | Uncultured bacterium clone HT_9025h5 ;AY706888.1,Het-1 | Uncultured bacterium clone HT_9025h5 ;AY706888.1
AUID.10135,ADT90082.1|uncultured_marine,99.385,325.0,1.74e-168,Crocosphaera watsonii,97.222,108.0,1.94e-63,Bacteria;Cyanobacteria;__c;Chroococcales;__f;Crocosphaera,DQ118216.2,98.457,324.0,3.04e-165,UCYN-B | Uncultured marine bacterium clone HT3312A10_SP6,1,1B,AUID.10135,AUID.10127,1.0,UCYN-B | Uncultured marine bacterium clone HT3312A10_SP6;DQ118216.2,UCYN-B | Uncultured marine bacterium clone HT3312A10_SP6;DQ118216.2
AUID.10143,AFO66647.1|uncultured_bacterium,99.688,321.0,6.27e-168,Cyanothece sp.,96.296,108.0,5.04e-64,Bacteria;Cyanobacteria;__c;Chroococcales;__f;Cyanothece,Croco_otu3,99.692,325.0,1.8e-172,Cwaterburyi,1,1J,AUID.10143,AUID.10105,,Cwaterburyi;Croco_otu3,Cwaterburyi;Croco_otu3
AUID.10144,AFO66647.1|uncultured_bacterium,99.065,321.0,1.36e-164,Cyanothece sp.,95.37,108.0,2.36e-63,Bacteria;Cyanobacteria;__c;Chroococcales;__f;Cyanothece,Croco_otu3,99.077,325.0,3.91e-169,Cwaterburyi,1,1J,AUID.10144,AUID.10106,,Cwaterburyi;Croco_otu3,Cwaterburyi;Croco_otu3
AUID.10146,AHG25267.1|uncultured_marine,99.692,325.0,3.75e-170,Crocosphaera watsonii,100.0,108.0,1.24e-64,Bacteria;Cyanobacteria;__c;Chroococcales;__f;Crocosphaera,DQ118216.2,99.383,324.0,3.02e-170,UCYN-B | Uncultured marine bacterium clone HT3312A10_SP6,1,1J,AUID.10146,AUID.10107,1.0,UCYN-B | Uncultured marine bacterium clone HT3312A10_SP6;DQ118216.2,UCYN-B | Uncultured marine bacterium clone HT3312A10_SP6;DQ118216.2
AUID.10147,ADV52033.1|uncultured_bacterium,99.065,321.0,1.37e-164,Teredinibacter turnerae,95.413,109.0,2.02e-74,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadalesgeneraincertaesedis;Teredinibacter,SCCS_Turk_denovo3,98.742,318.0,1.4300000000000002e-163,SCCS-Turk-denovo3,1,1G,AUID.10147,AUID.10137,,SCCS-Turk-denovo3;SCCS_Turk_denovo3,SCCS-Turk-denovo3;SCCS_Turk_denovo3
AUID.10148,AAW23152.1|uncultured_bacterium,100.0,324.0,2.9e-171,Nostoc punctiforme,93.519,108.0,1.47e-72,Bacteria;Cyanobacteria;__c;Nostocales;Nostocaceae;Nostoc,,,,,,1,1B,AUID.10148,AUID.10138,,,unknown1B
AUID.1015,ADD48973.1|uncultured_bacterium,89.634,328.0,8.8e-117,Desulfovibrio aespoeensis,95.413,109.0,2.32e-71,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio,,,,,,3,3E,AUID.1015,AUID.1008,,,unknown3
AUID.10150,AHG25267.1|uncultured_marine,99.692,325.0,3.75e-170,Crocosphaera watsonii,99.074,108.0,6.68e-64,Bacteria;Cyanobacteria;__c;Chroococcales;__f;Crocosphaera,DQ118216.2,99.383,324.0,3.02e-170,UCYN-B | Uncultured marine bacterium clone HT3312A10_SP6,1,1B,AUID.10150,AUID.10108,1.0,UCYN-B | Uncultured marine bacterium clone HT3312A10_SP6;DQ118216.2,UCYN-B | Uncultured marine bacterium clone HT3312A10_SP6;DQ118216.2
AUID.10151,ADV51966.1|uncultured_bacterium,93.578,327.0,6.61e-138,Pseudomonas stutzeri,96.33,109.0,3.1300000000000003e-75,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas,,,,,,1,1G,AUID.10151,AUID.10140,,,unknown1G
AUID.10154,ABW24695.1|uncultured_cyanobacterium,97.531,324.0,6.36e-158,Nostoc punctiforme,95.37,108.0,1.33e-73,Bacteria;Cyanobacteria;__c;Nostocales;Nostocaceae;Nostoc,,,,,,1,1B,AUID.10154,AUID.10143,,,unknown1B
AUID.10157,BAP91501.1|uncultured_marine,100.0,327.0,6.29e-173,Pseudomonas stutzeri,94.495,109.0,2.3000000000000002e-74,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas,Npac_Shio_otu00009,98.777,327.0,1.42e-168,g-ETSP2,1,1G,AUID.10157,AUID.10109,,g-ETSP2;Npac_Shio_otu00009,g-ETSP2;Npac_Shio_otu00009
AUID.10158,ABB00031.1|uncultured_Richelia,99.691,324.0,1.35e-169,Nostoc punctiforme,97.222,108.0,6.24e-75,Bacteria;Cyanobacteria;__c;Nostocales;Nostocaceae;Nostoc,AY706888.1,98.457,324.0,3.04e-165,Het-1 | Uncultured bacterium clone HT_9025h5 ,1,1B,AUID.10158,AUID.10110,1.0,Het-1 | Uncultured bacterium clone HT_9025h5 ;AY706888.1,Het-1 | Uncultured bacterium clone HT_9025h5 ;AY706888.1
AUID.10160,ADV52023.1|uncultured_bacterium,98.765,324.0,1.36e-164,Nostoc punctiforme,97.222,108.0,6.24e-75,Bacteria;Cyanobacteria;__c;Nostocales;Nostocaceae;Nostoc,AY706888.1,97.531,324.0,3.06e-160,Het-1 | Uncultured bacterium clone HT_9025h5 ,1,1B,AUID.10160,AUID.10111,1.0,Het-1 | Uncultured bacterium clone HT_9025h5 ;AY706888.1,Het-1 | Uncultured bacterium clone HT_9025h5 ;AY706888.1
AUID.10161,ADT90010.1|uncultured_marine,98.476,328.0,3.81e-165,Allochromatium vinosum,98.165,109.0,8.480000000000002e-66,Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Chromatiaceae;Allochromatium,,,,,,1,1G,AUID.10161,AUID.10147,1.0,,Allochromatium vinosum
AUID.10163,ADV52108.1|uncultured_bacterium,96.636,327.0,1.39e-154,Pseudomonas stutzeri,94.495,109.0,2.3000000000000002e-74,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas,SCCS_Turk_denovo3,97.866,328.0,3.97e-164,SCCS-Turk-denovo3,1,1G,AUID.10163,AUID.10149,,SCCS-Turk-denovo3;SCCS_Turk_denovo3,SCCS-Turk-denovo3;SCCS_Turk_denovo3
AUID.10166,AFD03772.1|uncultured_bacterium,93.558,326.0,2.38e-137,Desulfovibrio aespoeensis,95.413,109.0,1.8500000000000002e-71,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio,,,,,,3,3E,AUID.10166,AUID.11085,,,unknown3
AUID.10167,ADA77622.1|uncultured_prokaryote,91.768,328.0,1.86e-128,Desulfovibrio aespoeensis,94.495,109.0,8.05e-71,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio,,,,,,3,3E,AUID.10167,AUID.11111,,,unknown3
AUID.101670,AEI72404.1|uncultured_bacterium,80.368,326.0,1.22e-65,Desulfovibrio magneticus,88.073,109.0,6.649999999999999e-67,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio,,,,,,3,3N,AUID.101670,AUID.98243,,,unknown3
AUID.10168,ADD26448.1|uncultured_bacterium,96.024,327.0,3.01e-151,Allochromatium vinosum,98.165,109.0,1.21e-75,Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Chromatiaceae;Allochromatium,,,,,,1,1G,AUID.10168,AUID.11128,1.0,,Allochromatium vinosum
AUID.10169,AFD03695.1|uncultured_bacterium,98.777,327.0,2.95e-166,Pelobacter carbinolicus,96.33,109.0,8.08e-74,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Pelobacteraceae;Pelobacter,,,,,,1,1A,AUID.10169,AUID.18734,,,unknown1A
AUID.10170,AAZ06764.1|uncultured_nitrogen-fixing,98.476,328.0,3.81e-165,Klebsiella sp.,93.578,109.0,7.06e-73,Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Klebsiella,,,,,,1,1G,AUID.10170,AUID.11189,,,unknown1G
AUID.10171,AKS11174.1|uncultured_microorganism,99.695,328.0,8.14e-172,Pelobacter carbinolicus,92.661,109.0,1.58e-71,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Pelobacteraceae;Pelobacter,,,,,,1,1A,AUID.10171,AUID.11201,,,unknown1A
AUID.10172,ALJ51684.1|uncultured_bacterium,95.37,324.0,3.03e-146,Pelobacter carbinolicus,95.413,109.0,2.8e-73,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Pelobacteraceae;Pelobacter,,,,,,1,1A,AUID.10172,AUID.19543,,,unknown1A
AUID.10173,BAQ19809.1|uncultured_marine,99.388,327.0,1.36e-169,Pelobacter carbinolicus,94.495,109.0,9.29e-73,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Pelobacteraceae;Pelobacter,CB914H4,98.777,327.0,1.42e-168,NB3-Pelobacter|CB914H4,1,1A,AUID.10173,AUID.11256,,NB3-Pelobacter|CB914H4;CB914H4,NB3-Pelobacter|CB914H4;CB914H4
AUID.10174,AFD03745.1|uncultured_bacterium,97.866,328.0,2.97e-161,Pelobacter carbinolicus,95.413,109.0,2.8e-73,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Pelobacteraceae;Pelobacter,,,,,,1,1A,AUID.10174,AUID.20285,,,unknown1A
AUID.10175,AAO67658.1|uncultured_bacterium,99.694,327.0,2.93e-171,Pelobacter carbinolicus,94.495,109.0,9.29e-73,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Pelobacteraceae;Pelobacter,,,,,,1,1A,AUID.10175,AUID.10293,,,unknown1A
AUID.10176,ALJ51767.1|uncultured_bacterium,99.695,328.0,8.14e-172,Pelobacter carbinolicus,92.661,109.0,1.58e-71,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Pelobacteraceae;Pelobacter,,,,,,1,1A,AUID.10176,AUID.11377,,,unknown1A
AUID.10177,AII78936.1|uncultured_bacterium,96.646,328.0,3.87e-155,Azoarcus sp.,98.165,109.0,2.36e-76,Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Azoarcus,,,,,,1,1P,AUID.10177,AUID.11390,1.0,,Azoarcus sp.
AUID.10178,AHY22978.1|uncultured_marine,98.165,327.0,6.38e-163,Dechloromonas aromatica,100.0,109.0,4.51e-77,Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Dechloromonas,,,,,,1,1P,AUID.10178,AUID.21351,1.0,,Dechloromonas aromatica
AUID.10179,ACP42075.1|uncultured_bacterium,92.945,326.0,5.15e-134,Pelobacter carbinolicus,95.413,109.0,2.8e-73,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Pelobacteraceae;Pelobacter,,,,,,1,1A,AUID.10179,AUID.11441,,,unknown1A
AUID.10180,AKV16166.1|uncultured_nitrogen-fixing,99.39,328.0,3.79e-170,Allochromatium vinosum,98.165,109.0,1.21e-75,Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Chromatiaceae;Allochromatium,,,,,,1,1G,AUID.10180,AUID.21641,1.0,,Allochromatium vinosum
AUID.10181,AAO67638.1|uncultured_bacterium,98.165,327.0,6.38e-163,Pelobacter carbinolicus,94.495,109.0,9.29e-73,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Pelobacteraceae;Pelobacter,,,,,,1,1A,AUID.10181,AUID.11470,,,unknown1A
AUID.10182,ACP42075.1|uncultured_bacterium,92.945,326.0,5.15e-134,Pelobacter carbinolicus,95.413,109.0,2.8e-73,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Pelobacteraceae;Pelobacter,,,,,,1,1A,AUID.10182,AUID.11548,,,unknown1A
AUID.10183,AGE45133.1|uncultured_nitrogen-fixing,89.623,318.0,6.85e-113,Geobacter lovleyi,99.083,109.0,9.64e-76,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Geobacteraceae;Geobacter,,,,,,1,1A,AUID.10183,AUID.11571,1.0,,Geobacter lovleyi
AUID.10184,ALJ51636.1|uncultured_bacterium,95.732,328.0,3.89e-150,Verrucomicrobiae bacterium,86.239,109.0,5.000000000000002e-66,Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;__f;__g,,,,,,3,3T,AUID.10184,AUID.10320,,,unknown3
AUID.10185,AII78933.1|uncultured_bacterium,87.654,324.0,1.49e-104,Sideroxydans lithotrophicus,95.413,109.0,2.84e-74,Bacteria;Proteobacteria;Betaproteobacteria;Gallionellales;Gallionellaceae;Sideroxydans,,,,,,1,1P,AUID.10185,AUID.11602,,,unknown1P
AUID.10186,ADD48927.1|uncultured_bacterium,99.695,328.0,8.14e-172,Desulfatibacillum alkenivorans,93.578,109.0,7.81e-71,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae;Desulfatibacillum,,,,,,3,3H,AUID.10186,AUID.11628,,,unknown3
AUID.10187,AII78933.1|uncultured_bacterium,86.42,324.0,6.99e-98,Sideroxydans lithotrophicus,95.413,109.0,2.84e-74,Bacteria;Proteobacteria;Betaproteobacteria;Gallionellales;Gallionellaceae;Sideroxydans,,,,,,1,1P,AUID.10187,AUID.11645,,,unknown1P
AUID.10188,AKV16206.1|uncultured_nitrogen-fixing,95.732,328.0,3.89e-150,Pelobacter carbinolicus,95.413,109.0,2.8e-73,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Pelobacteraceae;Pelobacter,,,,,,1,1A,AUID.10188,AUID.11710,,,unknown1A
AUID.10189,AKS11334.1|uncultured_microorganism,99.39,328.0,3.79e-170,Pelobacter carbinolicus,94.495,109.0,9.29e-73,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Pelobacteraceae;Pelobacter,,,,,,1,1A,AUID.10189,AUID.11713,,,unknown1A
AUID.10190,AFD03747.1|uncultured_bacterium,96.024,327.0,3.01e-151,Pelobacter carbinolicus,94.495,109.0,9.29e-73,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Pelobacteraceae;Pelobacter,,,,,,1,1A,AUID.10190,AUID.11714,,,unknown1A
AUID.10191,AKV16177.1|uncultured_nitrogen-fixing,98.78,328.0,8.19e-167,Verrucomicrobiae bacterium,86.239,109.0,5.57e-66,Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;__f;__g,,,,,,3,3G,AUID.10191,AUID.23760,,,unknown3
AUID.10192,AMR73556.1|uncultured_bacterium,99.388,327.0,1.36e-169,Pelobacter carbinolicus,94.495,109.0,9.29e-73,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Pelobacteraceae;Pelobacter,,,,,,1,1A,AUID.10192,AUID.11738,,,unknown1A
AUID.10193,ADO25023.1|uncultured_bacterium,81.288,326.0,1.21e-70,Desulfatibacillum alkenivorans,88.991,109.0,5.42e-68,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae;Desulfatibacillum,,,,,,3,3,AUID.10193,AUID.10336,,,unknown3
AUID.10194,AMX23526.1|uncultured_bacterium,92.581,310.0,4.03e-125,Sideroxydans lithotrophicus,94.495,109.0,8.330000000000001e-73,Bacteria;Proteobacteria;Betaproteobacteria;Gallionellales;Gallionellaceae;Sideroxydans,,,,,,1,1P,AUID.10194,AUID.24005,,,unknown1P
