AUID_updt,cluster,subcluster
AUID.10637,3,3E
AUID.106445,3,3L
AUID.10647,3,3E
AUID.10653,3,3N
AUID.10656,3,3J
AUID.106566,3,3Q
AUID.10657,3,3H
AUID.10658,1,1A
AUID.10659,1,1G
AUID.10660,1,1G
AUID.10662,3,3J
AUID.10663,1,1A
AUID.10668,3,3B
AUID.10669,1,1A
AUID.10673,3,3
AUID.10678,1,1P
AUID.1068,2,2D
AUID.10683,1,1A
AUID.10684,1,1A
AUID.10688,1,1A
AUID.10694,1,1K
AUID.10695,1,1K
AUID.10698,1,1K
AUID.1070,1,1G
AUID.10702,3,3E
AUID.10705,1,1K
AUID.10706,3,3K
AUID.10708,1,1A
AUID.10709,1,1G
AUID.10712,3,3N
AUID.10713,1,1P
AUID.10715,1,1K
AUID.10717,1,1A
AUID.10719,1,1A
AUID.1072,4,4F
AUID.10722,3,3L
AUID.10723,1,1A
AUID.10725,3,3H
AUID.10727,1,1A
AUID.10730,3,3L
AUID.10733,1,1P
AUID.10735,1,1A
AUID.10742,3,3E
AUID.10744,1,1A
AUID.10746,3,3E
AUID.10752,3,3N
AUID.10753,3,3G
AUID.10754,1,1P
AUID.10755,3,3E
AUID.10758,3,3L
AUID.1076,1,1O
AUID.10767,1,1A
AUID.10775,1,1C
AUID.10776,3,3L
AUID.10786,3,3E
AUID.10787,3,3E
AUID.10788,3,3E
AUID.10789,1,1K
AUID.10791,3,3E
AUID.10793,3,3H
AUID.10797,1,1A
AUID.108,1,1G
AUID.10805,3,3E
AUID.1081,1,1P
AUID.10814,1,1A
AUID.10816,3,3P
AUID.10817,3,3N
AUID.10818,3,3N
AUID.10820,3,3C
AUID.10821,1,1J
AUID.10822,1,1A
AUID.10823,3,3E
AUID.10827,3,3E
AUID.10828,1,1A
AUID.10829,3,3H
AUID.10830,1,1A
AUID.10831,3,3Q
AUID.10832,1,1G
AUID.10833,3,3H
AUID.10834,3,3N
AUID.10835,1,1A
AUID.10836,3,3N
AUID.10837,1,1A
AUID.1084,1,1B
AUID.10844,1,1A
AUID.10851,2,2D
AUID.10853,3,3N
AUID.10854,3,3L
AUID.10857,3,3H
AUID.10860,1,1A
AUID.10861,3,3L
AUID.10866,1,1A
AUID.10867,3,3N
AUID.10874,3,3B
AUID.10875,NA,NA
AUID.10883,3,3N
AUID.10885,1,1A
AUID.10893,1,1A
AUID.10894,1,1A
AUID.10896,1,1A
AUID.109,1,1K
AUID.10905,1,1A
AUID.109063,1,1A
AUID.10908,1,1P
AUID.10910,3,3E
AUID.10912,3,3B
AUID.10913,1,1G
AUID.10917,3,3T
AUID.10918,1,1A
AUID.10921,3,3T
AUID.10922,3,3E
AUID.10926,1,1A
AUID.10927,1,1P
AUID.10928,1,1P
AUID.10938,1,1P
AUID.10939,2,2D
AUID.1094,1,1K
AUID.10948,3,3E
AUID.10949,1,1A
AUID.109496,1,1G
AUID.10951,1,1O
AUID.10952,1,1A
AUID.10953,1,1
AUID.10958,3,3P
AUID.10962,1,1A
AUID.10963,3,3E
AUID.10969,1,1A
AUID.10970,1,1B
AUID.10971,1,1A
AUID.10972,1,1P
AUID.109756,1,1G
AUID.10983,1,1G
AUID.10985,3,3E
AUID.10986,1,1G
AUID.10991,3,3E
AUID.10994,1,1P
AUID.10995,1,1A
AUID.10996,1,1K
AUID.10997,3,3E
AUID.10998,1,1P
AUID.10999,1,1A
AUID.11,1,1G
AUID.110,1,1G
AUID.110039,1,1G
AUID.11006,3,3G
AUID.11008,1,1A
AUID.11011,1,1A
AUID.11012,1,1K
AUID.11014,1,1G
AUID.11017,1,1A
AUID.11018,3,3P
AUID.11019,3,3E
AUID.11020,1,1A
AUID.11022,3,3L
AUID.11026,1,1A
AUID.11030,3,3E
AUID.11036,1,1A
AUID.1104,1,1E
AUID.11046,1,1A
AUID.11048,3,3E
AUID.11050,3,3E
AUID.11053,1,1G
AUID.11054,1,1A
AUID.11056,3,3L
AUID.11065,3,3N
AUID.11067,3,3G
AUID.11068,1,1A
AUID.11074,1,1C
AUID.11078,1,1G
AUID.1108,1,1B
AUID.11080,3,3I
AUID.11085,1,1A
AUID.11086,3,3T
AUID.11087,3,3E
AUID.11098,3,3H
AUID.11102,3,3J
AUID.11103,1,1A
AUID.11104,3,3H
AUID.11108,3,3N
AUID.11109,1,1A
AUID.1111,1,1G
AUID.11113,3,3E
AUID.11114,1,1A
AUID.11116,1,1A
AUID.111211,1,1A
AUID.11122,1,1K
AUID.11123,1,1A
AUID.11125,1,1A
AUID.11126,3,3N
AUID.11127,3,3E
AUID.11128,3,3H
AUID.11130,3,3E
AUID.11131,3,3J
AUID.11132,1,1A
AUID.11133,1,1A
AUID.11134,3,3N
AUID.11135,3,3E
AUID.11136,3,3H
AUID.11137,3,3E
AUID.11146,3,3E
AUID.11152,3,3Q
AUID.11155,1,1G
AUID.11156,1,1A
AUID.11157,1,1A
AUID.11161,3,3
AUID.11164,3,3N
AUID.11172,3,3K
AUID.11173,3,3E
AUID.11174,3,3P
AUID.11175,1,1P
AUID.11183,3,3N
AUID.11187,1,1K
AUID.11193,3,3E
AUID.112,1,1K
AUID.11203,3,3E
AUID.11208,3,3E
AUID.1121,1,1K
AUID.11212,3,3Q
AUID.11217,1,1A
AUID.11220,1,1G
AUID.11221,1,1A
AUID.11223,3,3E
AUID.11224,3,3B
AUID.11227,3,3L
AUID.11228,3,3E
AUID.11229,1,1P
AUID.11230,3,3E
AUID.11231,3,3G
AUID.11232,3,3Q
AUID.11233,3,3N
AUID.112371,3,3L
AUID.11238,1,1A
AUID.11239,3,3E
AUID.11242,3,3E
AUID.11244,1,1P
AUID.11246,1,1P
AUID.1125,1,1P
AUID.11254,1,1G
AUID.11262,3,3E
AUID.11263,1,1P
AUID.11265,3,3I
AUID.11271,3,3N
AUID.11272,1,1A
AUID.112741,1,1G
AUID.11276,1,1C
AUID.11277,1,1A
AUID.11279,1,1A
AUID.11280,3,3E
AUID.11281,1,1A
AUID.11284,3,3E
AUID.11285,3,3E
AUID.11288,1,1K
AUID.1129,4,4F
AUID.11292,1,1A
AUID.11295,3,3N
AUID.11298,3,3N
AUID.113,1,1G
AUID.11302,1,1K
AUID.11303,1,1P
AUID.11305,3,3I
AUID.11314,1,1A
AUID.11318,3,3E
AUID.11320,3,3E
AUID.11321,1,1G
AUID.11325,3,3H
AUID.11326,3,3H
AUID.11331,1,1A
AUID.11334,1,1J
AUID.11338,3,3N
AUID.11339,3,3E
AUID.11341,1,1G
AUID.11343,3,3J
AUID.11344,1,1J
AUID.11345,1,1A
AUID.11346,3,3T
AUID.11347,3,3B
AUID.11348,4,4G
AUID.1135,1,1B
AUID.11350,3,3N
AUID.11351,3,3E
AUID.11353,3,3E
AUID.11354,1,1A
AUID.11355,1,1G
AUID.11356,3,3B
AUID.11357,3,3E
AUID.11359,1,1O
AUID.11360,3,3E
AUID.11361,3,3H
AUID.113612,3,3E
AUID.11362,3,3K
AUID.11363,3,3E
AUID.11375,3,3G
AUID.11377,3,3Q
AUID.11380,1,1A
AUID.11383,3,3G
AUID.11387,1,1G
AUID.11388,3,3N
AUID.11390,3,3E
AUID.11392,3,3I
AUID.11397,1,1A
AUID.11399,1,1P
AUID.114,3,3N
AUID.11400,3,3E
AUID.11405,3,3N
AUID.11407,1,1G
AUID.11408,3,3E
AUID.11409,1,1A
AUID.11410,3,3H
AUID.11417,3,3E
AUID.11420,3,3K
AUID.11423,3,3E
AUID.11424,1,1A
AUID.11425,3,3E
AUID.11431,1,1P
AUID.11433,3,3E
AUID.11438,NA,NA
AUID.11439,3,3C
AUID.11443,1,1K
AUID.11448,1,1A
AUID.11450,3,3N
AUID.11453,3,3E
AUID.11456,3,3E
AUID.11457,3,3P
AUID.11458,1,1A
AUID.1146,1,1G
AUID.11463,3,3E
AUID.11464,1,1A
AUID.11466,1,1A
AUID.11468,1,1A
AUID.11469,1,1A
AUID.11470,1,1A
AUID.11471,1,1A
AUID.11479,1,1A
AUID.11481,1,1K
AUID.11488,1,1P
AUID.11490,3,3E
AUID.11491,3,3N
AUID.11497,1,1A
AUID.11500,1,1A
AUID.11503,3,3Q
AUID.11505,1,1P
AUID.11508,3,3H
AUID.11509,3,3L
AUID.11518,3,3L
AUID.11521,3,3N
AUID.11523,1,1K
AUID.11524,1,1K
AUID.11527,1,1A
AUID.1153,1,1K
AUID.11537,3,3E
AUID.11538,3,3Q
AUID.1154,1,1K
AUID.11546,1,1P
AUID.11551,3,3E
AUID.11553,1,1P
AUID.11554,1,1K
AUID.11556,3,3K
AUID.11557,2,2D
AUID.11562,3,3P
AUID.11567,3,3L
AUID.11569,3,3H
AUID.11571,3,3H
AUID.11572,3,3H
AUID.11573,3,3E
AUID.11574,1,1A
AUID.11575,3,3H
AUID.11576,1,1G
AUID.11578,3,3E
AUID.11579,1,1K
AUID.11581,1,1K
AUID.11582,3,3E
AUID.11583,3,3E
AUID.11585,1,1A
AUID.11586,1,1A
AUID.11587,3,3N
AUID.11590,1,1A
AUID.11591,3,3J
AUID.11593,3,3E
AUID.11600,1,1C
AUID.11609,1,1A
AUID.11611,3,3E
AUID.11612,1,1A
AUID.11614,1,1G
AUID.11616,1,1A
AUID.11617,1,1A
AUID.11621,3,3E
AUID.11622,1,1A
AUID.116224,1,1B
AUID.11623,3,3I
AUID.11624,1,1O
AUID.11625,3,3H
AUID.11626,3,3E
AUID.11629,3,3E
AUID.1163,1,1P
AUID.11631,3,3I
AUID.11637,3,3Q
AUID.11638,3,3E
AUID.11640,3,3H
AUID.11650,1,1A
AUID.11651,1,1A
AUID.11652,3,3E
AUID.11653,3,3J
AUID.11657,1,1G
AUID.11661,1,1A
AUID.11662,1,1A
AUID.11666,1,1P
AUID.1167,1,1G
AUID.11670,1,1A
AUID.11672,3,3N
AUID.11673,3,3Q
AUID.11674,1,1P
AUID.11676,1,1P
AUID.11680,1,1A
AUID.11686,1,1C
AUID.11687,3,3E
AUID.11689,1,1C
AUID.11690,1,1A
AUID.11691,1,1A
AUID.11694,1,1P
AUID.11697,1,1A
AUID.11698,3,3E
AUID.11699,3,3E
AUID.11700,3,3H
AUID.11701,3,3E
AUID.11704,1,1G
AUID.11706,3,3J
AUID.11707,1,1G
AUID.11708,1,1A
AUID.11709,1,1A
AUID.11710,3,3E
AUID.11713,1,1G
AUID.11715,3,3T
AUID.11716,3,3E
AUID.1172,4,4F
AUID.11722,1,1A
AUID.11723,1,1A
AUID.11724,2,2C
AUID.11733,1,1G
AUID.11734,1,1A
AUID.11736,1,1A
AUID.11739,1,1A
AUID.11742,1,1P
AUID.11749,3,3E
AUID.11750,3,3
AUID.11758,2,2C
AUID.11759,3,3H
AUID.11760,3,3N
AUID.11761,3,3N
AUID.11772,3,3E
AUID.11774,1,1O
AUID.117754,1,1A
AUID.11778,3,3L
AUID.1178,1,1F
AUID.11781,3,3G
AUID.117863,1,1G
AUID.11789,1,1A
AUID.11795,1,1P
AUID.11797,1,1A
AUID.117974,1,1A
AUID.11799,3,3
AUID.11803,1,1A
AUID.11816,3,3N
AUID.11817,3,3K
AUID.1182,1,1G
AUID.11820,1,1A
AUID.11822,3,3H
AUID.11824,1,1
AUID.11827,1,1G
AUID.11828,3,3E
AUID.11829,3,3Q
AUID.11831,3,3E
AUID.11833,3,3H
AUID.11835,3,3Q
AUID.11839,3,3B
AUID.11841,1,1A
AUID.11843,3,3N
AUID.11845,3,3H
AUID.11849,1,1C
AUID.11850,1,1J
AUID.11856,1,1A
AUID.11866,3,3N
AUID.11873,1,1A
AUID.11876,1,1A
AUID.11878,3,3P
AUID.11879,1,1A
AUID.11880,3,3E
AUID.11884,1,1C
AUID.11885,3,3E
AUID.11890,1,1A
AUID.11893,1,1A
AUID.118935,1,1A
AUID.11896,1,1P
AUID.11897,1,1A
AUID.11898,1,1G
AUID.11905,3,3N
AUID.11907,1,1P
AUID.11913,1,1A
AUID.11916,3,3E
AUID.11920,3,3L
AUID.11926,1,1K
AUID.11927,3,3S
AUID.1193,3,3E
AUID.11930,1,1A
AUID.11931,3,3E
AUID.11938,3,3T
AUID.11943,3,3E
AUID.11944,1,1O
AUID.11946,1,1A
AUID.11947,1,1O
AUID.11948,3,3E
AUID.11955,3,3K
AUID.11957,3,3H
AUID.11958,3,3H
AUID.11960,1,1P
AUID.11962,1,1A
AUID.11964,3,3K
AUID.11967,3,3P
AUID.119698,3,3Q
AUID.11979,1,1P
AUID.11984,3,3E
AUID.11985,3,3L
AUID.11987,1,1A
AUID.11988,1,1O
AUID.119918,1,1A
AUID.119919,1,1K
AUID.11994,3,3L
AUID.11995,3,3E
AUID.11996,1,1P
AUID.11998,3,3E
AUID.12006,1,1O
AUID.12011,1,1A
AUID.12014,3,3P
AUID.12018,1,1G
AUID.1202,1,1K
AUID.12023,3,3E
AUID.12025,1,1K
AUID.12029,1,1K
AUID.12031,3,3H
AUID.12032,1,1P
AUID.12034,1,1A
AUID.12041,1,1G
AUID.12043,3,3J
AUID.12047,1,1G
AUID.12058,1,1K
AUID.12061,3,3E
AUID.12065,1,1K
AUID.12068,1,1K
AUID.12072,3,3E
AUID.12073,3,3E
AUID.12083,3,3E
AUID.12085,3,3N
AUID.12086,3,3E
AUID.12088,3,3E
AUID.12089,3,3E
AUID.120896,1,1G
AUID.1209,1,1P
AUID.12091,3,3G
AUID.12092,3,3E
AUID.12095,3,3E
AUID.12096,1,1G
AUID.12098,3,3N
AUID.12099,3,3E
AUID.12100,3,3J
AUID.121007,1,1A
AUID.121008,1,1G
AUID.12101,3,3N
AUID.12102,4,4G
AUID.12103,1,1G
AUID.12106,1,1P
AUID.12108,3,3E
AUID.12110,3,3E
AUID.12121,3,3E
AUID.12127,3,3N
AUID.12135,1,1G
AUID.12137,1,1G
AUID.12142,3,3E
AUID.12143,NA,NA
AUID.121447,1,1B
AUID.12145,1,1A
AUID.12149,3,3E
AUID.12150,1,1A
AUID.12151,1,1A
AUID.12152,1,1G
AUID.12156,3,3N
AUID.12159,3,3N
AUID.12160,1,1A
AUID.12162,3,3E
AUID.12163,3,3P
AUID.12164,3,3L
AUID.12165,3,3E
AUID.12168,3,3N
AUID.12172,3,3E
AUID.12181,4,4G
AUID.12183,1,1A
AUID.12185,1,1A
AUID.12186,3,3T
AUID.1219,1,1G
AUID.12193,3,3H
AUID.12195,1,1K
AUID.12198,3,3E
AUID.12200,1,1A
AUID.12204,1,1A
AUID.122054,1,1K
AUID.12207,3,3E
AUID.12214,1,1G
AUID.12218,1,1P
AUID.12220,3,3E
AUID.122207,1,1G
AUID.12224,1,1C
AUID.12226,1,1G
AUID.12228,1,1E
AUID.12230,1,1P
AUID.12234,3,3G
AUID.12242,1,1A
AUID.12244,3,3N
AUID.12245,3,3H
AUID.12248,3,3E
AUID.12250,3,3E
AUID.12252,3,3T
AUID.12253,1,1A
AUID.12256,1,1A
AUID.12258,3,3E
AUID.12259,3,3E
AUID.12261,3,3J
AUID.12264,3,3E
AUID.12266,1,1P
AUID.12268,3,3L
AUID.12276,1,1A
AUID.12280,1,1A
AUID.12281,3,3E
AUID.12290,3,3I
AUID.1230,1,1P
AUID.12301,3,3G
AUID.12307,3,3E
AUID.12309,3,3J
AUID.12310,3,3E
AUID.123118,3,3S
AUID.12315,1,1A
AUID.123186,3,3N
AUID.12321,1,1A
AUID.12322,1,1A
AUID.12323,3,3A
AUID.12326,1,1P
AUID.123319,3,3N
AUID.12334,3,3I
AUID.12335,3,3H
AUID.123372,1,1G
AUID.12338,3,3G
AUID.123391,3,3E
AUID.123392,1,1G
AUID.12340,1,1G
AUID.12341,1,1A
AUID.12342,3,3E
AUID.12344,1,1P
AUID.12355,3,3E
AUID.123601,1,1A
AUID.123626,3,3L
AUID.123628,3,3E
AUID.12366,3,3I
AUID.12367,1,1G
AUID.12368,1,1A
AUID.12375,1,1K
AUID.123750,1,1A
AUID.123811,3,3E
AUID.12382,3,3E
AUID.12384,3,3Q
AUID.12387,1,1K
AUID.12391,1,1K
AUID.12393,1,1G
AUID.12398,1,1G
AUID.12404,3,3P
AUID.124063,3,3N
AUID.12411,1,1A
AUID.124116,1,1G
AUID.12412,3,3N
AUID.12414,3,3L
AUID.124149,1,1A
AUID.12415,3,3E
AUID.12418,3,3M
AUID.12419,1,1A
AUID.12422,3,3J
AUID.12424,1,1G
AUID.12425,3,3N
AUID.12428,1,1G
AUID.12429,3,3N
AUID.12430,3,3H
AUID.12431,3,3E
AUID.124329,1,1A
AUID.12433,3,3E
AUID.12434,3,3N
AUID.12435,1,1A
AUID.12436,3,3B
AUID.12437,1,1G
AUID.12440,1,1A
AUID.12441,1,1P
AUID.12442,1,1A
AUID.12446,3,3P
AUID.12447,1,1K
AUID.124471,1,1A
AUID.12458,2,2D
AUID.12467,3,3H
AUID.12469,3,3N
AUID.12473,3,3H
AUID.124750,3,3E
AUID.12476,1,1A
AUID.12478,3,3E
AUID.12481,1,1A
AUID.124814,3,3L
AUID.12483,1,1G
AUID.12485,1,1K
AUID.124856,1,1A
AUID.12486,3,3K
AUID.12487,3,3E
AUID.12488,3,3N
AUID.12492,1,1K
AUID.124926,4,4F
AUID.12496,1,1A
AUID.12497,3,3R
AUID.12498,1,1A
AUID.125,3,3E
AUID.12505,2,2C
AUID.125061,1,1G
AUID.1251,1,1B
AUID.12510,3,3H
AUID.12511,3,3E
AUID.125145,1,1A
AUID.12516,1,1A
AUID.125166,3,3E
AUID.12517,1,1A
AUID.1252,1,1K
AUID.125268,1,1A
AUID.12527,3,3E
AUID.12533,1,1A
AUID.12534,1,1P
AUID.12537,1,1K
AUID.125375,1,1A
AUID.12544,3,3N
AUID.12546,3,3J
AUID.12554,3,3H
AUID.12557,1,1A
AUID.125586,3,3Q
AUID.12560,3,3B
AUID.12561,3,3N
AUID.12564,3,3N
AUID.12567,1,1A
AUID.12569,1,1A
AUID.12570,3,3E
AUID.12573,3,3E
AUID.12575,4,4G
AUID.12576,3,3H
AUID.12577,4,4G
AUID.12593,1,1G
AUID.12595,3,3Q
AUID.125983,3,3N
AUID.12602,1,1P
AUID.12604,1,1A
AUID.12605,3,3N
AUID.12609,3,3H
AUID.12610,3,3N
AUID.12611,4,4G
AUID.12612,3,3E
AUID.12616,3,3H
AUID.12620,1,1P
AUID.126224,3,3E
AUID.12628,1,1A
AUID.12629,1,1A
AUID.12630,3,3J
AUID.12633,1,1A
AUID.12637,1,1A
AUID.12647,1,1G
AUID.12648,3,3I
AUID.12650,3,3E
AUID.12651,1,1P
AUID.12652,3,3H
AUID.126544,1,1A
AUID.12656,1,1A
AUID.12658,3,3H
AUID.12670,1,1G
AUID.12676,3,3E
AUID.12681,3,3E
AUID.12691,3,3E
AUID.12695,1,1P
AUID.12696,3,3N
AUID.127,1,1K
AUID.12702,2,2D
AUID.12705,3,3E
AUID.12717,3,3E
AUID.127245,3,3N
AUID.12728,3,3E
AUID.127285,1,1A
AUID.12732,1,1G
AUID.12734,1,1A
AUID.12735,1,1A
AUID.12737,1,1A
AUID.1274,4,4F
AUID.12740,3,3J
AUID.12741,1,1A
AUID.12743,3,3N
AUID.12744,3,3H
AUID.12745,1,1A
AUID.12746,3,3N
AUID.12747,3,3Q
AUID.12748,3,3N
AUID.12749,1,1A
AUID.12751,3,3Q
AUID.12756,3,3E
AUID.12757,1,1P
AUID.127604,1,1K
AUID.12768,1,1P
AUID.12774,1,1P
AUID.1278,1,1A
AUID.12780,1,1K
AUID.127811,1,1K
AUID.12788,1,1A
AUID.127921,1,1G
AUID.12799,1,1A
AUID.12803,3,3E
AUID.12804,3,3E
AUID.12806,1,1C
AUID.12810,3,3N
AUID.12813,3,3P
AUID.12814,3,3E
AUID.12820,4,4G
AUID.12821,3,3Q
AUID.12825,1,1A
AUID.12826,3,3Q
AUID.12827,1,1K
AUID.12828,1,1J
AUID.12829,3,3N
AUID.12831,4,4G
AUID.12835,1,1K
AUID.12838,3,3B
AUID.128404,3,3E
AUID.12841,NA,NA
AUID.12845,3,3B
AUID.12846,1,1G
AUID.12847,1,1A
AUID.12850,3,3N
AUID.12860,1,1G
AUID.12873,3,3E
AUID.128823,3,3E
AUID.12884,1,1G
AUID.12888,3,3N
AUID.1289,3,3M
AUID.12892,1,1P
AUID.12897,3,3Q
AUID.12898,1,1P
AUID.129,1,1B
AUID.12902,1,1P
AUID.12910,1,1E
AUID.12914,3,3L
AUID.12916,3,3N
AUID.12918,1,1K
AUID.12923,3,3I
AUID.12930,3,3N
AUID.12932,1,1G
AUID.12935,3,3B
AUID.12936,3,3E
