SAMPLEID,StudyID,Run,SRA_Study,BioProject,BioSample,Sample_Name,Sample_Name_2,Region,Collection_Date,Time,Depth,Station,geo_loc_name,Lat_Lon,Latitude,Longitude,LibraryName,LibrarySelection,LibrarySource,Size_fraction,Sample_Type
DRR205318,Shiozaki_2020,NA,DRP006696,PRJDB9222,SAMD00201006,SAMD00201006,JARE60_StaE_DNA,NA,2019-2-23,NA,0m,NA,Southern Ocean,67.48 S 37.08 E,NA,NA,nifH gene at StaE,PCR,METAGENOMIC,NA,simple
DRR205321,Shiozaki_2020,NA,DRP006696,PRJDB9222,SAMD00201009,SAMD00201009,JARE60_StaEL_DNA,NA,2019-2-25,NA,0m,NA,Southern Ocean,66.47 S 49.52 E,NA,NA,nifH gene at StaEL,PCR,METAGENOMIC,NA,simple
DRR256248,Sato_2021,NA,DRP007115,PRJDB10819,SAMD00259623,SAMD00259623,HK1805_StJ1_0m,NA,2018-6-5,NA,0,NA,"Japan:Hokkaido\, Sea of Japan",41.5 N 139.82 E,NA,NA,NA,PCR,METAGENOMIC,NA,simple
DRR256249,Sato_2021,NA,DRP007115,PRJDB10819,SAMD00259624,SAMD00259624,HK1805_StJ2_0m,NA,2018-6-5,NA,0,NA,"Japan:Hokkaido\, Sea of Japan",42.51 N 139.7 E,NA,NA,NA,PCR,METAGENOMIC,NA,simple
DRR256250,Sato_2021,NA,DRP007115,PRJDB10819,SAMD00259625,SAMD00259625,HK1805_StJ3_0m,NA,2018-5-31,NA,0,NA,"Japan:Hokkaido\, Sea of Japan",43.5 N 140.33 E,NA,NA,NA,PCR,METAGENOMIC,NA,simple
DRR256251,Sato_2021,NA,DRP007115,PRJDB10819,SAMD00259626,SAMD00259626,HK1805_StJ4_0m,NA,2018-6-1,NA,0,NA,"Japan:Hokkaido\, Sea of Japan",44.5 N 141.5 E,NA,NA,NA,PCR,METAGENOMIC,NA,simple
DRR256252,Sato_2021,NA,DRP007115,PRJDB10819,SAMD00259627,SAMD00259627,HK1805_StJ5_0m,NA,2018-6-1,NA,0,NA,"Japan:Hokkaido\, Sea of Japan",45.5 N 141.42 E,NA,NA,NA,PCR,METAGENOMIC,NA,simple
DRR256253,Sato_2021,NA,DRP007115,PRJDB10819,SAMD00259628,SAMD00259628,HK1805_StJ6_0m,NA,2018-6-1,NA,0,NA,"Japan:Hokkaido\, Sea of Japan",45.54 N 142.08 E,NA,NA,NA,PCR,METAGENOMIC,NA,simple
DRR256254,Sato_2021,NA,DRP007115,PRJDB10819,SAMD00259629,SAMD00259629,HK1805_StO1_0m,NA,2018-6-4,NA,0,NA,"Japan:Hokkaido\, Sea of Okhotsk",45.5 N 142.5 E,NA,NA,NA,PCR,METAGENOMIC,NA,simple
DRR256255,Sato_2021,NA,DRP007115,PRJDB10819,SAMD00259630,SAMD00259630,HK1805_StO2_0m,NA,2018-6-4,NA,0,NA,"Japan:Hokkaido\, Sea of Okhotsk",45.32 N 142.68 E,NA,NA,NA,PCR,METAGENOMIC,NA,simple
DRR256256,Sato_2021,NA,DRP007115,PRJDB10819,SAMD00259631,SAMD00259631,HK1805_StO3_0m,NA,2018-6-4,NA,0,NA,"Japan:Hokkaido\, Sea of Okhotsk",45.17 N 143.17 E,NA,NA,NA,PCR,METAGENOMIC,NA,simple
DRR256257,Sato_2021,NA,DRP007115,PRJDB10819,SAMD00259632,SAMD00259632,HK1805_StO4_0m,NA,2018-6-4,NA,0,NA,"Japan:Hokkaido\, Sea of Okhotsk",44.88 N 142.89 E,NA,NA,NA,PCR,METAGENOMIC,NA,simple
DRR256258,Sato_2021,NA,DRP007115,PRJDB10819,SAMD00259633,SAMD00259633,HK1805_StO5_0m,NA,2018-6-1,NA,0,NA,"Japan:Hokkaido\, Sea of Okhotsk",44.5 N 143.33 E,NA,NA,NA,PCR,METAGENOMIC,NA,simple
DRR256259,Sato_2021,NA,DRP007115,PRJDB10819,SAMD00259634,SAMD00259634,HK1805_StO6_0m,NA,2018-6-2,NA,0,NA,"Japan:Hokkaido\, Sea of Okhotsk",44.23 N 144.13 E,NA,NA,NA,PCR,METAGENOMIC,NA,simple
DRR256260,Sato_2021,NA,DRP007115,PRJDB10819,SAMD00259635,SAMD00259635,HK1805_StO7_0m,NA,2018-6-2,NA,0,NA,"Japan:Hokkaido\, Sea of Okhotsk",44.5 N 144.33 E,NA,NA,NA,PCR,METAGENOMIC,NA,simple
DRR256261,Sato_2021,NA,DRP007115,PRJDB10819,SAMD00259636,SAMD00259636,HK1805_StO8_0m,NA,2018-6-3,NA,0,NA,"Japan:Hokkaido\, Sea of Okhotsk",45 N 144.75 E,NA,NA,NA,PCR,METAGENOMIC,NA,simple
DRR256262,Sato_2021,NA,DRP007115,PRJDB10819,SAMD00259637,SAMD00259637,HK1805_StO10_0m,NA,2018-6-2,NA,0,NA,"Japan:Hokkaido\, Sea of Okhotsk",44.63 N 145.37 E,NA,NA,NA,PCR,METAGENOMIC,NA,simple
DRR256263,Sato_2021,NA,DRP007115,PRJDB10819,SAMD00259638,SAMD00259638,HK1805_StP1_0m,NA,2018-6-6,NA,0,NA,"Japan:Hokkaido\, Pacific Ocean",42.17 N 141.25 E,NA,NA,NA,PCR,METAGENOMIC,NA,simple
DRR256264,Sato_2021,NA,DRP007115,PRJDB10819,SAMD00259639,SAMD00259639,HK1805_StP2_0m,NA,2018-6-6,NA,0,NA,"Japan:Hokkaido\, Pacific Ocean",41.89 N 142.73 E,NA,NA,NA,PCR,METAGENOMIC,NA,simple
DRR256265,Sato_2021,NA,DRP007115,PRJDB10819,SAMD00259640,SAMD00259640,HK1805_StP3_0m,NA,2018-6-7,NA,0,NA,"Japan:Hokkaido\, Pacific Ocean",43 N 145.83 E,NA,NA,NA,PCR,METAGENOMIC,NA,simple
DRR256266,Sato_2021,NA,DRP007115,PRJDB10819,SAMD00259641,SAMD00259641,HK1805_StJ2_9m,NA,2018-6-5,NA,9,NA,"Japan:Hokkaido\, Sea of Japan",42.51 N 139.7 E,NA,NA,NA,PCR,METAGENOMIC,NA,simple
DRR256267,Sato_2021,NA,DRP007115,PRJDB10819,SAMD00259642,SAMD00259642,HK1805_StJ2_20m,NA,2018-6-5,NA,20,NA,"Japan:Hokkaido\, Sea of Japan",42.51 N 139.7 E,NA,NA,NA,PCR,METAGENOMIC,NA,simple
DRR256268,Sato_2021,NA,DRP007115,PRJDB10819,SAMD00259643,SAMD00259643,HK1805_StJ2_43m,NA,2018-6-5,NA,43,NA,"Japan:Hokkaido\, Sea of Japan",42.51 N 139.7 E,NA,NA,NA,PCR,METAGENOMIC,NA,simple
DRR256269,Sato_2021,NA,DRP007115,PRJDB10819,SAMD00259644,SAMD00259644,HK1805_StJ2_65m,NA,2018-6-5,NA,65,NA,"Japan:Hokkaido\, Sea of Japan",42.51 N 139.7 E,NA,NA,NA,PCR,METAGENOMIC,NA,simple
DRR256270,Sato_2021,NA,DRP007115,PRJDB10819,SAMD00259645,SAMD00259645,HK1805_StO2_15m,NA,2018-6-4,NA,15,NA,"Japan:Hokkaido\, Sea of Okhotsk",45.32 N 142.68 E,NA,NA,NA,PCR,METAGENOMIC,NA,simple
DRR256271,Sato_2021,NA,DRP007115,PRJDB10819,SAMD00259646,SAMD00259646,HK1805_StO2_37m,NA,2018-6-4,NA,37,NA,"Japan:Hokkaido\, Sea of Okhotsk",45.32 N 142.68 E,NA,NA,NA,PCR,METAGENOMIC,NA,simple
DRR256272,Sato_2021,NA,DRP007115,PRJDB10819,SAMD00259647,SAMD00259647,HK1805_StO2_58m,NA,2018-6-4,NA,58,NA,"Japan:Hokkaido\, Sea of Okhotsk",45.32 N 142.68 E,NA,NA,NA,PCR,METAGENOMIC,NA,simple
DRR256273,Sato_2021,NA,DRP007115,PRJDB10819,SAMD00259648,SAMD00259648,HK1805_StO7_17m,NA,2018-6-2,NA,17,NA,"Japan:Hokkaido\, Sea of Okhotsk",44.5 N 144.33 E,NA,NA,NA,PCR,METAGENOMIC,NA,simple
DRR256274,Sato_2021,NA,DRP007115,PRJDB10819,SAMD00259649,SAMD00259649,HK1805_StO7_43m,NA,2018-6-2,NA,43,NA,"Japan:Hokkaido\, Sea of Okhotsk",44.5 N 144.33 E,NA,NA,NA,PCR,METAGENOMIC,NA,simple
DRR256275,Sato_2021,NA,DRP007115,PRJDB10819,SAMD00259650,SAMD00259650,HK1805_StO7_72m,NA,2018-6-2,NA,72,NA,"Japan:Hokkaido\, Sea of Okhotsk",44.5 N 144.33 E,NA,NA,NA,PCR,METAGENOMIC,NA,simple
Gradoville1.68484,Gradoville_2020,NA,NA,NA,NA,NA,NA,npsg,2017-5-27,20:44:00,15,1,NA,21.31966333 N 158.2319267 W,21.31966333,158.2319267,NA,NA,METAGENOMIC,whole,NA
Gradoville10.68505,Gradoville_2020,SRR8844126,NA,PRJNA530276,SAMN11317404,NA,NA,npsg,2017-5-29,4:27:00,60,2,Pacific Ocean,25.7682965 N 158.014165 W,25.7682965,158.014165,NA,PCR,METAGENOMIC,whole,NA
Gradoville100.68895,Gradoville_2020,SRR8844088,NA,PRJNA530276,SAMN11317449,NA,NA,npsg,2017-6-10,3:31:00,120,17,Pacific Ocean,32.00007833 N 157.9999417 W,32.00007833,157.9999417,NA,PCR,METAGENOMIC,whole,NA
Gradoville101.68896,Gradoville_2020,SRR8844089,NA,PRJNA530276,SAMN11317450,NA,NA,npsg,2017-6-10,3:31:00,120,17,Pacific Ocean,32.00007833 N 157.9999417 W,32.00007833,157.9999417,NA,PCR,METAGENOMIC,whole,NA
Gradoville102.68897,Gradoville_2020,SRR8844086,NA,PRJNA530276,SAMN11317451,NA,NA,npsg,2017-6-10,3:31:00,60,17,Pacific Ocean,32.00007833 N 157.9999417 W,32.00007833,157.9999417,NA,PCR,METAGENOMIC,whole,NA
Gradoville103.68898,Gradoville_2020,SRR8844087,NA,PRJNA530276,SAMN11317452,NA,NA,npsg,2017-6-10,3:31:00,60,17,Pacific Ocean,32.00007833 N 157.9999417 W,32.00007833,157.9999417,NA,PCR,METAGENOMIC,whole,NA
Gradoville104.68899,Gradoville_2020,NA,NA,NA,NA,NA,NA,npsg,2017-6-10,3:31:00,45,17,NA,32.00007833 N 157.9999417 W,32.00007833,157.9999417,NA,NA,METAGENOMIC,whole,NA
Gradoville105.68900,Gradoville_2020,SRR8844084,NA,PRJNA530276,SAMN11317453,NA,NA,npsg,2017-6-10,3:31:00,45,17,Pacific Ocean,32.00007833 N 157.9999417 W,32.00007833,157.9999417,NA,PCR,METAGENOMIC,whole,NA
Gradoville106.68901,Gradoville_2020,SRR8844085,NA,PRJNA530276,SAMN11317454,NA,NA,npsg,2017-6-10,3:31:00,90,17,Pacific Ocean,32.00007833 N 157.9999417 W,32.00007833,157.9999417,NA,PCR,METAGENOMIC,whole,NA
Gradoville107.68902,Gradoville_2020,SRR8844077,NA,PRJNA530276,SAMN11317455,NA,NA,npsg,2017-6-10,3:31:00,90,17,Pacific Ocean,32.00007833 N 157.9999417 W,32.00007833,157.9999417,NA,PCR,METAGENOMIC,whole,NA
Gradoville108.68907,Gradoville_2020,SRR8844076,NA,PRJNA530276,SAMN11317456,NA,NA,npsg,2017-6-10,3:31:00,25,17,Pacific Ocean,32.00007833 N 157.9999417 W,32.00007833,157.9999417,NA,PCR,METAGENOMIC,whole,NA
Gradoville109.68908,Gradoville_2020,SRR8844075,NA,PRJNA530276,SAMN11317457,NA,NA,npsg,2017-6-10,3:31:00,25,17,Pacific Ocean,32.00007833 N 157.9999417 W,32.00007833,157.9999417,NA,PCR,METAGENOMIC,whole,NA
Gradoville11.68506,Gradoville_2020,SRR8844133,NA,PRJNA530276,SAMN11317405,NA,NA,npsg,2017-5-29,4:27:00,45,2,Pacific Ocean,25.7682965 N 158.014165 W,25.7682965,158.014165,NA,PCR,METAGENOMIC,whole,NA
Gradoville110.68913,Gradoville_2020,SRR8844080,NA,PRJNA530276,SAMN11317458,NA,NA,npsg,2017-6-11,3:31:00,15,18,Pacific Ocean,29.58205 N 158.0019667 W,29.58205,158.0019667,NA,PCR,METAGENOMIC,whole,NA
Gradoville111.68914,Gradoville_2020,SRR8844079,NA,PRJNA530276,SAMN11317459,NA,NA,npsg,2017-6-11,3:31:00,15,18,Pacific Ocean,29.58205 N 158.0019667 W,29.58205,158.0019667,NA,PCR,METAGENOMIC,whole,NA
Gradoville112.68925,Gradoville_2020,SRR8844078,NA,PRJNA530276,SAMN11317460,NA,NA,npsg,2017-6-11,3:31:00,120,18,Pacific Ocean,29.58205 N 158.0019667 W,29.58205,158.0019667,NA,PCR,METAGENOMIC,whole,NA
Gradoville113.68926,Gradoville_2020,SRR8844083,NA,PRJNA530276,SAMN11317461,NA,NA,npsg,2017-6-11,3:31:00,120,18,Pacific Ocean,29.58205 N 158.0019667 W,29.58205,158.0019667,NA,PCR,METAGENOMIC,whole,NA
Gradoville114.68927,Gradoville_2020,NA,NA,NA,NA,NA,NA,npsg,2017-6-11,3:31:00,60,18,NA,29.58205 N 158.0019667 W,29.58205,158.0019667,NA,NA,METAGENOMIC,whole,NA
Gradoville115.68928,Gradoville_2020,SRR8844082,NA,PRJNA530276,SAMN11317462,NA,NA,npsg,2017-6-11,3:31:00,60,18,Pacific Ocean,29.58205 N 158.0019667 W,29.58205,158.0019667,NA,PCR,METAGENOMIC,whole,NA
Gradoville116.68929,Gradoville_2020,SRR8844185,NA,PRJNA530276,SAMN11317463,NA,NA,npsg,2017-6-11,3:31:00,100,18,Pacific Ocean,29.58205 N 158.0019667 W,29.58205,158.0019667,NA,PCR,METAGENOMIC,whole,NA
Gradoville117.68930,Gradoville_2020,SRR8844186,NA,PRJNA530276,SAMN11317464,NA,NA,npsg,2017-6-11,3:31:00,100,18,Pacific Ocean,29.58205 N 158.0019667 W,29.58205,158.0019667,NA,PCR,METAGENOMIC,whole,NA
Gradoville118.68935,Gradoville_2020,SRR8844187,NA,PRJNA530276,SAMN11317465,NA,NA,npsg,2017-6-11,3:31:00,45,18,Pacific Ocean,29.58205 N 158.0019667 W,29.58205,158.0019667,NA,PCR,METAGENOMIC,whole,NA
Gradoville119.68936,Gradoville_2020,SRR8844188,NA,PRJNA530276,SAMN11317466,NA,NA,npsg,2017-6-11,3:31:00,45,18,Pacific Ocean,29.58205 N 158.0019667 W,29.58205,158.0019667,NA,PCR,METAGENOMIC,whole,NA
Gradoville12.68507,Gradoville_2020,SRR8844132,NA,PRJNA530276,SAMN11317406,NA,NA,npsg,2017-5-29,4:27:00,45,2,Pacific Ocean,25.7682965 N 158.014165 W,25.7682965,158.014165,NA,PCR,METAGENOMIC,whole,NA
Gradoville120.68937,Gradoville_2020,SRR8844183,NA,PRJNA530276,SAMN11317467,NA,NA,npsg,2017-6-11,3:31:00,25,18,Pacific Ocean,29.58205 N 158.0019667 W,29.58205,158.0019667,NA,PCR,METAGENOMIC,whole,NA
Gradoville121.68938,Gradoville_2020,SRR8844184,NA,PRJNA530276,SAMN11317468,NA,NA,npsg,2017-6-11,3:31:00,25,18,Pacific Ocean,29.58205 N 158.0019667 W,29.58205,158.0019667,NA,PCR,METAGENOMIC,whole,NA
Gradoville13.68508,Gradoville_2020,SRR8844131,NA,PRJNA530276,SAMN11317407,NA,NA,npsg,2017-5-29,4:27:00,100,2,Pacific Ocean,25.7682965 N 158.014165 W,25.7682965,158.014165,NA,PCR,METAGENOMIC,whole,NA
Gradoville14.68509,Gradoville_2020,SRR8844130,NA,PRJNA530276,SAMN11317408,NA,NA,npsg,2017-5-29,4:27:00,100,2,Pacific Ocean,25.7682965 N 158.014165 W,25.7682965,158.014165,NA,PCR,METAGENOMIC,whole,NA
Gradoville15.68514,Gradoville_2020,SRR8844135,NA,PRJNA530276,SAMN11317409,NA,NA,npsg,2017-5-29,4:27:00,120,2,Pacific Ocean,25.7682965 N 158.014165 W,25.7682965,158.014165,NA,PCR,METAGENOMIC,whole,NA
Gradoville16.68515,Gradoville_2020,SRR8844134,NA,PRJNA530276,SAMN11317410,NA,NA,npsg,2017-5-29,4:27:00,120,2,Pacific Ocean,25.7682965 N 158.014165 W,25.7682965,158.014165,NA,PCR,METAGENOMIC,whole,NA
Gradoville17.68516,Gradoville_2020,SRR8844153,NA,PRJNA530276,SAMN11317411,NA,NA,npsg,2017-5-29,18:49:00,15,2,Pacific Ocean,27.214295 N 157.9990433 W,27.214295,157.9990433,NA,PCR,METAGENOMIC,whole,NA
Gradoville18.68517,Gradoville_2020,SRR8844154,NA,PRJNA530276,SAMN11317412,NA,NA,npsg,2017-5-29,18:49:00,15,2,Pacific Ocean,27.214295 N 157.9990433 W,27.214295,157.9990433,NA,PCR,METAGENOMIC,whole,NA
Gradoville19.68518,Gradoville_2020,SRR8844155,NA,PRJNA530276,SAMN11317413,NA,NA,npsg,2017-5-29,22:18:00,15,3,Pacific Ocean,27.84461333 N 158.001395 W,27.84461333,158.001395,NA,PCR,METAGENOMIC,whole,NA
Gradoville2.68485,Gradoville_2020,NA,NA,NA,NA,NA,NA,npsg,2017-5-27,20:44:00,15,1,NA,21.31966333 N 158.2319267 W,21.31966333,158.2319267,NA,NA,METAGENOMIC,whole,NA
Gradoville20.68519,Gradoville_2020,SRR8844156,NA,PRJNA530276,SAMN11317414,NA,NA,npsg,2017-5-29,22:18:00,15,3,Pacific Ocean,27.84461333 N 158.001395 W,27.84461333,158.001395,NA,PCR,METAGENOMIC,whole,NA
Gradoville21.68524,Gradoville_2020,SRR8844151,NA,PRJNA530276,SAMN11317415,NA,NA,npsg,2017-5-30,3:34:00,15,3,Pacific Ocean,28.47083333 N 157.9978333 W,28.47083333,157.9978333,NA,PCR,METAGENOMIC,whole,NA
Gradoville22.68525,Gradoville_2020,SRR8844152,NA,PRJNA530276,SAMN11317416,NA,NA,npsg,2017-5-30,3:34:00,15,3,Pacific Ocean,28.47083333 N 157.9978333 W,28.47083333,157.9978333,NA,PCR,METAGENOMIC,whole,NA
Gradoville23.68530,Gradoville_2020,SRR8844147,NA,PRJNA530276,SAMN11317417,NA,NA,npsg,2017-5-30,9:57:00,15,4,Pacific Ocean,29.228145 N 157.999715 W,29.228145,157.999715,NA,PCR,METAGENOMIC,whole,NA
Gradoville24.68531,Gradoville_2020,SRR8844148,NA,PRJNA530276,SAMN11317418,NA,NA,npsg,2017-5-30,9:57:00,15,4,Pacific Ocean,29.228145 N 157.999715 W,29.228145,157.999715,NA,PCR,METAGENOMIC,whole,NA
Gradoville25.68535,Gradoville_2020,SRR8844123,NA,PRJNA530276,SAMN11317419,NA,NA,npsg,2017-5-30,14:25:00,15,5,Pacific Ocean,30.02042333 N 157.9995867 W,30.02042333,157.9995867,NA,PCR,METAGENOMIC,whole,NA
Gradoville26.68536,Gradoville_2020,SRR8844122,NA,PRJNA530276,SAMN11317420,NA,NA,npsg,2017-5-30,14:25:00,15,5,Pacific Ocean,30.02042333 N 157.9995867 W,30.02042333,157.9995867,NA,PCR,METAGENOMIC,whole,NA
Gradoville27.68537,Gradoville_2020,SRR8844125,NA,PRJNA530276,SAMN11317421,NA,NA,npsg,2017-5-30,19:28:00,15,6,Pacific Ocean,30.92716833 N 158.0026367 W,30.92716833,158.0026367,NA,PCR,METAGENOMIC,whole,NA
Gradoville28.68538,Gradoville_2020,SRR8844124,NA,PRJNA530276,SAMN11317422,NA,NA,npsg,2017-5-30,19:28:00,15,6,Pacific Ocean,30.92716833 N 158.0026367 W,30.92716833,158.0026367,NA,PCR,METAGENOMIC,whole,NA
Gradoville29.68543,Gradoville_2020,SRR8844121,NA,PRJNA530276,SAMN11317423,NA,NA,npsg,2017-5-31,3:42:00,15,4,Pacific Ocean,32.25811 N 157.99977 W,32.25811,157.99977,NA,PCR,METAGENOMIC,whole,NA
Gradoville3.68490,Gradoville_2020,SRR8844198,NA,PRJNA530276,SAMN11317397,NA,NA,npsg,2017-5-29,14:40:00,15,1,Pacific Ocean,26.44829 N 157.9997783 W,26.44829,157.9997783,NA,PCR,METAGENOMIC,whole,NA
Gradoville30.68544,Gradoville_2020,SRR8844120,NA,PRJNA530276,SAMN11317424,NA,NA,npsg,2017-5-31,3:42:00,15,4,Pacific Ocean,32.25811 N 157.99977 W,32.25811,157.99977,NA,PCR,METAGENOMIC,whole,NA
Gradoville31.68549,Gradoville_2020,SRR8844117,NA,PRJNA530276,SAMN11317425,NA,NA,transition,2017-5-31,9:33:00,15,7,Pacific Ocean,33.04266333 N 157.99555 W,33.04266333,157.99555,NA,PCR,METAGENOMIC,whole,NA
Gradoville32.68550,Gradoville_2020,SRR8844116,NA,PRJNA530276,SAMN11317426,NA,NA,transition,2017-5-31,9:33:00,15,7,Pacific Ocean,33.04266333 N 157.99555 W,33.04266333,157.99555,NA,PCR,METAGENOMIC,whole,NA
Gradoville33.68551,Gradoville_2020,SRR8844144,NA,PRJNA530276,SAMN11317427,NA,NA,transition,2017-5-31,12:31:00,15,8,Pacific Ocean,33.54210167 N 157.999885 W,33.54210167,157.999885,NA,PCR,METAGENOMIC,whole,NA
Gradoville34.68552,Gradoville_2020,SRR8844145,NA,PRJNA530276,SAMN11317428,NA,NA,transition,2017-5-31,12:31:00,15,8,Pacific Ocean,33.54210167 N 157.999885 W,33.54210167,157.999885,NA,PCR,METAGENOMIC,whole,NA
Gradoville35.68553,Gradoville_2020,NA,NA,NA,NA,NA,NA,transition,2017-5-31,16:07:00,15,9,NA,34.18764 N 157.9992767 W,34.18764,157.9992767,NA,NA,METAGENOMIC,whole,NA
Gradoville36.68554,Gradoville_2020,SRR8844142,NA,PRJNA530276,SAMN11317429,NA,NA,transition,2017-5-31,16:07:00,15,9,Pacific Ocean,34.18764 N 157.9992767 W,34.18764,157.9992767,NA,PCR,METAGENOMIC,whole,NA
